#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
results/SP/shovill/CS00032/contigs.fa,contig00020,4954,5883,+,psaA,1-930/930,===============,0/0,100.00,99.68,vfdb,NP_346089,(psaA) manganese ABC transporter manganese-binding adhesion liprotein [PsaA (VF0151)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00032/contigs.fa,contig00029,1093,2976,+,pce,1-1884/1884,===============,0/0,100.00,97.98,vfdb,NP_345414,(pce) choline binding protein E [CBPs (VF0145)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00032/contigs.fa,contig00065,3561,4490,+,lytA,28-957/957,========/======,2/2,97.07,93.23,vfdb,NP_346365,(lytA) autolysin [Autolysin (VF0143)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00032/contigs.fa,contig00071,3826,5680,-,nanB,240-2094/2094,.==============,0/0,88.59,99.52,vfdb,NP_346126,(nanB) neuraminidase B [Neuraminidase (VF0148)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00032/contigs.fa,contig00096,1508,3190,+,pavA,1-1683/1683,===============,0/0,100.00,99.41,vfdb,NP_358462,(pavA) Fibronectin-binding protein-like protein A [PavA (VF0283)] [Streptococcus pneumoniae R6],
results/SP/shovill/CS00032/contigs.fa,contig00126,1956,3371,+,ply,1-1416/1416,===============,0/0,100.00,99.93,vfdb,NP_346351,(ply) pneumolysin [Pneumolysin (VF0149)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00032/contigs.fa,contig00152,981,2486,-,lytC,1-1506/1506,===============,0/0,100.00,99.40,vfdb,NP_359024,(lytC) 14-beta-N-acetylmuramidase [CBPs (VF0145)] [Streptococcus pneumoniae R6],
results/SP/shovill/CS00034/contigs.fa,contig00003,17970,21173,-,hysA,1-3201/3201,========/======,1/3,100.00,99.13,vfdb,NP_344851,(hysA) hyaluronate lyase [Hyaluronate lyase (VF0146)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00034/contigs.fa,contig00006,9212,10082,+,hasC,7-877/915,========/======,2/2,95.08,76.83,vfdb,NP_270109,(hasC) UDP-glucose pyrophosphorylase [Hyaluronic acid capsule (VF0244)] [Streptococcus pyogenes M1 GAS],
results/SP/shovill/CS00034/contigs.fa,contig00011,1235,2917,-,pavA,1-1683/1683,===============,0/0,100.00,99.53,vfdb,NP_358462,(pavA) Fibronectin-binding protein-like protein A [PavA (VF0283)] [Streptococcus pneumoniae R6],
results/SP/shovill/CS00034/contigs.fa,contig00077,2067,3962,+,pce,1-1884/1884,========/======,6/20,99.79,94.00,vfdb,NP_345414,(pce) choline binding protein E [CBPs (VF0145)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00034/contigs.fa,contig00085,6444,7187,-,lytA,214-957/957,...============,0/0,77.74,88.98,vfdb,NP_346365,(lytA) autolysin [Autolysin (VF0143)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00034/contigs.fa,contig00101,4114,6049,-,nanB,159-2094/2094,.==============,0/0,92.45,99.43,vfdb,NP_346126,(nanB) neuraminidase B [Neuraminidase (VF0148)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00034/contigs.fa,contig00162,1898,3313,+,ply,1-1416/1416,===============,0/0,100.00,99.65,vfdb,NP_346351,(ply) pneumolysin [Pneumolysin (VF0149)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00034/contigs.fa,contig00177,687,1616,-,psaA,1-930/930,===============,0/0,100.00,99.68,vfdb,NP_346089,(psaA) manganese ABC transporter manganese-binding adhesion liprotein [PsaA (VF0151)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00034/contigs.fa,contig00246,253,945,-,cps4C,1-693/693,========/======,2/2,99.86,88.76,vfdb,NP_344881,(cps4C) capsular polysaccharide biosynthesis protein Cps4C [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00034/contigs.fa,contig00246,954,1684,-,cps4B,1-732/732,========/======,3/3,99.73,78.85,vfdb,NP_344880,(cps4B) capsular polysaccharide biosynthesis protein Cps4B [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00036/contigs.fa,contig00001,11810,12680,-,hasC,7-877/915,========/======,2/2,95.08,76.83,vfdb,NP_270109,(hasC) UDP-glucose pyrophosphorylase [Hyaluronic acid capsule (VF0244)] [Streptococcus pyogenes M1 GAS],
results/SP/shovill/CS00036/contigs.fa,contig00015,1157,3133,+,lytB,1-1977/1977,===============,0/0,100.00,99.09,vfdb,NP_345446,(lytB) endo-beta-N-acetylglucosaminidase [CBPs (VF0145)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00036/contigs.fa,contig00015,3194,4876,-,pavA,1-1683/1683,===============,0/0,100.00,99.53,vfdb,NP_358462,(pavA) Fibronectin-binding protein-like protein A [PavA (VF0283)] [Streptococcus pneumoniae R6],
results/SP/shovill/CS00036/contigs.fa,contig00027,7507,8463,+,lytA,1-957/957,===============,0/0,100.00,98.64,vfdb,NP_346365,(lytA) autolysin [Autolysin (VF0143)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00036/contigs.fa,contig00071,1770,2699,+,psaA,1-930/930,===============,0/0,100.00,99.68,vfdb,NP_346089,(psaA) manganese ABC transporter manganese-binding adhesion liprotein [PsaA (VF0151)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00036/contigs.fa,contig00086,4143,5919,-,nanB,316-2094/2094,..======/======,1/2,84.86,99.21,vfdb,NP_346126,(nanB) neuraminidase B [Neuraminidase (VF0148)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00036/contigs.fa,contig00151,1867,3282,+,ply,1-1416/1416,===============,0/0,100.00,99.65,vfdb,NP_346351,(ply) pneumolysin [Pneumolysin (VF0149)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00036/contigs.fa,contig00223,516,1208,-,cps4C,1-693/693,========/======,2/2,99.86,88.76,vfdb,NP_344881,(cps4C) capsular polysaccharide biosynthesis protein Cps4C [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00036/contigs.fa,contig00223,1217,1947,-,cps4B,1-732/732,========/======,3/3,99.73,78.85,vfdb,NP_344880,(cps4B) capsular polysaccharide biosynthesis protein Cps4B [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00038/contigs.fa,contig00001,9200,10070,+,hasC,7-877/915,========/======,2/2,95.08,76.83,vfdb,NP_270109,(hasC) UDP-glucose pyrophosphorylase [Hyaluronic acid capsule (VF0244)] [Streptococcus pyogenes M1 GAS],
results/SP/shovill/CS00038/contigs.fa,contig00072,4017,5780,-,nanB,331-2094/2094,..=============,0/0,84.24,99.32,vfdb,NP_346126,(nanB) neuraminidase B [Neuraminidase (VF0148)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00038/contigs.fa,contig00153,362,1318,-,lytA,1-957/957,===============,0/0,100.00,98.64,vfdb,NP_346365,(lytA) autolysin [Autolysin (VF0143)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00038/contigs.fa,contig00157,697,1626,-,psaA,1-930/930,===============,0/0,100.00,99.68,vfdb,NP_346089,(psaA) manganese ABC transporter manganese-binding adhesion liprotein [PsaA (VF0151)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00038/contigs.fa,contig00184,118,2786,-,hysA,533-3201/3201,..=============,0/0,83.38,99.25,vfdb,NP_344851,(hysA) hyaluronate lyase [Hyaluronate lyase (VF0146)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00038/contigs.fa,contig00187,474,1889,-,ply,1-1416/1416,===============,0/0,100.00,99.65,vfdb,NP_346351,(ply) pneumolysin [Pneumolysin (VF0149)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00038/contigs.fa,contig00210,79,2239,-,pfbA,1-2160/2160,========/======,1/1,100.00,99.68,vfdb,NP_359244,(pfbA) cell wall surface anchor family protein Plasminogen- and Fibronectin-binding protein A [PfbA (VF0525)] [Streptococcus pneumoniae R6],
results/SP/shovill/CS00038/contigs.fa,contig00221,388,1118,+,cps4B,1-732/732,========/======,3/3,99.73,78.85,vfdb,NP_344880,(cps4B) capsular polysaccharide biosynthesis protein Cps4B [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00038/contigs.fa,contig00221,1134,1819,+,cps4C,8-693/693,========/======,2/2,98.85,88.79,vfdb,NP_344881,(cps4C) capsular polysaccharide biosynthesis protein Cps4C [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00040/contigs.fa,contig00002,11453,12323,-,hasC,7-877/915,========/======,2/2,95.08,76.83,vfdb,NP_270109,(hasC) UDP-glucose pyrophosphorylase [Hyaluronic acid capsule (VF0244)] [Streptococcus pyogenes M1 GAS],
results/SP/shovill/CS00040/contigs.fa,contig00007,12399,15602,-,hysA,1-3201/3201,========/======,1/3,100.00,99.16,vfdb,NP_344851,(hysA) hyaluronate lyase [Hyaluronate lyase (VF0146)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00040/contigs.fa,contig00010,3074,4756,-,pavA,1-1683/1683,===============,0/0,100.00,99.82,vfdb,NP_358462,(pavA) Fibronectin-binding protein-like protein A [PavA (VF0283)] [Streptococcus pneumoniae R6],
results/SP/shovill/CS00040/contigs.fa,contig00023,9458,10804,+,cbpD,1-1347/1347,===============,0/0,100.00,98.74,vfdb,NP_346612,(cbpD) choline binding protein D [CBPs (VF0145)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00040/contigs.fa,contig00067,1311,2240,+,psaA,1-930/930,===============,0/0,100.00,99.68,vfdb,NP_346089,(psaA) manganese ABC transporter manganese-binding adhesion liprotein [PsaA (VF0151)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00040/contigs.fa,contig00081,1,1767,+,nanB,328-2094/2094,..=============,0/0,84.38,99.38,vfdb,NP_346126,(nanB) neuraminidase B [Neuraminidase (VF0148)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00040/contigs.fa,contig00134,1852,3267,+,ply,1-1416/1416,===============,0/0,100.00,99.79,vfdb,NP_346351,(ply) pneumolysin [Pneumolysin (VF0149)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00040/contigs.fa,contig00175,1930,2803,+,lytA,1-874/957,==============.,0/0,91.33,98.63,vfdb,NP_346365,(lytA) autolysin [Autolysin (VF0143)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00040/contigs.fa,contig00226,469,1199,+,cps4B,1-732/732,========/======,3/3,99.73,78.85,vfdb,NP_344880,(cps4B) capsular polysaccharide biosynthesis protein Cps4B [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00040/contigs.fa,contig00226,1208,1900,+,cps4C,1-693/693,========/======,2/2,99.86,88.76,vfdb,NP_344881,(cps4C) capsular polysaccharide biosynthesis protein Cps4C [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00040/contigs.fa,contig00332,4,818,+,lytA,55-869/957,========/=====.,2/2,85.06,88.11,vfdb,NP_346365,(lytA) autolysin [Autolysin (VF0143)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00174/contigs.fa,contig00001,1130,2000,+,hasC,7-877/915,========/======,2/2,95.08,76.83,vfdb,NP_270109,(hasC) UDP-glucose pyrophosphorylase [Hyaluronic acid capsule (VF0244)] [Streptococcus pyogenes M1 GAS],
results/SP/shovill/CS00174/contigs.fa,contig00001,24819,25689,-,hasC,7-877/915,========/======,2/2,95.08,76.83,vfdb,NP_270109,(hasC) UDP-glucose pyrophosphorylase [Hyaluronic acid capsule (VF0244)] [Streptococcus pyogenes M1 GAS],
results/SP/shovill/CS00174/contigs.fa,contig00018,1492,2421,-,psaA,1-930/930,===============,0/0,100.00,99.68,vfdb,NP_346089,(psaA) manganese ABC transporter manganese-binding adhesion liprotein [PsaA (VF0151)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00174/contigs.fa,contig00066,1730,2686,-,lytA,1-957/957,===============,0/0,100.00,98.75,vfdb,NP_346365,(lytA) autolysin [Autolysin (VF0143)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00174/contigs.fa,contig00094,165,1372,+,cps4A,234-1446/1446,..======/======,1/5,83.54,96.54,vfdb,NP_344879,(cps4A) capsular polysaccharide biosynthesis protein Cps4A [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00174/contigs.fa,contig00094,1374,2104,+,cps4B,1-732/732,========/======,3/3,99.73,78.85,vfdb,NP_344880,(cps4B) capsular polysaccharide biosynthesis protein Cps4B [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00174/contigs.fa,contig00094,2113,2805,+,cps4C,1-693/693,========/======,2/2,99.86,88.76,vfdb,NP_344881,(cps4C) capsular polysaccharide biosynthesis protein Cps4C [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00174/contigs.fa,contig00158,223,2896,+,hysA,528-3201/3201,..=============,0/0,83.54,99.33,vfdb,NP_344851,(hysA) hyaluronate lyase [Hyaluronate lyase (VF0146)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00174/contigs.fa,contig00305,1,1414,+,ply,3-1416/1416,===============,0/0,99.86,99.79,vfdb,NP_346351,(ply) pneumolysin [Pneumolysin (VF0149)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00175/contigs.fa,contig00018,694,1564,+,hasC,7-877/915,========/======,2/2,95.08,76.83,vfdb,NP_270109,(hasC) UDP-glucose pyrophosphorylase [Hyaluronic acid capsule (VF0244)] [Streptococcus pyogenes M1 GAS],
results/SP/shovill/CS00175/contigs.fa,contig00091,1995,2863,+,lytA,1-869/957,==============.,0/0,90.80,98.62,vfdb,NP_346365,(lytA) autolysin [Autolysin (VF0143)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00175/contigs.fa,contig00103,1007,1737,+,cps4B,1-732/732,========/======,3/3,99.73,78.85,vfdb,NP_344880,(cps4B) capsular polysaccharide biosynthesis protein Cps4B [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00175/contigs.fa,contig00103,1746,2438,+,cps4C,1-693/693,========/======,2/2,99.86,88.76,vfdb,NP_344881,(cps4C) capsular polysaccharide biosynthesis protein Cps4C [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00175/contigs.fa,contig00177,52,1604,-,lytB,1-1554/1977,========/====..,1/1,78.55,99.16,vfdb,NP_345446,(lytB) endo-beta-N-acetylglucosaminidase [CBPs (VF0145)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00176/contigs.fa,contig00003,612,1482,+,hasC,7-877/915,========/======,2/2,95.08,76.83,vfdb,NP_270109,(hasC) UDP-glucose pyrophosphorylase [Hyaluronic acid capsule (VF0244)] [Streptococcus pyogenes M1 GAS],
results/SP/shovill/CS00176/contigs.fa,contig00190,283,975,-,cps4C,1-693/693,========/======,2/2,99.86,88.76,vfdb,NP_344881,(cps4C) capsular polysaccharide biosynthesis protein Cps4C [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00176/contigs.fa,contig00190,984,1714,-,cps4B,1-732/732,========/======,3/3,99.73,78.85,vfdb,NP_344880,(cps4B) capsular polysaccharide biosynthesis protein Cps4B [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00176/contigs.fa,contig00194,948,2142,-,ply,222-1416/1416,..=============,0/0,84.39,99.75,vfdb,NP_346351,(ply) pneumolysin [Pneumolysin (VF0149)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00176/contigs.fa,contig00305,85,1012,-,psaA,1-928/930,===============,0/0,99.78,99.68,vfdb,NP_346089,(psaA) manganese ABC transporter manganese-binding adhesion liprotein [PsaA (VF0151)] [Streptococcus pneumoniae TIGR4],
