"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GPSC15_reference","GPSC17_reference","GPSC22_reference","GPSC25_reference","GPSC26_reference","GPSC32_reference","GPSC34_reference","GPSC37_reference","GPSC3_reference","GPSC4_reference","GPSC5_reference","GPSC8_reference","JYGP01","NC_017592"
"group_1014","","PhoH-like protein","14","14","1","1","3942","","","","968","1004","973","GPSC15_reference_00876","GPSC17_reference_00893","GPSC22_reference_00863","GPSC25_reference_01001","GPSC26_reference_00883","GPSC32_reference_00944","GPSC34_reference_00899","GPSC37_reference_00891","GPSC3_reference_00935","GPSC4_reference_00838","GPSC5_reference_00932","GPSC8_reference_00946","JYGP01_00647","NC_017592_00889"
"trmR","","tRNA 5-hydroxyuridine methyltransferase","14","14","1","1","3907","","","","713","713","713","GPSC15_reference_00907","GPSC17_reference_00925","GPSC22_reference_00893","GPSC25_reference_01031","GPSC26_reference_00913","GPSC32_reference_00976","GPSC34_reference_00930","GPSC37_reference_00921","GPSC3_reference_00965","GPSC4_reference_00869","GPSC5_reference_00958","GPSC8_reference_00977","JYGP01_00673","NC_017592_00919"
"mtnN","","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","14","14","1","1","4617","","","","692","692","692","GPSC15_reference_00918","GPSC17_reference_00936","GPSC22_reference_00904","GPSC25_reference_01042","GPSC26_reference_00924","GPSC32_reference_00987","GPSC34_reference_00941","GPSC37_reference_00932","GPSC3_reference_00978","GPSC4_reference_00880","GPSC5_reference_00968","GPSC8_reference_00988","JYGP01_01046","NC_017592_00930"
"hemH","","Ferrochelatase","14","14","1","1","4646","","","","1094","1094","1094","GPSC15_reference_00940","GPSC17_reference_00954","GPSC22_reference_00921","GPSC25_reference_01057","GPSC26_reference_01006","GPSC32_reference_01007","GPSC34_reference_00959","GPSC37_reference_00949","GPSC3_reference_01132","GPSC4_reference_00896","GPSC5_reference_00984","GPSC8_reference_01004","JYGP01_00890","NC_017592_00947"
"dnaG","","DNA primase","14","14","1","1","4453","","","","1760","1760","1760","GPSC15_reference_00974","GPSC17_reference_01009","GPSC22_reference_00985","GPSC25_reference_01110","GPSC26_reference_01049","GPSC32_reference_01063","GPSC34_reference_01016","GPSC37_reference_00993","GPSC3_reference_01068","GPSC4_reference_00955","GPSC5_reference_01030","GPSC8_reference_01095","JYGP01_00680","NC_017592_01020"
"group_1030","","hypothetical protein","14","14","1","1","4333","","","","1079","1178","1170","GPSC15_reference_01031","GPSC17_reference_01084","GPSC22_reference_01049","GPSC25_reference_01187","GPSC26_reference_01141","GPSC32_reference_01121","GPSC34_reference_01070","GPSC37_reference_01051","GPSC3_reference_01009","GPSC4_reference_01355","GPSC5_reference_01085","GPSC8_reference_01150","JYGP01_00838","NC_017592_01075"
"ptsI","","Phosphoenolpyruvate-protein phosphotransferase","14","14","1","1","4308","","","","1370","1724","1698","GPSC15_reference_01053","GPSC17_reference_01105","GPSC22_reference_01072","GPSC25_reference_01209","GPSC26_reference_01014","GPSC32_reference_01200","GPSC34_reference_01091","GPSC37_reference_01075","GPSC3_reference_01148","GPSC4_reference_01000","GPSC5_reference_01124","GPSC8_reference_01173","JYGP01_00731","NC_017592_01095"
"nrdH","","Glutaredoxin-like protein NrdH","14","14","1","1","4306","","","","218","218","218","GPSC15_reference_01055","GPSC17_reference_01107","GPSC22_reference_01074","GPSC25_reference_01211","GPSC26_reference_01016","GPSC32_reference_01202","GPSC34_reference_01093","GPSC37_reference_01077","GPSC3_reference_01150","GPSC4_reference_01002","GPSC5_reference_01126","GPSC8_reference_01175","JYGP01_00729","NC_017592_01097"
"lacG_2","","6-phospho-beta-galactosidase","14","14","1","1","4302","","","","1406","1478","1411","GPSC15_reference_01059","GPSC17_reference_01112","GPSC22_reference_01079","GPSC25_reference_01215","GPSC26_reference_01020","GPSC32_reference_01208","GPSC34_reference_01097","GPSC37_reference_01081","GPSC3_reference_01155","GPSC4_reference_01006","GPSC5_reference_01131","GPSC8_reference_01179","JYGP01_00724","NC_017592_01102"
"argR_2","","Arginine repressor","14","14","1","1","116","","","","392","431","405","GPSC15_reference_01075","GPSC17_reference_01130","GPSC22_reference_01096","GPSC25_reference_01233","GPSC26_reference_01191","GPSC32_reference_01223","GPSC34_reference_01114","GPSC37_reference_01096","GPSC3_reference_01171","GPSC4_reference_01024","GPSC5_reference_01148","GPSC8_reference_01196","JYGP01_00709","NC_017592_01118"
"truB","","tRNA pseudouridine synthase B","14","14","1","1","108","","","","878","878","878","GPSC15_reference_01083","GPSC17_reference_01138","GPSC22_reference_01104","GPSC25_reference_01241","GPSC26_reference_01199","GPSC32_reference_01231","GPSC34_reference_01122","GPSC37_reference_01104","GPSC3_reference_01179","GPSC4_reference_01032","GPSC5_reference_01156","GPSC8_reference_01204","JYGP01_00703","NC_017592_01126"
"yidA_2","","Sugar phosphatase YidA","14","14","1","1","4432","","","","818","818","818","GPSC15_reference_01113","GPSC17_reference_01168","GPSC22_reference_01134","GPSC25_reference_01271","GPSC26_reference_01231","GPSC32_reference_01261","GPSC34_reference_01152","GPSC37_reference_01138","GPSC3_reference_01211","GPSC4_reference_01063","GPSC5_reference_01187","GPSC8_reference_01248","JYGP01_00959","NC_017592_01156"
"ybjI","","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI","14","14","1","1","4433","","","","791","794","793","GPSC15_reference_01114","GPSC17_reference_01169","GPSC22_reference_01135","GPSC25_reference_01272","GPSC26_reference_01232","GPSC32_reference_01262","GPSC34_reference_01153","GPSC37_reference_01139","GPSC3_reference_01212","GPSC4_reference_01064","GPSC5_reference_01188","GPSC8_reference_01249","JYGP01_00960","NC_017592_01157"
"group_1045","","hypothetical protein","14","14","1","1","434","","","","878","878","878","GPSC15_reference_01138","GPSC17_reference_01189","GPSC22_reference_01166","GPSC25_reference_01293","GPSC26_reference_01253","GPSC32_reference_01284","GPSC34_reference_01173","GPSC37_reference_01160","GPSC3_reference_01234","GPSC4_reference_01084","GPSC5_reference_01208","GPSC8_reference_01269","JYGP01_01002","NC_017592_01178"
"tarJ","","Ribulose-5-phosphate reductase","14","14","1","1","432","","","","1022","1022","1022","GPSC15_reference_01140","GPSC17_reference_01191","GPSC22_reference_01168","GPSC25_reference_01295","GPSC26_reference_01255","GPSC32_reference_01286","GPSC34_reference_01175","GPSC37_reference_01162","GPSC3_reference_01236","GPSC4_reference_01086","GPSC5_reference_01210","GPSC8_reference_01271","JYGP01_01004","NC_017592_01180"
"tarI","","Ribitol-5-phosphate cytidylyltransferase","14","14","1","1","430","","","","707","707","707","GPSC15_reference_01141","GPSC17_reference_01192","GPSC22_reference_01169","GPSC25_reference_01296","GPSC26_reference_01256","GPSC32_reference_01287","GPSC34_reference_01176","GPSC37_reference_01163","GPSC3_reference_01237","GPSC4_reference_01087","GPSC5_reference_01211","GPSC8_reference_01272","JYGP01_01005","NC_017592_01181"
"group_1048","","hypothetical protein","14","14","1","1","421","","","","542","542","542","GPSC15_reference_01150","GPSC17_reference_01201","GPSC22_reference_01178","GPSC25_reference_01305","GPSC26_reference_01265","GPSC32_reference_01296","GPSC34_reference_01185","GPSC37_reference_01172","GPSC3_reference_01246","GPSC4_reference_01096","GPSC5_reference_01220","GPSC8_reference_01281","JYGP01_01015","NC_017592_01190"
"crcB_1","","Putative fluoride ion transporter CrcB","14","14","1","1","396","","","","329","329","329","GPSC15_reference_01164","GPSC17_reference_01220","GPSC22_reference_01192","GPSC25_reference_01323","GPSC26_reference_01281","GPSC32_reference_01311","GPSC34_reference_01201","GPSC37_reference_01187","GPSC3_reference_01261","GPSC4_reference_01110","GPSC5_reference_01235","GPSC8_reference_01297","JYGP01_01036","NC_017592_01204"
"rlmI","","Ribosomal RNA large subunit methyltransferase I","14","14","1","1","3043","","","","1163","1199","1165","GPSC15_reference_01215","GPSC17_reference_01287","GPSC22_reference_01254","GPSC25_reference_01383","GPSC26_reference_01341","GPSC32_reference_01386","GPSC34_reference_01251","GPSC37_reference_01245","GPSC3_reference_01343","GPSC4_reference_01172","GPSC5_reference_01305","GPSC8_reference_01352","JYGP01_00493","NC_017592_01257"
"potD","","Spermidine/putrescine-binding periplasmic protein","14","14","1","1","3051","","","","1070","1070","1070","GPSC15_reference_01221","GPSC17_reference_01293","GPSC22_reference_01260","GPSC25_reference_01389","GPSC26_reference_01347","GPSC32_reference_01392","GPSC34_reference_01257","GPSC37_reference_01251","GPSC3_reference_01350","GPSC4_reference_01178","GPSC5_reference_01311","GPSC8_reference_01358","JYGP01_00482","NC_017592_01263"
"murB","","UDP-N-acetylenolpyruvoylglucosamine reductase","14","14","1","1","3055","","","","905","950","917","GPSC15_reference_01225","GPSC17_reference_01297","GPSC22_reference_01264","GPSC25_reference_01393","GPSC26_reference_01351","GPSC32_reference_01396","GPSC34_reference_01261","GPSC37_reference_01255","GPSC3_reference_01354","GPSC4_reference_01182","GPSC5_reference_01315","GPSC8_reference_01362","JYGP01_00478","NC_017592_01267"
"pstA","","hypothetical protein","14","14","1","1","3065","","","","443","884","852","GPSC15_reference_01234","GPSC17_reference_01305","GPSC22_reference_01274","GPSC25_reference_01401","GPSC26_reference_01359","GPSC32_reference_01405","GPSC34_reference_01269","GPSC37_reference_01263","GPSC3_reference_01363","GPSC4_reference_01190","GPSC5_reference_01323","GPSC8_reference_01371","JYGP01_00470","NC_017592_01276"
"murE","","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase","14","14","1","1","2966","","","","1445","1445","1445","GPSC15_reference_01335","GPSC17_reference_01414","GPSC22_reference_01380","GPSC25_reference_01508","GPSC26_reference_01482","GPSC32_reference_01522","GPSC34_reference_01376","GPSC37_reference_01371","GPSC3_reference_01480","GPSC4_reference_01409","GPSC5_reference_01434","GPSC8_reference_01494","JYGP01_01228","NC_017592_01393"
"group_1066","","hypothetical protein","14","14","1","1","2934","","","","164","164","164","GPSC15_reference_01353","GPSC17_reference_01432","GPSC22_reference_01398","GPSC25_reference_01526","GPSC26_reference_01504","GPSC32_reference_01540","GPSC34_reference_01395","GPSC37_reference_01390","GPSC3_reference_01498","GPSC4_reference_01429","GPSC5_reference_01454","GPSC8_reference_01514","JYGP01_01251","NC_017592_01411"
"pdxK","","Pyridoxine kinase","14","14","1","1","1829","","","","755","773","771","GPSC15_reference_01397","GPSC17_reference_01475","GPSC22_reference_01440","GPSC25_reference_01569","GPSC26_reference_01547","GPSC32_reference_01581","GPSC34_reference_01498","GPSC37_reference_01434","GPSC3_reference_01543","GPSC4_reference_01473","GPSC5_reference_01555","GPSC8_reference_01560","JYGP01_00425","NC_017592_01456"
"group_1077","","hypothetical protein","14","14","1","1","1882","","","","725","842","833","GPSC15_reference_01437","GPSC17_reference_01507","GPSC22_reference_01466","GPSC25_reference_01596","GPSC26_reference_01573","GPSC32_reference_01607","GPSC34_reference_01524","GPSC37_reference_01471","GPSC3_reference_01568","GPSC4_reference_01499","GPSC5_reference_01592","GPSC8_reference_01600","JYGP01_00396","NC_017592_01495"
"dtd","","D-aminoacyl-tRNA deacylase","14","14","1","1","1875","","","","443","443","443","GPSC15_reference_01442","GPSC17_reference_01513","GPSC22_reference_01471","GPSC25_reference_01601","GPSC26_reference_01578","GPSC32_reference_01612","GPSC34_reference_01530","GPSC37_reference_01476","GPSC3_reference_01573","GPSC4_reference_01506","GPSC5_reference_01595","GPSC8_reference_01604","JYGP01_00391","NC_017592_01500"
"ileS","","Isoleucine--tRNA ligase","14","14","1","1","2675","","","","2792","2792","2792","GPSC15_reference_01457","GPSC17_reference_01526","GPSC22_reference_01484","GPSC25_reference_01614","GPSC26_reference_01592","GPSC32_reference_01627","GPSC34_reference_01544","GPSC37_reference_01492","GPSC3_reference_01587","GPSC4_reference_01520","GPSC5_reference_01609","GPSC8_reference_01619","JYGP01_00375","NC_017592_01516"
"ddl","","D-alanine--D-alanine ligase","14","14","1","1","2663","","","","1043","1043","1043","GPSC15_reference_01468","GPSC17_reference_01537","GPSC22_reference_01495","GPSC25_reference_01625","GPSC26_reference_01603","GPSC32_reference_01637","GPSC34_reference_01555","GPSC37_reference_01503","GPSC3_reference_01598","GPSC4_reference_01531","GPSC5_reference_01620","GPSC8_reference_01631","JYGP01_00364","NC_017592_01527"
"tabA","","Toxin-antitoxin biofilm protein TabA","14","14","1","1","2418","","","","452","452","452","GPSC15_reference_01476","GPSC17_reference_01545","GPSC22_reference_01503","GPSC25_reference_01633","GPSC26_reference_01612","GPSC32_reference_01645","GPSC34_reference_01563","GPSC37_reference_01511","GPSC3_reference_01606","GPSC4_reference_01539","GPSC5_reference_01629","GPSC8_reference_01639","JYGP01_00355","NC_017592_01535"
"group_1089","","hypothetical protein","14","14","1","1","2430","","","","158","452","431","GPSC15_reference_01487","GPSC17_reference_01556","GPSC22_reference_01514","GPSC25_reference_01644","GPSC26_reference_01623","GPSC32_reference_01656","GPSC34_reference_01576","GPSC37_reference_01522","GPSC3_reference_01620","GPSC4_reference_01551","GPSC5_reference_01640","GPSC8_reference_01650","JYGP01_00346","NC_017592_01546"
"COQ5_2","","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial","14","14","1","1","2329","","","","740","746","745","GPSC15_reference_01539","GPSC17_reference_01605","GPSC22_reference_01563","GPSC25_reference_01693","GPSC26_reference_01676","GPSC32_reference_01706","GPSC34_reference_01626","GPSC37_reference_01570","GPSC3_reference_01669","GPSC4_reference_01604","GPSC5_reference_01693","GPSC8_reference_01702","JYGP01_01336","NC_017592_01594"
"nadD","","Nicotinate-nucleotide adenylyltransferase","14","14","1","1","2325","","","","629","629","629","GPSC15_reference_01543","GPSC17_reference_01609","GPSC22_reference_01567","GPSC25_reference_01697","GPSC26_reference_01680","GPSC32_reference_01710","GPSC34_reference_01630","GPSC37_reference_01574","GPSC3_reference_01673","GPSC4_reference_01608","GPSC5_reference_01697","GPSC8_reference_01706","JYGP01_01339","NC_017592_01598"
"wcaJ","","UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase","14","14","1","1","1252","","","","692","692","692","GPSC15_reference_01615","GPSC17_reference_01700","GPSC22_reference_01660","GPSC25_reference_01762","GPSC26_reference_01750","GPSC32_reference_01767","GPSC34_reference_01693","GPSC37_reference_01664","GPSC3_reference_01746","GPSC4_reference_01698","GPSC5_reference_01763","GPSC8_reference_01807","JYGP01_00283","NC_017592_01676"
"yheH","","putative multidrug resistance ABC transporter ATP-binding/permease protein YheH","14","14","1","1","1253","","","","1742","1751","1750","GPSC15_reference_01616","GPSC17_reference_01701","GPSC22_reference_01661","GPSC25_reference_01763","GPSC26_reference_01751","GPSC32_reference_01768","GPSC34_reference_01694","GPSC37_reference_01665","GPSC3_reference_01747","GPSC4_reference_01699","GPSC5_reference_01764","GPSC8_reference_01808","JYGP01_00282","NC_017592_01677"
"yheI","","putative multidrug resistance ABC transporter ATP-binding/permease protein YheI","14","14","1","1","1389","","","","1745","1745","1745","GPSC15_reference_01617","GPSC17_reference_01702","GPSC22_reference_01662","GPSC25_reference_01764","GPSC26_reference_01752","GPSC32_reference_01769","GPSC34_reference_01695","GPSC37_reference_01666","GPSC3_reference_01748","GPSC4_reference_01700","GPSC5_reference_01765","GPSC8_reference_01809","JYGP01_00281","NC_017592_01678"
"paaI","","Acyl-coenzyme A thioesterase PaaI","14","14","1","1","1370","","","","404","404","404","GPSC15_reference_01627","GPSC17_reference_01713","GPSC22_reference_01673","GPSC25_reference_01775","GPSC26_reference_01763","GPSC32_reference_01780","GPSC34_reference_01705","GPSC37_reference_01676","GPSC3_reference_01759","GPSC4_reference_01712","GPSC5_reference_01777","GPSC8_reference_01820","JYGP01_00271","NC_017592_01689"
"group_1106","","hypothetical protein","14","14","1","1","1360","","","","1520","1520","1520","GPSC15_reference_01636","GPSC17_reference_01722","GPSC22_reference_01682","GPSC25_reference_01784","GPSC26_reference_01772","GPSC32_reference_01789","GPSC34_reference_01714","GPSC37_reference_01685","GPSC3_reference_01768","GPSC4_reference_01721","GPSC5_reference_01786","GPSC8_reference_01829","JYGP01_00265","NC_017592_01698"
"group_1107","","hypothetical protein","14","14","1","1","1358","","","","149","764","717","GPSC15_reference_01638","GPSC17_reference_01724","GPSC22_reference_01684","GPSC25_reference_01786","GPSC26_reference_01774","GPSC32_reference_01791","GPSC34_reference_01716","GPSC37_reference_01687","GPSC3_reference_01770","GPSC4_reference_01723","GPSC5_reference_01788","GPSC8_reference_01831","JYGP01_00263","NC_017592_01700"
"agaA_1","","Alpha-galactosidase AgaA","14","14","1","1","2767","","","","2162","2162","2162","GPSC15_reference_01671","GPSC17_reference_01761","GPSC22_reference_01721","GPSC25_reference_01823","GPSC26_reference_01811","GPSC32_reference_01828","GPSC34_reference_01752","GPSC37_reference_01723","GPSC3_reference_01807","GPSC4_reference_01758","GPSC5_reference_02015","GPSC8_reference_01868","JYGP01_00256","NC_017592_01735"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG","14","14","1","1","2738","","","","761","761","761","GPSC15_reference_01695","GPSC17_reference_01784","GPSC22_reference_01746","GPSC25_reference_01837","GPSC26_reference_01844","GPSC32_reference_01850","GPSC34_reference_01773","GPSC37_reference_01746","GPSC3_reference_01840","GPSC4_reference_01781","GPSC5_reference_01823","GPSC8_reference_01902","JYGP01_01868","NC_017592_01770"
"yknY_2","","putative ABC transporter ATP-binding protein YknY","14","14","1","1","2637","","","","632","632","632","GPSC15_reference_01730","GPSC17_reference_01818","GPSC22_reference_01784","GPSC25_reference_01883","GPSC26_reference_01883","GPSC32_reference_01894","GPSC34_reference_01810","GPSC37_reference_01789","GPSC3_reference_01874","GPSC4_reference_01816","GPSC5_reference_01867","GPSC8_reference_01938","JYGP01_00382","NC_017592_01806"
"rsmD","","Ribosomal RNA small subunit methyltransferase D","14","14","1","1","4044","","","","539","539","539","GPSC15_reference_01743","GPSC17_reference_01831","GPSC22_reference_01797","GPSC25_reference_01896","GPSC26_reference_01896","GPSC32_reference_01907","GPSC34_reference_01823","GPSC37_reference_01803","GPSC3_reference_01887","GPSC4_reference_01829","GPSC5_reference_01880","GPSC8_reference_01951","JYGP01_01772","NC_017592_01819"
"rpe","","Ribulose-phosphate 3-epimerase","14","14","1","1","4063","","","","656","656","656","GPSC15_reference_01755","GPSC17_reference_01843","GPSC22_reference_01809","GPSC25_reference_01908","GPSC26_reference_01908","GPSC32_reference_01919","GPSC34_reference_01835","GPSC37_reference_01815","GPSC3_reference_01899","GPSC4_reference_01841","GPSC5_reference_01892","GPSC8_reference_01963","JYGP01_01754","NC_017592_01831"
"rsgA","","Small ribosomal subunit biogenesis GTPase RsgA","14","14","1","1","4064","","","","878","878","878","GPSC15_reference_01756","GPSC17_reference_01844","GPSC22_reference_01810","GPSC25_reference_01909","GPSC26_reference_01909","GPSC32_reference_01920","GPSC34_reference_01836","GPSC37_reference_01816","GPSC3_reference_01900","GPSC4_reference_01842","GPSC5_reference_01893","GPSC8_reference_01964","JYGP01_01753","NC_017592_01832"
"ycfH","","putative metal-dependent hydrolase YcfH","14","14","1","1","4075","","","","773","773","773","GPSC15_reference_01764","GPSC17_reference_01852","GPSC22_reference_01818","GPSC25_reference_01917","GPSC26_reference_01917","GPSC32_reference_01928","GPSC34_reference_01843","GPSC37_reference_01823","GPSC3_reference_01909","GPSC4_reference_01850","GPSC5_reference_01901","GPSC8_reference_01972","JYGP01_01750","NC_017592_01840"
"group_1121","","hypothetical protein","14","14","1","1","1129","","","","953","953","953","GPSC15_reference_01813","GPSC17_reference_01901","GPSC22_reference_01872","GPSC25_reference_01970","GPSC26_reference_01982","GPSC32_reference_01978","GPSC34_reference_01893","GPSC37_reference_01880","GPSC3_reference_01974","GPSC4_reference_01909","GPSC5_reference_01961","GPSC8_reference_02037","JYGP01_00213","NC_017592_01905"
"group_1125","","hypothetical protein","14","14","1","1","617","","","","431","434","433","GPSC15_reference_01851","GPSC17_reference_01935","GPSC22_reference_01908","GPSC25_reference_02006","GPSC26_reference_02023","GPSC32_reference_02013","GPSC34_reference_01945","GPSC37_reference_01900","GPSC3_reference_02017","GPSC4_reference_01945","GPSC5_reference_02033","GPSC8_reference_02079","JYGP01_00172","NC_017592_01946"
"group_1129","","hypothetical protein","14","14","1","1","566","","","","800","800","800","GPSC15_reference_01890","GPSC17_reference_01975","GPSC22_reference_01947","GPSC25_reference_02046","GPSC26_reference_02064","GPSC32_reference_02052","GPSC34_reference_01984","GPSC37_reference_01940","GPSC3_reference_02060","GPSC4_reference_01986","GPSC5_reference_02072","GPSC8_reference_02119","JYGP01_00139","NC_017592_01986"
"group_1130","","hypothetical protein","14","14","1","1","3444","","","","230","230","230","GPSC15_reference_01896","GPSC17_reference_01981","GPSC22_reference_01952","GPSC25_reference_02052","GPSC26_reference_02069","GPSC32_reference_02057","GPSC34_reference_01989","GPSC37_reference_01945","GPSC3_reference_02065","GPSC4_reference_01991","GPSC5_reference_02077","GPSC8_reference_02124","JYGP01_00135","NC_017592_01991"
"group_1131","","hypothetical protein","14","14","1","1","3450","","","","203","215","209","GPSC15_reference_01900","GPSC17_reference_01985","GPSC22_reference_01956","GPSC25_reference_02056","GPSC26_reference_02073","GPSC32_reference_02061","GPSC34_reference_01993","GPSC37_reference_01949","GPSC3_reference_02069","GPSC4_reference_01995","GPSC5_reference_02081","GPSC8_reference_02128","JYGP01_00129","NC_017592_01995"
"group_1132","","hypothetical protein","14","14","1","1","3463","","","","851","851","851","GPSC15_reference_01905","GPSC17_reference_01990","GPSC22_reference_01960","GPSC25_reference_02076","GPSC26_reference_02078","GPSC32_reference_02066","GPSC34_reference_01997","GPSC37_reference_01953","GPSC3_reference_02073","GPSC4_reference_01999","GPSC5_reference_02086","GPSC8_reference_02148","JYGP01_00126","NC_017592_02000"
"adhB","","Alcohol dehydrogenase 2","14","14","1","1","3499","","","","1151","1151","1151","GPSC15_reference_01935","GPSC17_reference_02020","GPSC22_reference_01986","GPSC25_reference_02108","GPSC26_reference_02111","GPSC32_reference_00018","GPSC34_reference_02030","GPSC37_reference_01995","GPSC3_reference_02106","GPSC4_reference_02029","GPSC5_reference_02119","GPSC8_reference_02181","JYGP01_01621","NC_017592_02026"
"glpO","","Alpha-glycerophosphate oxidase","14","14","1","1","3532","","","","1658","1826","1814","GPSC15_reference_01962","GPSC17_reference_02047","GPSC22_reference_02011","GPSC25_reference_00003","GPSC26_reference_02138","GPSC32_reference_00042","GPSC34_reference_02054","GPSC37_reference_02019","GPSC3_reference_02128","GPSC4_reference_02055","GPSC5_reference_02144","GPSC8_reference_02208","JYGP01_01631","NC_017592_02051"
"cysK","","Cysteine synthase","14","14","1","1","3563","","","","920","944","922","GPSC15_reference_01989","GPSC17_reference_02071","GPSC22_reference_02035","GPSC25_reference_00027","GPSC26_reference_02164","GPSC32_reference_00066","GPSC34_reference_00021","GPSC37_reference_02050","GPSC3_reference_02152","GPSC4_reference_02079","GPSC5_reference_02170","GPSC8_reference_02232","JYGP01_01657","NC_017592_02075"
