"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR133985","ERR181435","ERR229952","ERR234202","H37Rv","NC_019950","SRR1019139","SRR1163294","SRR1173445","SRR1173640","SRR1175079","SRR1180462","SRR671749","SRR998654"
"group_1021","","hypothetical protein","14","14","1","1","2016","","","","224","224","224","ERR133985_03881","ERR181435_03886","ERR229952_03897","ERR234202_03881","H37Rv_03883","NC_019950_03860","SRR1019139_03881","SRR1163294_03886","SRR1173445_03878","SRR1173640_03876","SRR1175079_03876","SRR1180462_03884","SRR671749_03876","SRR998654_03885"
"egtE","","putative hercynylcysteine sulfoxide lyase","14","14","1","1","2013","","","","1148","1172","1170","ERR133985_03884","ERR181435_03889","ERR229952_03900","ERR234202_03884","H37Rv_03886","NC_019950_03863","SRR1019139_03884","SRR1163294_03889","SRR1173445_03881","SRR1173640_03879","SRR1175079_03879","SRR1180462_03887","SRR671749_03879","SRR998654_03888"
"group_1023","","Nucleoid-associated protein","14","14","1","1","1996","","","","374","383","381","ERR133985_03901","ERR181435_03906","ERR229952_03917","ERR234202_03901","H37Rv_03903","NC_019950_03879","SRR1019139_03901","SRR1163294_03906","SRR1173445_03898","SRR1173640_03896","SRR1175079_03896","SRR1180462_03904","SRR671749_03896","SRR998654_03905"
"group_1024","","hypothetical protein","14","14","1","1","1987","","","","233","1001","836","ERR133985_03912","ERR181435_03916","ERR229952_03927","ERR234202_03911","H37Rv_03914","NC_019950_03889","SRR1019139_03911","SRR1163294_03916","SRR1173445_03908","SRR1173640_03906","SRR1175079_03906","SRR1180462_03914","SRR671749_03907","SRR998654_03915"
"group_1025","","Putative ribonuclease VapC50","14","14","1","1","1960","","","","290","350","294","ERR133985_03937","ERR181435_03941","ERR229952_03952","ERR234202_03937","H37Rv_03939","NC_019950_03916","SRR1019139_03935","SRR1163294_03940","SRR1173445_03933","SRR1173640_03931","SRR1175079_03931","SRR1180462_03938","SRR671749_03932","SRR998654_03940"
"group_1026","","hypothetical protein","14","14","1","1","1959","","","","227","308","302","ERR133985_03938","ERR181435_03942","ERR229952_03953","ERR234202_03938","H37Rv_03940","NC_019950_03917","SRR1019139_03936","SRR1163294_03941","SRR1173445_03934","SRR1173640_03932","SRR1175079_03932","SRR1180462_03939","SRR671749_03933","SRR998654_03941"
"group_1027","","hypothetical protein","14","14","1","1","1958","","","","326","392","363","ERR133985_03939","ERR181435_03943","ERR229952_03954","ERR234202_03939","H37Rv_03941","NC_019950_03918","SRR1019139_03937","SRR1163294_03942","SRR1173445_03935","SRR1173640_03933","SRR1175079_03933","SRR1180462_03940","SRR671749_03934","SRR998654_03942"
"opuBA","","Choline transport ATP-binding protein OpuBA","14","14","1","1","1950","","","","1130","1181","1133","ERR133985_03948","ERR181435_03952","ERR229952_03963","ERR234202_03948","H37Rv_03950","NC_019950_03927","SRR1019139_03946","SRR1163294_03951","SRR1173445_03944","SRR1173640_03942","SRR1175079_03942","SRR1180462_03949","SRR671749_03943","SRR998654_03951"
"yehZ","","Glycine betaine-binding protein YehZ","14","14","1","1","1949","","","","1031","1031","1031","ERR133985_03949","ERR181435_03953","ERR229952_03964","ERR234202_03949","H37Rv_03951","NC_019950_03928","SRR1019139_03947","SRR1163294_03952","SRR1173445_03945","SRR1173640_03943","SRR1175079_03943","SRR1180462_03950","SRR671749_03944","SRR998654_03952"
"group_1030","","hypothetical protein","14","14","1","1","1935","","","","191","191","191","ERR133985_03962","ERR181435_03966","ERR229952_03977","ERR234202_03962","H37Rv_03964","NC_019950_03941","SRR1019139_03960","SRR1163294_03965","SRR1173445_03958","SRR1173640_03956","SRR1175079_03956","SRR1180462_03963","SRR671749_03958","SRR998654_03965"
"group_1031","","hypothetical protein","14","14","1","1","1932","","","","401","497","483","ERR133985_03967","ERR181435_03971","ERR229952_03982","ERR234202_03967","H37Rv_03969","NC_019950_03946","SRR1019139_03965","SRR1163294_03970","SRR1173445_03963","SRR1173640_03961","SRR1175079_03961","SRR1180462_03968","SRR671749_03963","SRR998654_03970"
"group_1032","","2-haloacrylate reductase","14","14","1","1","1929","","","","977","977","977","ERR133985_03971","ERR181435_03975","ERR229952_03987","ERR234202_03971","H37Rv_03973","NC_019950_03950","SRR1019139_03969","SRR1163294_03974","SRR1173445_03967","SRR1173640_03965","SRR1175079_03965","SRR1180462_03972","SRR671749_03967","SRR998654_03974"
"glfT1","","Galactofuranosyltransferase GlfT1","14","14","1","1","1923","","","","914","914","914","ERR133985_03976","ERR181435_03980","ERR229952_03992","ERR234202_03976","H37Rv_03978","NC_019950_03955","SRR1019139_03974","SRR1163294_03979","SRR1173445_03972","SRR1173640_03970","SRR1175079_03970","SRR1180462_03977","SRR671749_03972","SRR998654_03979"
"aftA","","Galactan 5-O-arabinofuranosyltransferase","14","14","1","1","1913","","","","1892","1931","1894","ERR133985_03986","ERR181435_03990","ERR229952_04002","ERR234202_03986","H37Rv_03988","NC_019950_03965","SRR1019139_03984","SRR1163294_03989","SRR1173445_03982","SRR1173640_03980","SRR1175079_03980","SRR1180462_03987","SRR671749_03982","SRR998654_03989"
"group_1035","","Putative decaprenylphosphoryl-5-phosphoribose phosphatase","14","14","1","1","1898","","","","533","542","533","ERR133985_04001","ERR181435_04005","ERR229952_04017","ERR234202_04001","H37Rv_04003","NC_019950_03979","SRR1019139_03999","SRR1163294_04004","SRR1173445_03997","SRR1173640_03995","SRR1175079_03995","SRR1180462_04002","SRR671749_03997","SRR998654_04004"
"group_1036","","hypothetical protein","14","14","1","1","1891","","","","554","1514","1445","ERR133985_04006","ERR181435_04011","ERR229952_04022","ERR234202_04006","H37Rv_04008","NC_019950_03984","SRR1019139_04004","SRR1163294_04009","SRR1173445_04002","SRR1173640_04000","SRR1175079_04000","SRR1180462_04008","SRR671749_04002","SRR998654_04009"
"group_1037","","IS607 family transposase IS1537","14","14","1","1","1875","","","","1223","1379","1234","ERR133985_04022","ERR181435_04027","ERR229952_04038","ERR234202_04022","H37Rv_04024","NC_019950_04000","SRR1019139_04020","SRR1163294_04025","SRR1173445_04018","SRR1173640_04016","SRR1175079_04016","SRR1180462_04024","SRR671749_04018","SRR998654_04025"
"nimR","","HTH-type transcriptional regulator NimR","14","14","1","1","1869","","","","743","791","787","ERR133985_04028","ERR181435_04033","ERR229952_04044","ERR234202_04028","H37Rv_04030","NC_019950_04006","SRR1019139_04026","SRR1163294_04031","SRR1173445_04024","SRR1173640_04021","SRR1175079_04021","SRR1180462_04030","SRR671749_04024","SRR998654_04031"
"group_1039","","hypothetical protein","14","14","1","1","1866","","","","350","413","381","ERR133985_04031","ERR181435_04036","ERR229952_04047","ERR234202_04031","H37Rv_04033","NC_019950_04009","SRR1019139_04029","SRR1163294_04034","SRR1173445_04027","SRR1173640_04024","SRR1175079_04024","SRR1180462_04033","SRR671749_04027","SRR998654_04034"
"lppA_2","","Putative lipoprotein LppA","14","14","1","1","3305","","","","533","836","577","ERR133985_02680","ERR181435_02686","ERR229952_02695","ERR234202_02682","H37Rv_02682","NC_019950_02673","SRR1019139_02680","SRR1163294_02685","SRR1173445_02678","SRR1173640_02679","SRR1175079_02680","SRR1180462_02683","SRR671749_02676","SRR998654_02679"
"lcpB","","putative cell wall biosynthesis protein LcpB","14","14","1","1","1862","","","","293","362","357","ERR133985_04036","ERR181435_04041","ERR229952_04051","ERR234202_04035","H37Rv_04038","NC_019950_04013","SRR1019139_04033","SRR1163294_04038","SRR1173445_04032","SRR1173640_04029","SRR1175079_04029","SRR1180462_04037","SRR671749_04032","SRR998654_04038"
"group_1041","","hypothetical protein","14","14","1","1","1857","","","","131","131","131","ERR133985_04041","ERR181435_04046","ERR229952_04056","ERR234202_04040","H37Rv_04043","NC_019950_04018","SRR1019139_04038","SRR1163294_04043","SRR1173445_04037","SRR1173640_04034","SRR1175079_04034","SRR1180462_04042","SRR671749_04037","SRR998654_04043"
"group_1042","","hypothetical protein","14","14","1","1","1850","","","","833","908","902","ERR133985_04048","ERR181435_04053","ERR229952_04063","ERR234202_04047","H37Rv_04050","NC_019950_04026","SRR1019139_04045","SRR1163294_04050","SRR1173445_04044","SRR1173640_04041","SRR1175079_04041","SRR1180462_04049","SRR671749_04044","SRR998654_04050"
"ethR_2","","HTH-type transcriptional regulator EthR","14","14","1","1","1843","","","","650","686","652","ERR133985_04055","ERR181435_04060","ERR229952_04070","ERR234202_04054","H37Rv_04057","NC_019950_04033","SRR1019139_04052","SRR1163294_04057","SRR1173445_04051","SRR1173640_04048","SRR1175079_04048","SRR1180462_04056","SRR671749_04051","SRR998654_04057"
"group_1044","","hypothetical protein","14","14","1","1","1840","","","","140","140","140","ERR133985_04058","ERR181435_04063","ERR229952_04073","ERR234202_04057","H37Rv_04060","NC_019950_04036","SRR1019139_04055","SRR1163294_04060","SRR1173445_04054","SRR1173640_04051","SRR1175079_04051","SRR1180462_04059","SRR671749_04054","SRR998654_04060"
"espB","","ESX-1 secretion-associated protein EspB","14","14","1","1","1814","","","","1349","1382","1379","ERR133985_04083","ERR181435_04089","ERR229952_04097","ERR234202_04082","H37Rv_04084","NC_019950_04060","SRR1019139_04079","SRR1163294_04084","SRR1173445_04078","SRR1173640_04075","SRR1175079_04075","SRR1180462_04084","SRR671749_04078","SRR998654_04084"
"eccE2","","ESX-2 secretion system protein EccE2","14","14","1","1","1810","","","","1433","1613","1600","ERR133985_04087","ERR181435_04093","ERR229952_04101","ERR234202_04086","H37Rv_04088","NC_019950_04064","SRR1019139_04083","SRR1163294_04088","SRR1173445_04082","SRR1173640_04079","SRR1175079_04079","SRR1180462_04088","SRR671749_04082","SRR998654_04088"
"esxC","","ESAT-6-like protein EsxC","14","14","1","1","1805","","","","113","287","262","ERR133985_04092","ERR181435_04098","ERR229952_04106","ERR234202_04091","H37Rv_04093","NC_019950_04069","SRR1019139_04088","SRR1163294_04093","SRR1173445_04087","SRR1173640_04084","SRR1175079_04084","SRR1180462_04093","SRR671749_04088","SRR998654_04093"
"group_1048","","hypothetical protein","14","14","1","1","1802","","","","233","305","238","ERR133985_04095","ERR181435_04101","ERR229952_04109","ERR234202_04094","H37Rv_04096","NC_019950_04072","SRR1019139_04091","SRR1163294_04096","SRR1173445_04090","SRR1173640_04087","SRR1175079_04087","SRR1180462_04096","SRR671749_04091","SRR998654_04096"
"group_1051","","putative protein","14","14","1","1","641","","","","1130","1145","1131","ERR133985_00528","ERR181435_00528","ERR229952_00531","ERR234202_00533","H37Rv_00529","NC_019950_00523","SRR1019139_00532","SRR1163294_00529","SRR1173445_00531","SRR1173640_00528","SRR1175079_00528","SRR1180462_00531","SRR671749_00525","SRR998654_00526"
"group_1052","","hypothetical protein","14","14","1","1","1288","","","","2294","2477","2314","ERR133985_01151","ERR181435_01154","ERR229952_01159","ERR234202_01160","H37Rv_01151","NC_019950_01131","SRR1019139_01155","SRR1163294_01151","SRR1173445_01152","SRR1173640_01154","SRR1175079_01150","SRR1180462_01156","SRR671749_01148","SRR998654_01149"
"group_1053","","putative protein","14","14","1","1","3597","","","","905","914","905","ERR133985_02401","ERR181435_02404","ERR229952_02412","ERR234202_02405","H37Rv_02402","NC_019950_02388","SRR1019139_02401","SRR1163294_02404","SRR1173445_02401","SRR1173640_02403","SRR1175079_02403","SRR1180462_02404","SRR671749_02398","SRR998654_02400"
"group_1054","","hypothetical protein","14","14","1","1","3253","","","","1604","1640","1630","ERR133985_02728","ERR181435_02736","ERR229952_02744","ERR234202_02731","H37Rv_02731","NC_019950_02720","SRR1019139_02728","SRR1163294_02733","SRR1173445_02726","SRR1173640_02726","SRR1175079_02727","SRR1180462_02731","SRR671749_02724","SRR998654_02728"
"group_1055","","hypothetical protein","14","14","1","1","2211","","","","866","4163","3912","ERR133985_03689","ERR181435_03694","ERR229952_03704","ERR234202_03687","H37Rv_03692","NC_019950_03670","SRR1019139_03689","SRR1163294_03694","SRR1173445_03685","SRR1173640_03684","SRR1175079_03684","SRR1180462_03691","SRR671749_03684","SRR998654_03690"
"group_1056","","putative PPE family protein PPE40","14","14","1","1","2155","","","","1586","1658","1652","ERR133985_03743","ERR181435_03747","ERR229952_03759","ERR234202_03742","H37Rv_03745","NC_019950_03723","SRR1019139_03742","SRR1163294_03747","SRR1173445_03738","SRR1173640_03738","SRR1175079_03738","SRR1180462_03745","SRR671749_03738","SRR998654_03745"
"hyfB","","Hydrogenase-4 component B","14","14","1","1","182","","","","1922","1976","1926","ERR133985_00095","ERR181435_00096","ERR229952_00096","ERR234202_00095","H37Rv_00094","NC_019950_00098","SRR1019139_00097","SRR1163294_00095","SRR1173445_00095","SRR1173640_00095","SRR1175079_00094","SRR1180462_00095","SRR671749_00093","SRR998654_00094"
"group_1058","","PE family immunomodulator PE35","14","14","1","1","1826","","","","287","299","294","ERR133985_04072","ERR181435_04077","ERR229952_04087","ERR234202_04071","H37Rv_04074","NC_019950_04050","SRR1019139_04069","SRR1163294_04074","SRR1173445_04068","SRR1173640_04065","SRR1175079_04065","SRR1180462_04073","SRR671749_04068","SRR998654_04074"
"group_1059","","hypothetical protein","14","14","1","1","3791","","","","1169","1478","1431","ERR133985_02213","ERR181435_02218","ERR229952_02228","ERR234202_02218","H37Rv_02213","NC_019950_02204","SRR1019139_02215","SRR1163294_02219","SRR1173445_02213","SRR1173640_02217","SRR1175079_02216","SRR1180462_02217","SRR671749_02211","SRR998654_02214"
"mdtD_4","","Putative multidrug resistance protein MdtD","14","14","1","1","1983","","","","3074","3215","3180","ERR133985_03916","ERR181435_03920","ERR229952_03931","ERR234202_03916","H37Rv_03918","NC_019950_03893","SRR1019139_03915","SRR1163294_03920","SRR1173445_03912","SRR1173640_03910","SRR1175079_03910","SRR1180462_03918","SRR671749_03911","SRR998654_03919"
"yvdP","","putative FAD-linked oxidoreductase YvdP","14","14","1","1","156","","","","1295","1460","1421","ERR133985_00071","ERR181435_00071","ERR229952_00072","ERR234202_00071","H37Rv_00070","NC_019950_00071","SRR1019139_00072","SRR1163294_00070","SRR1173445_00071","SRR1173640_00071","SRR1175079_00070","SRR1180462_00070","SRR671749_00069","SRR998654_00070"
"php","","Phosphotriesterase homology protein","14","14","1","1","349","","","","920","986","976","ERR133985_00250","ERR181435_00251","ERR229952_00253","ERR234202_00251","H37Rv_00249","NC_019950_00251","SRR1019139_00253","SRR1163294_00251","SRR1173445_00254","SRR1173640_00252","SRR1175079_00251","SRR1180462_00253","SRR671749_00248","SRR998654_00250"
"group_1069","","hypothetical protein","14","14","1","1","728","","","","479","584","571","ERR133985_00612","ERR181435_00613","ERR229952_00614","ERR234202_00618","H37Rv_00613","NC_019950_00608","SRR1019139_00616","SRR1163294_00613","SRR1173445_00615","SRR1173640_00611","SRR1175079_00612","SRR1180462_00615","SRR671749_00609","SRR998654_00610"
"ddpX","","D-alanyl-D-alanine dipeptidase","14","14","1","1","1009","","","","611","740","621","ERR133985_00890","ERR181435_00890","ERR229952_00895","ERR234202_00894","H37Rv_00890","NC_019950_00867","SRR1019139_00892","SRR1163294_00887","SRR1173445_00890","SRR1173640_00890","SRR1175079_00887","SRR1180462_00892","SRR671749_00886","SRR998654_00887"
"yccF","","Inner membrane protein YccF","14","14","1","1","1042","","","","389","392","389","ERR133985_00921","ERR181435_00921","ERR229952_00927","ERR234202_00926","H37Rv_00921","NC_019950_00899","SRR1019139_00923","SRR1163294_00918","SRR1173445_00921","SRR1173640_00921","SRR1175079_00918","SRR1180462_00923","SRR671749_00917","SRR998654_00918"
"group_1086","","hypothetical protein","14","14","1","1","1268","","","","1382","2303","1456","ERR133985_01131","ERR181435_01134","ERR229952_01139","ERR234202_01139","H37Rv_01131","NC_019950_01111","SRR1019139_01135","SRR1163294_01131","SRR1173445_01132","SRR1173640_01134","SRR1175079_01130","SRR1180462_01136","SRR671749_01128","SRR998654_01129"
"group_1089","","PPE family protein PPE18","14","14","1","1","1408","","","","1175","1181","1175","ERR133985_01267","ERR181435_01269","ERR229952_01275","ERR234202_01275","H37Rv_01268","NC_019950_01245","SRR1019139_01271","SRR1163294_01266","SRR1173445_01267","SRR1173640_01270","SRR1175079_01267","SRR1180462_01271","SRR671749_01264","SRR998654_01265"
"mtr","","Mycothione reductase","14","14","1","1","2955","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","278","1379","1264","ERR133985_02992","ERR181435_03002","ERR229952_03009","ERR234202_02998","H37Rv_02996","NC_019950_02967","SRR1019139_02994","SRR1163294_03000","SRR1173445_02991","SRR1173640_02990","SRR1175079_02992","SRR1180462_02997","SRR671749_02989","SRR998654_02993"
"rsmA","","Anti-sigma-M factor RsmA","14","14","1","1","1779","","","","764","770","764","ERR133985_04116","ERR181435_04122","ERR229952_04130","ERR234202_04116","H37Rv_04117","NC_019950_04093","SRR1019139_04111","SRR1163294_04116","SRR1173445_04110","SRR1173640_04108","SRR1175079_04108","SRR1180462_04116","SRR671749_04112","SRR998654_04117"
"group_115","","putative PPE family protein PPE47/PPE48","14","14","1","1","2766","","","","1076","1304","1092","ERR133985_03170","ERR181435_03177","ERR229952_03185","ERR234202_03173","H37Rv_03173","NC_019950_03145","SRR1019139_03171","SRR1163294_03177","SRR1173445_03168","SRR1173640_03167","SRR1175079_03167","SRR1180462_03175","SRR671749_03166","SRR998654_03170"
"group_116","","putative PPE family protein PPE40","14","14","1","1","2620","","","","1247","1916","1857","ERR133985_03314","ERR181435_03322","ERR229952_03329","ERR234202_03317","H37Rv_03317","NC_019950_03291","SRR1019139_03316","SRR1163294_03322","SRR1173445_03312","SRR1173640_03311","SRR1175079_03311","SRR1180462_03320","SRR671749_03310","SRR998654_03314"
"group_118","","hypothetical protein","14","14","1","1","2529","","","","602","1409","1070","ERR133985_03402","ERR181435_03408","ERR229952_03418","ERR234202_03404","H37Rv_03405","NC_019950_03377","SRR1019139_03405","SRR1163294_03411","SRR1173445_03400","SRR1173640_03399","SRR1175079_03399","SRR1180462_03408","SRR671749_03398","SRR998654_03403"
"group_12","","hypothetical protein","14","14","1","1","431","","","","2891","9560","8093","ERR133985_00325","ERR181435_00326","ERR229952_00329","ERR234202_00328","H37Rv_00325","NC_019950_00324","SRR1019139_00328","SRR1163294_00326","SRR1173445_00330","SRR1173640_00327","SRR1175079_00326","SRR1180462_00328","SRR671749_00323","SRR998654_00324"
"group_122","","Apoptosis inhibitor","14","14","1","1","2061","","","","287","377","302","ERR133985_03836","ERR181435_03841","ERR229952_03852","ERR234202_03836","H37Rv_03838","NC_019950_03815","SRR1019139_03836","SRR1163294_03841","SRR1173445_03832","SRR1173640_03831","SRR1175079_03831","SRR1180462_03839","SRR671749_03831","SRR998654_03839"
"mycP2","","Mycosin-2","14","14","1","1","1809","","","","1319","1652","1607","ERR133985_04088","ERR181435_04094","ERR229952_04102","ERR234202_04087","H37Rv_04089","NC_019950_04065","SRR1019139_04084","SRR1163294_04089","SRR1173445_04083","SRR1173640_04080","SRR1175079_04080","SRR1180462_04089","SRR671749_04084","SRR998654_04089"
