Sequence,Start,End,Primer
GPSC15,199573,201404,fwd
GPSC15,201404,203326,fwd
GPSC15,203326,204977,fwd
GPSC15,204977,206783,fwd
GPSC15,206783,208680,fwd
GPSC15,208680,210512,fwd
GPSC15,210512,212090,fwd
GPSC15,212090,213926,fwd
GPSC15,213926,215708,fwd
GPSC15,215708,217535,fwd
GPSC15,217535,219328,fwd
GPSC15,219328,221125,fwd
GPSC15,221125,222991,fwd
GPSC15,222991,224668,fwd
GPSC15,224668,226535,fwd
GPSC15,226535,228279,fwd
GPSC15,228279,230141,fwd
GPSC15,230141,231961,fwd
GPSC15,231961,233707,fwd
GPSC15,233707,235504,fwd
GPSC15,235504,237380,fwd
GPSC15,237380,239100,fwd
GPSC15,239100,240913,fwd
GPSC15,240913,242672,fwd
GPSC15,242672,244476,fwd
GPSC15,244476,245868,fwd
GPSC15,245868,247760,fwd
GPSC15,247760,249548,fwd
GPSC15,249548,251359,fwd
GPSC15,251359,253147,fwd
GPSC15,253147,254976,fwd
GPSC15,254976,256769,fwd
GPSC15,256769,258219,fwd
GPSC15,258219,259964,fwd
GPSC15,259964,261736,fwd
GPSC15,261736,263569,fwd
GPSC15,263569,265338,fwd
GPSC15,265338,267134,fwd
GPSC15,267134,269134,fwd
GPSC15,269134,270886,fwd
GPSC15,274447,276266,fwd
GPSC15,276266,277981,fwd
GPSC15,277981,279836,fwd
GPSC15,279836,281608,fwd
GPSC15,281608,283477,fwd
GPSC15,283477,285367,fwd
GPSC15,285367,287105,fwd
GPSC15,287105,288847,fwd
GPSC15,288847,290679,fwd
GPSC15,290679,292469,fwd
GPSC15,295959,297856,fwd
GPSC15,303251,304984,fwd
GPSC15,304984,306684,fwd
GPSC15,306684,308555,fwd
GPSC15,308555,310390,fwd
GPSC15,310390,312078,fwd
GPSC15,312078,313970,fwd
GPSC15,313970,315680,fwd
GPSC15,315680,317603,fwd
GPSC15,317603,319367,fwd
GPSC15,319367,321161,fwd
GPSC15,321161,322998,fwd
GPSC15,322998,324752,fwd
GPSC15,324752,326500,fwd
GPSC15,326500,328167,fwd
GPSC15,328167,329469,fwd
GPSC15,329469,331268,fwd
GPSC15,331268,332962,fwd
GPSC15,332962,334940,fwd
GPSC15,334940,336755,fwd
GPSC15,336755,338461,fwd
GPSC15,338461,340514,fwd
GPSC15,340514,340537,fwd
GPSC15,344460,344479,fwd
GPSC15,365129,366902,fwd
GPSC15,366902,368742,fwd
GPSC15,368742,370559,fwd
GPSC15,370559,372321,fwd
GPSC15,372321,374164,fwd
GPSC15,374164,376024,fwd
GPSC15,379495,381378,fwd
GPSC15,381378,382756,fwd
GPSC15,382756,384484,fwd
GPSC15,384484,386320,fwd
GPSC15,386320,388072,fwd
GPSC15,388072,389999,fwd
GPSC15,389999,391810,fwd
GPSC15,391810,393661,fwd
GPSC15,393661,395384,fwd
GPSC15,395384,397203,fwd
GPSC15,397203,399200,fwd
GPSC15,399200,400896,fwd
GPSC15,400896,402764,fwd
GPSC15,402764,404608,fwd
GPSC15,404608,406430,fwd
GPSC15,406430,408176,fwd
GPSC15,408176,409950,fwd
GPSC15,409950,411735,fwd
GPSC15,411735,413532,fwd
GPSC15,413532,415388,fwd
GPSC15,415388,417276,fwd
GPSC15,417276,419108,fwd
GPSC15,419108,420852,fwd
GPSC15,420852,422535,fwd
GPSC15,422535,424284,fwd
GPSC15,424284,426161,fwd
GPSC15,429660,431481,fwd
GPSC15,431481,433300,fwd
GPSC15,433300,435127,fwd
GPSC15,435127,436992,fwd
GPSC15,436992,438842,fwd
GPSC15,442439,442460,fwd
GPSC15,445325,445875,fwd
GPSC15,445875,447703,fwd
GPSC15,447703,449419,fwd
GPSC15,449419,451192,fwd
GPSC15,451192,453057,fwd
GPSC15,453057,454817,fwd
GPSC15,454817,456613,fwd
GPSC15,456613,458363,fwd
GPSC15,458363,460111,fwd
GPSC15,460111,461987,fwd
GPSC15,461987,463756,fwd
GPSC15,463756,465488,fwd
GPSC15,465488,467287,fwd
GPSC15,467287,469187,fwd
GPSC15,469187,470974,fwd
GPSC15,470974,472717,fwd
GPSC15,472717,474550,fwd
GPSC15,474550,476339,fwd
GPSC15,476339,478119,fwd
GPSC15,478119,479133,fwd
GPSC15,481799,483688,fwd
GPSC15,483688,485424,fwd
GPSC15,485424,487210,fwd
GPSC15,487210,489062,fwd
GPSC15,489062,490807,fwd
GPSC15,494217,496071,fwd
GPSC15,499618,501120,fwd
GPSC15,501120,502821,fwd
GPSC15,502821,504800,fwd
GPSC15,504800,506703,fwd
GPSC15,506703,508411,fwd
GPSC15,508411,510177,fwd
GPSC15,510177,512040,fwd
GPSC15,512040,513737,fwd
GPSC15,513737,515474,fwd
GPSC15,515474,517303,fwd
GPSC15,517303,518995,fwd
GPSC15,518995,520450,fwd
GPSC15,520450,522242,fwd
GPSC15,532690,534480,fwd
GPSC15,534480,536230,fwd
GPSC15,536230,538058,fwd
GPSC15,538058,539945,fwd
GPSC15,539945,541663,fwd
GPSC15,541663,543534,fwd
GPSC15,543534,545316,fwd
GPSC15,545316,546996,fwd
GPSC15,546996,548827,fwd
GPSC15,548827,550693,fwd
GPSC15,550693,552546,fwd
GPSC15,552546,554250,fwd
GPSC15,554250,555916,fwd
GPSC15,559495,561221,fwd
GPSC15,566669,568522,fwd
GPSC15,572062,573898,fwd
GPSC15,577425,579250,fwd
GPSC15,579250,581016,fwd
GPSC15,581016,582789,fwd
GPSC15,585382,585639,fwd
GPSC15,589000,590845,fwd
GPSC15,590845,592587,fwd
GPSC15,595287,597189,fwd
GPSC15,597189,598954,fwd
GPSC15,601888,601905,fwd
GPSC15,604443,606235,fwd
GPSC15,606235,608056,fwd
GPSC15,608056,609900,fwd
GPSC15,609900,611723,fwd
GPSC15,611723,613534,fwd
GPSC15,613534,615322,fwd
GPSC15,615322,617140,fwd
GPSC15,617140,618893,fwd
GPSC15,618893,620839,fwd
GPSC15,620839,622705,fwd
GPSC15,622705,624517,fwd
GPSC15,624517,626219,fwd
GPSC15,632057,633832,fwd
GPSC15,633832,635709,fwd
GPSC15,635709,637520,fwd
GPSC15,637520,639247,fwd
GPSC15,639247,641036,fwd
GPSC15,641036,642695,fwd
GPSC15,642695,644372,fwd
GPSC15,644372,646213,fwd
GPSC15,646213,647990,fwd
GPSC15,647990,649759,fwd
GPSC15,649759,651427,fwd
GPSC15,651427,653242,fwd
GPSC15,653242,654919,fwd
GPSC15,654919,656450,fwd
GPSC15,656450,658279,fwd
GPSC15,658279,660081,fwd
GPSC15,663542,665265,fwd
GPSC15,665265,667040,fwd
GPSC15,667040,668850,fwd
GPSC15,668850,670656,fwd
GPSC15,670656,672398,fwd
GPSC15,672398,674193,fwd
GPSC15,674193,676052,fwd
GPSC15,676052,677821,fwd
GPSC15,677821,679546,fwd
GPSC15,684175,685522,fwd
GPSC15,685522,687290,fwd
GPSC15,687290,689087,fwd
GPSC15,689087,690841,fwd
GPSC15,690841,692730,fwd
GPSC15,692730,694496,fwd
GPSC15,694496,696290,fwd
GPSC15,696290,698172,fwd
GPSC15,698172,699857,fwd
GPSC15,699857,701615,fwd
GPSC15,701615,703451,fwd
GPSC15,703451,705383,fwd
GPSC15,705383,707205,fwd
GPSC15,707205,709088,fwd
GPSC15,709088,710857,fwd
GPSC15,710857,712650,fwd
GPSC15,712650,714446,fwd
GPSC15,714446,716336,fwd
GPSC15,716336,718144,fwd
GPSC15,718144,719861,fwd
GPSC15,719861,721755,fwd
GPSC15,721755,723563,fwd
GPSC15,723563,725319,fwd
GPSC15,725319,727018,fwd
GPSC15,727018,728866,fwd
GPSC15,728866,730692,fwd
GPSC15,730692,732491,fwd
GPSC15,732491,734291,fwd
GPSC15,734291,736029,fwd
GPSC15,736029,737803,fwd
GPSC15,737803,739625,fwd
GPSC15,739625,741306,fwd
GPSC15,741306,743167,fwd
GPSC15,743167,744909,fwd
GPSC15,744909,746756,fwd
GPSC15,746756,748445,fwd
GPSC15,748445,748870,fwd
GPSC15,748870,750546,fwd
GPSC15,750546,752149,fwd
GPSC15,752149,753961,fwd
GPSC15,753961,755878,fwd
GPSC15,755878,757511,fwd
GPSC15,757511,759179,fwd
GPSC15,759179,760938,fwd
GPSC15,760938,762772,fwd
GPSC15,762772,764473,fwd
GPSC15,764473,766193,fwd
GPSC15,766193,767957,fwd
GPSC15,767957,769691,fwd
GPSC15,773490,775362,fwd
GPSC15,775362,777412,fwd
GPSC15,777412,779233,fwd
GPSC15,779233,781093,fwd
GPSC15,785846,787579,fwd
GPSC15,787579,789430,fwd
GPSC15,793065,794915,fwd
GPSC15,794915,796587,fwd
GPSC15,796587,797128,fwd
GPSC15,797128,798838,fwd
GPSC15,798838,800694,fwd
GPSC15,800694,802469,fwd
GPSC15,802469,804318,fwd
GPSC15,804318,806068,fwd
GPSC15,806068,807859,fwd
GPSC15,807859,809881,fwd
GPSC15,809881,811773,fwd
GPSC15,811773,813591,fwd
GPSC15,813591,815460,fwd
GPSC15,815460,817249,fwd
GPSC15,817249,819048,fwd
GPSC15,819048,820783,fwd
GPSC15,820783,822542,fwd
GPSC15,822542,824346,fwd
GPSC15,824346,826177,fwd
GPSC15,830402,832176,fwd
GPSC15,832176,833975,fwd
GPSC15,833975,835880,fwd
GPSC15,838364,839930,fwd
GPSC15,839930,841717,fwd
GPSC15,841717,843395,fwd
GPSC15,843395,845304,fwd
GPSC15,845304,847066,fwd
GPSC15,850590,850609,fwd
GPSC15,853984,855777,fwd
GPSC15,855777,857595,fwd
GPSC15,857595,859198,fwd
GPSC15,862856,864649,fwd
GPSC15,867557,869419,fwd
GPSC15,872870,874532,fwd
GPSC15,874532,876195,fwd
GPSC15,876195,878102,fwd
GPSC15,878102,879826,fwd
GPSC15,879826,881731,fwd
GPSC15,881731,883521,fwd
GPSC15,883521,885116,fwd
GPSC15,890304,891979,fwd
GPSC15,891979,893746,fwd
GPSC15,893746,895486,fwd
GPSC15,895486,897308,fwd
GPSC15,897308,899122,fwd
GPSC15,899122,900970,fwd
GPSC15,900970,902761,fwd
GPSC15,902761,904451,fwd
GPSC15,904451,906232,fwd
GPSC15,906232,908063,fwd
GPSC15,908063,909785,fwd
GPSC15,909785,911580,fwd
GPSC15,911580,913369,fwd
GPSC15,913369,915204,fwd
GPSC15,915204,917018,fwd
GPSC15,917018,918839,fwd
GPSC15,918839,920612,fwd
GPSC15,920612,922355,fwd
GPSC15,922355,924176,fwd
GPSC15,924176,925884,fwd
GPSC15,925884,927705,fwd
GPSC15,927705,929428,fwd
GPSC15,929428,931226,fwd
GPSC15,931226,933020,fwd
GPSC15,933020,934816,fwd
GPSC15,934816,936430,fwd
GPSC15,936430,938165,fwd
GPSC15,938165,939976,fwd
GPSC15,942788,943623,fwd
GPSC15,943623,945369,fwd
GPSC15,945369,947010,fwd
GPSC15,950481,950503,fwd
GPSC15,958714,960606,fwd
GPSC15,960606,962583,fwd
GPSC15,962583,964497,fwd
GPSC15,964497,966317,fwd
GPSC15,966317,968117,fwd
GPSC15,968117,969979,fwd
GPSC15,969979,971768,fwd
GPSC15,971768,973482,fwd
GPSC15,973482,975190,fwd
GPSC15,975190,976981,fwd
GPSC15,976981,978663,fwd
GPSC15,978663,980487,fwd
GPSC15,980487,981244,fwd
GPSC15,981244,983046,fwd
GPSC15,983046,984859,fwd
GPSC15,984859,986649,fwd
GPSC15,986649,988494,fwd
GPSC15,988494,990356,fwd
GPSC15,990356,992110,fwd
GPSC15,992110,993843,fwd
GPSC15,993843,995646,fwd
GPSC15,995646,997400,fwd
GPSC15,997400,999128,fwd
GPSC15,999128,1000994,fwd
GPSC15,1000994,1002927,fwd
GPSC15,1002927,1004851,fwd
GPSC15,1004851,1006615,fwd
GPSC15,1006615,1008364,fwd
GPSC15,1008364,1010151,fwd
GPSC15,1010151,1012006,fwd
GPSC15,1012006,1013736,fwd
GPSC15,1013736,1015935,fwd
GPSC15,1015935,1017730,fwd
GPSC15,1017730,1019485,fwd
GPSC15,1019485,1021264,fwd
GPSC15,1021264,1023123,fwd
GPSC15,1023123,1024828,fwd
GPSC15,1024828,1026569,fwd
GPSC15,1026569,1028355,fwd
GPSC15,1028355,1030266,fwd
GPSC15,1030266,1032035,fwd
GPSC15,1032035,1033751,fwd
GPSC15,1033751,1035582,fwd
GPSC15,1035582,1037313,fwd
GPSC15,1037313,1039156,fwd
GPSC15,1039156,1040858,fwd
GPSC15,1040858,1042684,fwd
GPSC15,1042684,1044514,fwd
GPSC15,1044514,1046305,fwd
GPSC15,1046305,1048041,fwd
GPSC15,1048041,1049834,fwd
GPSC15,1049834,1051550,fwd
GPSC15,1065581,1067360,fwd
GPSC15,1067360,1069227,fwd
GPSC15,1069227,1071118,fwd
GPSC15,1071118,1072958,fwd
GPSC15,1072958,1074674,fwd
GPSC15,1074674,1076400,fwd
GPSC15,1076400,1078142,fwd
GPSC15,1078142,1079949,fwd
GPSC15,1079949,1081675,fwd
GPSC15,1081675,1083379,fwd
GPSC15,1086561,1088339,fwd
GPSC15,1088339,1090110,fwd
GPSC15,1090110,1091905,fwd
GPSC15,1095139,1096989,fwd
GPSC15,1096989,1098736,fwd
GPSC15,1102364,1102385,fwd
GPSC15,1102385,1104465,fwd
GPSC15,1104465,1106347,fwd
GPSC15,1106347,1108115,fwd
GPSC15,1108115,1109884,fwd
GPSC15,1109884,1111666,fwd
GPSC15,1111666,1113520,fwd
GPSC15,1113520,1115298,fwd
GPSC15,1115298,1117078,fwd
GPSC15,1117078,1118691,fwd
GPSC15,1118691,1120514,fwd
GPSC15,1120514,1122278,fwd
GPSC15,1122278,1124088,fwd
GPSC15,1124088,1125781,fwd
GPSC15,1125781,1127609,fwd
GPSC15,1127609,1129423,fwd
GPSC15,1129423,1131352,fwd
GPSC15,1131352,1133061,fwd
GPSC15,1133061,1134853,fwd
GPSC15,1134853,1136496,fwd
GPSC15,1136496,1138274,fwd
GPSC15,1138274,1140065,fwd
GPSC15,1140065,1141892,fwd
GPSC15,1141892,1143741,fwd
GPSC15,1143741,1145466,fwd
GPSC15,1145466,1147262,fwd
GPSC15,1147262,1149107,fwd
GPSC15,1149107,1150947,fwd
GPSC15,1150947,1152706,fwd
GPSC15,1156140,1157991,fwd
GPSC15,1157991,1159814,fwd
GPSC15,1159814,1161455,fwd
GPSC15,1161455,1163301,fwd
GPSC15,1163301,1165119,fwd
GPSC15,1165119,1166912,fwd
GPSC15,1166912,1168679,fwd
GPSC15,1168679,1170326,fwd
GPSC15,1170326,1172126,fwd
GPSC15,1172126,1173944,fwd
GPSC15,1173944,1175703,fwd
GPSC15,1175703,1177581,fwd
GPSC15,1177581,1179352,fwd
GPSC15,1179352,1181081,fwd
GPSC15,1181081,1182736,fwd
GPSC15,1182736,1184419,fwd
GPSC15,1184419,1186272,fwd
GPSC15,1186272,1188003,fwd
GPSC15,1191654,1193498,fwd
GPSC15,1193498,1195367,fwd
GPSC15,1199371,1201097,fwd
GPSC15,1201097,1202865,fwd
GPSC15,1202865,1203319,fwd
GPSC15,1209013,1210890,fwd
GPSC15,1210890,1212699,fwd
GPSC15,1212699,1214481,fwd
GPSC15,1214481,1216296,fwd
GPSC15,1216296,1218159,fwd
GPSC15,1218159,1219954,fwd
GPSC15,1219954,1221775,fwd
GPSC15,1221775,1223661,fwd
GPSC15,1223661,1225459,fwd
GPSC15,1228990,1230822,fwd
GPSC15,1230822,1232613,fwd
GPSC15,1232613,1234273,fwd
GPSC15,1234273,1236078,fwd
GPSC15,1239550,1241457,fwd
GPSC15,1241457,1243279,fwd
GPSC15,1246917,1248667,fwd
GPSC15,1248667,1250431,fwd
GPSC15,1250431,1252214,fwd
GPSC15,1252214,1254132,fwd
GPSC15,1254132,1255911,fwd
GPSC15,1255911,1257688,fwd
GPSC15,1257688,1259516,fwd
GPSC15,1259516,1261333,fwd
GPSC15,1261333,1263155,fwd
GPSC15,1263155,1264961,fwd
GPSC15,1264961,1266808,fwd
GPSC15,1266808,1268343,fwd
GPSC15,1268343,1270510,fwd
GPSC15,1270510,1272316,fwd
GPSC15,1272316,1273819,fwd
GPSC15,1277400,1277802,fwd
GPSC15,1277802,1279565,fwd
GPSC15,1279565,1281218,fwd
GPSC15,1281218,1282952,fwd
GPSC15,1282952,1284663,fwd
GPSC15,1284663,1286272,fwd
GPSC15,1286272,1287830,fwd
GPSC15,1292291,1294069,fwd
GPSC15,1294069,1295799,fwd
GPSC15,1295799,1297639,fwd
GPSC15,1297639,1299523,fwd
GPSC15,1299523,1301233,fwd
GPSC15,1303641,1305551,fwd
GPSC15,1305551,1307697,fwd
GPSC15,1307697,1309548,fwd
GPSC15,1309548,1311286,fwd
GPSC15,1311286,1313103,fwd
GPSC15,1313103,1314860,fwd
GPSC15,1314860,1316633,fwd
GPSC15,1316633,1318500,fwd
GPSC15,1318500,1320169,fwd
GPSC15,1320169,1322070,fwd
GPSC15,1322070,1323919,fwd
GPSC15,1323919,1325752,fwd
GPSC15,1325752,1327519,fwd
GPSC15,1327519,1329457,fwd
GPSC15,1329457,1331274,fwd
GPSC15,1331274,1333085,fwd
GPSC15,1333085,1334878,fwd
GPSC15,1334878,1336619,fwd
GPSC15,1336619,1338504,fwd
GPSC15,1338504,1340278,fwd
GPSC15,1340278,1342146,fwd
GPSC15,1342146,1343537,fwd
GPSC15,1343537,1345450,fwd
GPSC15,1345450,1347243,fwd
GPSC15,1347243,1348981,fwd
GPSC15,1348981,1350806,fwd
GPSC15,1350806,1352572,fwd
GPSC15,1352572,1354361,fwd
GPSC15,1354361,1356198,fwd
GPSC15,1356198,1357999,fwd
GPSC15,1357999,1359645,fwd
GPSC15,1359645,1361416,fwd
GPSC15,1361416,1363155,fwd
GPSC15,1363155,1364995,fwd
GPSC15,1364995,1366785,fwd
GPSC15,1366785,1368685,fwd
GPSC15,1368685,1370389,fwd
GPSC15,1370389,1372179,fwd
GPSC15,1372179,1373993,fwd
GPSC15,1373993,1375730,fwd
GPSC15,1375730,1377571,fwd
GPSC15,1377571,1379294,fwd
GPSC15,1379294,1381191,fwd
GPSC15,1381191,1382893,fwd
GPSC15,1382893,1384672,fwd
GPSC15,1387582,1389477,fwd
GPSC15,1389477,1391269,fwd
GPSC15,1391269,1393132,fwd
GPSC15,1393132,1394551,fwd
GPSC15,1394551,1395920,fwd
GPSC15,1395920,1397805,fwd
GPSC15,1397805,1399530,fwd
GPSC15,1403094,1404809,fwd
GPSC15,1404809,1406629,fwd
GPSC15,1406629,1408435,fwd
GPSC15,1412016,1413878,fwd
GPSC15,1417443,1417462,fwd
GPSC15,1426036,1427818,fwd
GPSC15,1427818,1429818,fwd
GPSC15,1429818,1431637,fwd
GPSC15,1435158,1436877,fwd
GPSC15,1436877,1438692,fwd
GPSC15,1438692,1440471,fwd
GPSC15,1440471,1442271,fwd
GPSC15,1442271,1444051,fwd
GPSC15,1444051,1445824,fwd
GPSC15,1445824,1447596,fwd
GPSC15,1447596,1449374,fwd
GPSC15,1449374,1451195,fwd
GPSC15,1451195,1452987,fwd
GPSC15,1452987,1454751,fwd
GPSC15,1454751,1456618,fwd
GPSC15,1456618,1458465,fwd
GPSC15,1458465,1460151,fwd
GPSC15,1460151,1462050,fwd
GPSC15,1462050,1463722,fwd
GPSC15,1463722,1465211,fwd
GPSC15,1465211,1466985,fwd
GPSC15,1466985,1468779,fwd
GPSC15,1468779,1470600,fwd
GPSC15,1470600,1472360,fwd
GPSC15,1472360,1474118,fwd
GPSC15,1474118,1475842,fwd
GPSC15,1475842,1477750,fwd
GPSC15,1477750,1479497,fwd
GPSC15,1479497,1481258,fwd
GPSC15,1481258,1483055,fwd
GPSC15,1483055,1484905,fwd
GPSC15,1484905,1486647,fwd
GPSC15,1486647,1488257,fwd
GPSC15,1488257,1490055,fwd
GPSC15,1490055,1491789,fwd
GPSC15,1491789,1493612,fwd
GPSC15,1493612,1495357,fwd
GPSC15,1495357,1497071,fwd
GPSC15,1497071,1498980,fwd
GPSC15,1498980,1500650,fwd
GPSC15,1500650,1502650,fwd
GPSC15,1502650,1504176,fwd
GPSC15,1504176,1505887,fwd
GPSC15,1505887,1507547,fwd
GPSC15,1507547,1509581,fwd
GPSC15,1509581,1511441,fwd
GPSC15,1511441,1513224,fwd
GPSC15,1513224,1514972,fwd
GPSC15,1514972,1516701,fwd
GPSC15,1520329,1522165,fwd
GPSC15,1522165,1523964,fwd
GPSC15,1523964,1525790,fwd
GPSC15,1525790,1527643,fwd
GPSC15,1527643,1529362,fwd
GPSC15,1534412,1536260,fwd
GPSC15,1536260,1538121,fwd
GPSC15,1541708,1543523,fwd
GPSC15,1543523,1545280,fwd
GPSC15,1545280,1547038,fwd
GPSC15,1547038,1548870,fwd
GPSC15,1548870,1550547,fwd
GPSC15,1554361,1556128,fwd
GPSC15,1556128,1557930,fwd
GPSC15,1557930,1559844,fwd
GPSC15,1559844,1561605,fwd
GPSC15,1565027,1566862,fwd
GPSC15,1566862,1568684,fwd
GPSC15,1572185,1573769,fwd
GPSC15,1573769,1575769,fwd
GPSC15,1575769,1576145,fwd
GPSC15,1582810,1584659,fwd
GPSC15,1587533,1589338,fwd
GPSC15,1589338,1591206,fwd
GPSC15,1591206,1592798,fwd
GPSC15,1592798,1594607,fwd
GPSC15,1594607,1596428,fwd
GPSC15,1596428,1598277,fwd
GPSC15,1598277,1599461,fwd
GPSC15,1599461,1601245,fwd
GPSC15,1601245,1603132,fwd
GPSC15,1603132,1604933,fwd
GPSC15,1604933,1606696,fwd
GPSC15,1606696,1608409,fwd
GPSC15,1608409,1609934,fwd
GPSC15,1609934,1611735,fwd
GPSC15,1611735,1613542,fwd
GPSC15,1618520,1620361,fwd
GPSC15,1620361,1622100,fwd
GPSC15,1622100,1623866,fwd
GPSC15,1623866,1625688,fwd
GPSC15,1625688,1627086,fwd
GPSC15,1627086,1629011,fwd
GPSC15,1629011,1630657,fwd
GPSC15,1630657,1632449,fwd
GPSC15,1632449,1634175,fwd
GPSC15,1637744,1639541,fwd
GPSC15,1639541,1641342,fwd
GPSC15,1641342,1643117,fwd
GPSC15,1643117,1644921,fwd
GPSC15,1644921,1646658,fwd
GPSC15,1646658,1648303,fwd
GPSC15,1648303,1650128,fwd
GPSC15,1650128,1651939,fwd
GPSC15,1651939,1653655,fwd
GPSC15,1653655,1655534,fwd
GPSC15,1655534,1657340,fwd
GPSC15,1657340,1659072,fwd
GPSC15,1662690,1662714,fwd
GPSC15,1665084,1666922,fwd
GPSC15,1666922,1668545,fwd
GPSC15,1668545,1670380,fwd
GPSC15,1670380,1672157,fwd
GPSC15,1672157,1673836,fwd
GPSC15,1673836,1675603,fwd
GPSC15,1675603,1677548,fwd
GPSC15,1677548,1679293,fwd
GPSC15,1679293,1681056,fwd
GPSC15,1684132,1684154,fwd
GPSC15,1686480,1688113,fwd
GPSC15,1688113,1689985,fwd
GPSC15,1689985,1691799,fwd
GPSC15,1695444,1697354,fwd
GPSC15,1697354,1699210,fwd
GPSC15,1699210,1700971,fwd
GPSC15,1700971,1702728,fwd
GPSC15,1702728,1704433,fwd
GPSC15,1704433,1705296,fwd
GPSC15,1705296,1706646,fwd
GPSC15,1706646,1708646,fwd
GPSC15,1708646,1710424,fwd
GPSC15,1710424,1712327,fwd
GPSC15,1712327,1714037,fwd
GPSC15,1714037,1715828,fwd
GPSC15,1715828,1717679,fwd
GPSC15,1717679,1719504,fwd
GPSC15,1719504,1721191,fwd
GPSC15,1721191,1723021,fwd
GPSC15,1723021,1725005,fwd
GPSC15,1725005,1726669,fwd
GPSC15,1726669,1728398,fwd
GPSC15,1728398,1730274,fwd
GPSC15,1730274,1731972,fwd
GPSC15,1731972,1733853,fwd
GPSC15,1737460,1739231,fwd
GPSC15,1739231,1741040,fwd
GPSC15,1741040,1742826,fwd
GPSC15,1742826,1744556,fwd
GPSC15,1744556,1746157,fwd
GPSC15,1746157,1747992,fwd
GPSC15,1747992,1749758,fwd
GPSC15,1749758,1751472,fwd
GPSC15,1751472,1753270,fwd
GPSC15,1753270,1755084,fwd
GPSC15,1755084,1756875,fwd
GPSC15,1756875,1758694,fwd
GPSC15,1758694,1760808,fwd
GPSC15,1760808,1762563,fwd
GPSC15,1762563,1764335,fwd
GPSC15,1767937,1769787,fwd
GPSC15,1772181,1774089,fwd
GPSC15,1774089,1775767,fwd
GPSC15,1775767,1777674,fwd
GPSC15,1777674,1779391,fwd
GPSC15,1779391,1781102,fwd
GPSC15,1781102,1782833,fwd
GPSC15,1782833,1784654,fwd
GPSC15,1784654,1786490,fwd
GPSC15,1786490,1788237,fwd
GPSC15,1788237,1790027,fwd
GPSC15,1790027,1791743,fwd
GPSC15,1791743,1793560,fwd
GPSC15,1793560,1795269,fwd
GPSC15,1795269,1797052,fwd
GPSC15,1797052,1798818,fwd
GPSC15,1798818,1800585,fwd
GPSC15,1800585,1802308,fwd
GPSC15,1802308,1804113,fwd
GPSC15,1804113,1805781,fwd
GPSC15,1805781,1807593,fwd
GPSC15,1807593,1809251,fwd
GPSC15,1809251,1810888,fwd
GPSC15,1810888,1812774,fwd
GPSC15,1812774,1814561,fwd
