"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AP023349","GPSC10_reference","GPSC11_reference","GPSC13_reference","GPSC14_reference","GPSC15_reference","GPSC16_reference","GPSC17_reference","GPSC18_reference","GPSC19_reference","GPSC1_reference","GPSC21_reference","GPSC22_reference","GPSC23_reference","GPSC25_reference","GPSC26_reference","GPSC27_reference","GPSC2_reference","GPSC30_reference","GPSC31_reference","GPSC32_reference","GPSC33_reference","GPSC34_reference","GPSC37_reference","GPSC3_reference","GPSC40_reference","GPSC43_reference","GPSC47_reference","GPSC4_reference","GPSC5_reference","GPSC6_reference","GPSC7_reference","GPSC8_reference","GPSC9_reference","NC_017592"
"group_1031","","hypothetical protein","35","35","1","1","1422","","","","593","623","593","AP023349_01679","GPSC10_reference_01595","GPSC11_reference_01619","GPSC13_reference_01571","GPSC14_reference_01624","GPSC15_reference_01542","GPSC16_reference_01701","GPSC17_reference_01608","GPSC18_reference_01588","GPSC19_reference_01651","GPSC1_reference_01614","GPSC21_reference_01573","GPSC22_reference_01566","GPSC23_reference_01771","GPSC25_reference_01696","GPSC26_reference_01679","GPSC27_reference_01658","GPSC2_reference_01667","GPSC30_reference_01668","GPSC31_reference_01591","GPSC32_reference_01709","GPSC33_reference_01558","GPSC34_reference_01629","GPSC37_reference_01573","GPSC3_reference_01672","GPSC40_reference_01624","GPSC43_reference_01534","GPSC47_reference_01719","GPSC4_reference_01607","GPSC5_reference_01696","GPSC6_reference_01667","GPSC7_reference_01730","GPSC8_reference_01705","GPSC9_reference_01568","NC_017592_01597"
"group_1132","","hypothetical protein","35","35","1","1","2865","","","","1226","1226","1226","AP023349_00207","GPSC10_reference_00141","GPSC11_reference_00168","GPSC13_reference_00146","GPSC14_reference_00181","GPSC15_reference_00170","GPSC16_reference_00154","GPSC17_reference_00153","GPSC18_reference_00130","GPSC19_reference_00239","GPSC1_reference_00185","GPSC21_reference_00119","GPSC22_reference_00152","GPSC23_reference_00229","GPSC25_reference_00265","GPSC26_reference_00148","GPSC27_reference_00140","GPSC2_reference_00203","GPSC30_reference_00208","GPSC31_reference_00151","GPSC32_reference_00242","GPSC33_reference_00177","GPSC34_reference_00196","GPSC37_reference_00184","GPSC3_reference_00192","GPSC40_reference_00199","GPSC43_reference_00112","GPSC47_reference_00177","GPSC4_reference_00141","GPSC5_reference_00221","GPSC6_reference_00220","GPSC7_reference_00250","GPSC8_reference_00212","GPSC9_reference_00135","NC_017592_00202"
"group_1134","","hypothetical protein","35","35","1","1","2488","","","","197","470","449","AP023349_00245","GPSC10_reference_00179","GPSC11_reference_00228","GPSC13_reference_00183","GPSC14_reference_00217","GPSC15_reference_00206","GPSC16_reference_00190","GPSC17_reference_00190","GPSC18_reference_00171","GPSC19_reference_00284","GPSC1_reference_00239","GPSC21_reference_00162","GPSC22_reference_00204","GPSC23_reference_00275","GPSC25_reference_00319","GPSC26_reference_00193","GPSC27_reference_00184","GPSC2_reference_00238","GPSC30_reference_00244","GPSC31_reference_00195","GPSC32_reference_00278","GPSC33_reference_00213","GPSC34_reference_00248","GPSC37_reference_00228","GPSC3_reference_00228","GPSC40_reference_00236","GPSC43_reference_00163","GPSC47_reference_00213","GPSC4_reference_00177","GPSC5_reference_00274","GPSC6_reference_00256","GPSC7_reference_00302","GPSC8_reference_00249","GPSC9_reference_00172","NC_017592_00238"
"mepA","","Multidrug export protein MepA","35","35","1","1","5574","","","","944","1370","1336","AP023349_00336","GPSC10_reference_01760","GPSC11_reference_01820","GPSC13_reference_01782","GPSC14_reference_01824","GPSC15_reference_01721","GPSC16_reference_01921","GPSC17_reference_01808","GPSC18_reference_01803","GPSC19_reference_01830","GPSC1_reference_01814","GPSC21_reference_01763","GPSC22_reference_01774","GPSC23_reference_01971","GPSC25_reference_01873","GPSC26_reference_01873","GPSC27_reference_01865","GPSC2_reference_01860","GPSC30_reference_01855","GPSC31_reference_01791","GPSC32_reference_01877","GPSC33_reference_01762","GPSC34_reference_01800","GPSC37_reference_01780","GPSC3_reference_01865","GPSC40_reference_01827","GPSC43_reference_01786","GPSC47_reference_01904","GPSC4_reference_01807","GPSC5_reference_01856","GPSC6_reference_01887","GPSC7_reference_01912","GPSC8_reference_01928","GPSC9_reference_01746","NC_017592_01796"
"dinB","","DNA polymerase IV","35","35","1","1","944","","","","476","1163","1050","AP023349_00361","GPSC10_reference_00406","GPSC11_reference_00468","GPSC13_reference_00429","GPSC14_reference_00440","GPSC15_reference_00438","GPSC16_reference_00420","GPSC17_reference_00473","GPSC18_reference_00404","GPSC19_reference_00518","GPSC1_reference_00477","GPSC21_reference_00382","GPSC22_reference_00431","GPSC23_reference_00520","GPSC25_reference_00570","GPSC26_reference_00438","GPSC27_reference_00436","GPSC2_reference_00467","GPSC30_reference_00489","GPSC31_reference_00438","GPSC32_reference_00512","GPSC33_reference_00444","GPSC34_reference_00481","GPSC37_reference_00453","GPSC3_reference_00445","GPSC40_reference_00463","GPSC43_reference_00386","GPSC47_reference_00460","GPSC4_reference_00412","GPSC5_reference_00501","GPSC6_reference_00478","GPSC7_reference_00558","GPSC8_reference_00509","GPSC9_reference_00395","NC_017592_00466"
"group_1137","","hypothetical protein","35","35","1","1","1674","","","","1025","1334","1325","AP023349_00496","GPSC10_reference_00443","GPSC11_reference_00550","GPSC13_reference_00507","GPSC14_reference_00530","GPSC15_reference_00511","GPSC16_reference_00495","GPSC17_reference_00550","GPSC18_reference_00481","GPSC19_reference_00600","GPSC1_reference_00570","GPSC21_reference_00536","GPSC22_reference_00512","GPSC23_reference_00610","GPSC25_reference_00649","GPSC26_reference_00516","GPSC27_reference_00529","GPSC2_reference_00544","GPSC30_reference_00563","GPSC31_reference_00528","GPSC32_reference_00592","GPSC33_reference_00517","GPSC34_reference_00559","GPSC37_reference_00534","GPSC3_reference_00522","GPSC40_reference_00543","GPSC43_reference_00464","GPSC47_reference_00551","GPSC4_reference_00472","GPSC5_reference_00585","GPSC6_reference_00573","GPSC7_reference_00640","GPSC8_reference_00596","GPSC9_reference_00474","NC_017592_00539"
"ytpP","","Thioredoxin-like protein YtpP","35","35","1","1","5675","","","","317","317","317","AP023349_00510","GPSC10_reference_01734","GPSC11_reference_01796","GPSC13_reference_01758","GPSC14_reference_01799","GPSC15_reference_01697","GPSC16_reference_01897","GPSC17_reference_01786","GPSC18_reference_01779","GPSC19_reference_01805","GPSC1_reference_01781","GPSC21_reference_01731","GPSC22_reference_01748","GPSC23_reference_01939","GPSC25_reference_01839","GPSC26_reference_01846","GPSC27_reference_01841","GPSC2_reference_01835","GPSC30_reference_01821","GPSC31_reference_01765","GPSC32_reference_01852","GPSC33_reference_01738","GPSC34_reference_01775","GPSC37_reference_01748","GPSC3_reference_01842","GPSC40_reference_01794","GPSC43_reference_01763","GPSC47_reference_01879","GPSC4_reference_01783","GPSC5_reference_01825","GPSC6_reference_01854","GPSC7_reference_01891","GPSC8_reference_01904","GPSC9_reference_01722","NC_017592_01772"
"group_1141","","hypothetical protein","35","35","1","1","1310","","","","626","629","626","AP023349_00511","GPSC10_reference_01733","GPSC11_reference_01795","GPSC13_reference_01757","GPSC14_reference_01798","GPSC15_reference_01696","GPSC16_reference_01896","GPSC17_reference_01785","GPSC18_reference_01778","GPSC19_reference_01804","GPSC1_reference_01780","GPSC21_reference_01730","GPSC22_reference_01747","GPSC23_reference_01938","GPSC25_reference_01838","GPSC26_reference_01845","GPSC27_reference_01840","GPSC2_reference_01834","GPSC30_reference_01820","GPSC31_reference_01764","GPSC32_reference_01851","GPSC33_reference_01737","GPSC34_reference_01774","GPSC37_reference_01747","GPSC3_reference_01841","GPSC40_reference_01793","GPSC43_reference_01762","GPSC47_reference_01878","GPSC4_reference_01782","GPSC5_reference_01824","GPSC6_reference_01853","GPSC7_reference_01890","GPSC8_reference_01903","GPSC9_reference_01721","NC_017592_01771"
"wcaJ","","UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase","35","35","1","1","1883","","","","692","692","692","AP023349_00568","GPSC10_reference_01668","GPSC11_reference_01717","GPSC13_reference_01665","GPSC14_reference_01720","GPSC15_reference_01615","GPSC16_reference_01798","GPSC17_reference_01700","GPSC18_reference_01676","GPSC19_reference_01722","GPSC1_reference_01683","GPSC21_reference_01646","GPSC22_reference_01660","GPSC23_reference_01841","GPSC25_reference_01762","GPSC26_reference_01750","GPSC27_reference_01747","GPSC2_reference_01736","GPSC30_reference_01740","GPSC31_reference_01683","GPSC32_reference_01767","GPSC33_reference_01654","GPSC34_reference_01693","GPSC37_reference_01664","GPSC3_reference_01746","GPSC40_reference_01713","GPSC43_reference_01605","GPSC47_reference_01797","GPSC4_reference_01698","GPSC5_reference_01763","GPSC6_reference_01757","GPSC7_reference_01808","GPSC8_reference_01807","GPSC9_reference_01639","NC_017592_01676"
"group_1145","","hypothetical protein","35","35","1","1","1861","","","","470","470","470","AP023349_00597","GPSC10_reference_01620","GPSC11_reference_01668","GPSC13_reference_01616","GPSC14_reference_01672","GPSC15_reference_01563","GPSC16_reference_01747","GPSC17_reference_01654","GPSC18_reference_01627","GPSC19_reference_01672","GPSC1_reference_01641","GPSC21_reference_01598","GPSC22_reference_01613","GPSC23_reference_01798","GPSC25_reference_01718","GPSC26_reference_01701","GPSC27_reference_01701","GPSC2_reference_01690","GPSC30_reference_01690","GPSC31_reference_01634","GPSC32_reference_01730","GPSC33_reference_01604","GPSC34_reference_01650","GPSC37_reference_01616","GPSC3_reference_01695","GPSC40_reference_01674","GPSC43_reference_01556","GPSC47_reference_01744","GPSC4_reference_01650","GPSC5_reference_01717","GPSC6_reference_01714","GPSC7_reference_01752","GPSC8_reference_01750","GPSC9_reference_01591","NC_017592_01618"
"bglK_1","","Beta-glucoside kinase","35","35","1","1","5436","","","","884","884","884","AP023349_00650","GPSC10_reference_01524","GPSC11_reference_01551","GPSC13_reference_01504","GPSC14_reference_01555","GPSC15_reference_01472","GPSC16_reference_01627","GPSC17_reference_01541","GPSC18_reference_01519","GPSC19_reference_01583","GPSC1_reference_01545","GPSC21_reference_01502","GPSC22_reference_01499","GPSC23_reference_01694","GPSC25_reference_01629","GPSC26_reference_01608","GPSC27_reference_01589","GPSC2_reference_01598","GPSC30_reference_01585","GPSC31_reference_01527","GPSC32_reference_01641","GPSC33_reference_01489","GPSC34_reference_01559","GPSC37_reference_01507","GPSC3_reference_01602","GPSC40_reference_01556","GPSC43_reference_01463","GPSC47_reference_01651","GPSC4_reference_01535","GPSC5_reference_01624","GPSC6_reference_01600","GPSC7_reference_01661","GPSC8_reference_01635","GPSC9_reference_01501","NC_017592_01531"
"group_1149","","hypothetical protein","35","35","1","1","4237","","","","755","2015","1809","AP023349_00686","GPSC10_reference_01769","GPSC11_reference_01828","GPSC13_reference_01798","GPSC14_reference_01833","GPSC15_reference_01729","GPSC16_reference_01937","GPSC17_reference_01817","GPSC18_reference_01812","GPSC19_reference_01846","GPSC1_reference_01847","GPSC21_reference_01772","GPSC22_reference_01783","GPSC23_reference_01980","GPSC25_reference_01882","GPSC26_reference_01882","GPSC27_reference_01882","GPSC2_reference_01869","GPSC30_reference_01864","GPSC31_reference_01801","GPSC32_reference_01893","GPSC33_reference_01770","GPSC34_reference_01809","GPSC37_reference_01788","GPSC3_reference_01873","GPSC40_reference_01836","GPSC43_reference_01796","GPSC47_reference_01913","GPSC4_reference_01815","GPSC5_reference_01866","GPSC6_reference_01896","GPSC7_reference_01921","GPSC8_reference_01937","GPSC9_reference_01755","NC_017592_01805"
"glnH_2","","Glutamine-binding periplasmic protein","35","35","1","1","2303","","","","686","929","814","AP023349_00809","GPSC10_reference_01275","GPSC11_reference_01306","GPSC13_reference_01238","GPSC14_reference_01295","GPSC15_reference_01230","GPSC16_reference_01326","GPSC17_reference_01301","GPSC18_reference_01238","GPSC19_reference_01345","GPSC1_reference_00842","GPSC21_reference_01259","GPSC22_reference_01270","GPSC23_reference_00865","GPSC25_reference_01397","GPSC26_reference_01355","GPSC27_reference_01322","GPSC2_reference_01338","GPSC30_reference_01339","GPSC31_reference_01274","GPSC32_reference_01401","GPSC33_reference_01234","GPSC34_reference_01265","GPSC37_reference_01259","GPSC3_reference_01359","GPSC40_reference_01259","GPSC43_reference_01227","GPSC47_reference_01410","GPSC4_reference_01186","GPSC5_reference_01319","GPSC6_reference_01297","GPSC7_reference_01360","GPSC8_reference_01367","GPSC9_reference_01263","NC_017592_01272"
"group_1160","","hypothetical protein","35","35","1","1","2338","","","","836","836","836","AP023349_00851","GPSC10_reference_01249","GPSC11_reference_01281","GPSC13_reference_01213","GPSC14_reference_01269","GPSC15_reference_01204","GPSC16_reference_01301","GPSC17_reference_01276","GPSC18_reference_01212","GPSC19_reference_01320","GPSC1_reference_00867","GPSC21_reference_01233","GPSC22_reference_01244","GPSC23_reference_00890","GPSC25_reference_01372","GPSC26_reference_01330","GPSC27_reference_01297","GPSC2_reference_01313","GPSC30_reference_01314","GPSC31_reference_01248","GPSC32_reference_01375","GPSC33_reference_01209","GPSC34_reference_01240","GPSC37_reference_01234","GPSC3_reference_01331","GPSC40_reference_01234","GPSC43_reference_01202","GPSC47_reference_01315","GPSC4_reference_01161","GPSC5_reference_01294","GPSC6_reference_01272","GPSC7_reference_01334","GPSC8_reference_01341","GPSC9_reference_01236","NC_017592_01246"
"iscU","","Iron-sulfur cluster assembly scaffold protein IscU","35","35","1","1","1184","","","","440","440","440","AP023349_00975","GPSC10_reference_00757","GPSC11_reference_00819","GPSC13_reference_00789","GPSC14_reference_00796","GPSC15_reference_00804","GPSC16_reference_00772","GPSC17_reference_00818","GPSC18_reference_00766","GPSC19_reference_00873","GPSC1_reference_01278","GPSC21_reference_00827","GPSC22_reference_00786","GPSC23_reference_01398","GPSC25_reference_00923","GPSC26_reference_00811","GPSC27_reference_00822","GPSC2_reference_00821","GPSC30_reference_00822","GPSC31_reference_00800","GPSC32_reference_00867","GPSC33_reference_00806","GPSC34_reference_00821","GPSC37_reference_00816","GPSC3_reference_00801","GPSC40_reference_00818","GPSC43_reference_00736","GPSC47_reference_00834","GPSC4_reference_00766","GPSC5_reference_00860","GPSC6_reference_00847","GPSC7_reference_00936","GPSC8_reference_00869","GPSC9_reference_00751","NC_017592_00811"
"rsmI","","Ribosomal RNA small subunit methyltransferase I","35","35","1","1","3920","","","","869","878","869","AP023349_01197","GPSC10_reference_00823","GPSC11_reference_00884","GPSC13_reference_00856","GPSC14_reference_00866","GPSC15_reference_00865","GPSC16_reference_00836","GPSC17_reference_00883","GPSC18_reference_00862","GPSC19_reference_00936","GPSC1_reference_01212","GPSC21_reference_00891","GPSC22_reference_00852","GPSC23_reference_01333","GPSC25_reference_00990","GPSC26_reference_00872","GPSC27_reference_00888","GPSC2_reference_00885","GPSC30_reference_00893","GPSC31_reference_00867","GPSC32_reference_00935","GPSC33_reference_00871","GPSC34_reference_00889","GPSC37_reference_00880","GPSC3_reference_00924","GPSC40_reference_00884","GPSC43_reference_00877","GPSC47_reference_00903","GPSC4_reference_00827","GPSC5_reference_00926","GPSC6_reference_00910","GPSC7_reference_00999","GPSC8_reference_00935","GPSC9_reference_00815","NC_017592_00879"
"group_1166","","hypothetical protein","35","35","1","1","4383","","","","266","266","266","AP023349_01358","GPSC10_reference_01194","GPSC11_reference_01220","GPSC13_reference_01162","GPSC14_reference_01139","GPSC15_reference_01166","GPSC16_reference_01156","GPSC17_reference_01222","GPSC18_reference_01191","GPSC19_reference_01268","GPSC1_reference_00890","GPSC21_reference_01182","GPSC22_reference_01194","GPSC23_reference_00937","GPSC25_reference_01325","GPSC26_reference_01283","GPSC27_reference_01232","GPSC2_reference_01262","GPSC30_reference_01275","GPSC31_reference_01188","GPSC32_reference_01313","GPSC33_reference_01187","GPSC34_reference_01203","GPSC37_reference_01189","GPSC3_reference_01263","GPSC40_reference_01213","GPSC43_reference_01182","GPSC47_reference_01252","GPSC4_reference_01112","GPSC5_reference_01237","GPSC6_reference_01234","GPSC7_reference_01311","GPSC8_reference_01299","GPSC9_reference_01131","NC_017592_01206"
"group_1168","","hypothetical protein","35","35","1","1","5387","","","","452","563","559","AP023349_01530","GPSC10_reference_00565","GPSC11_reference_00637","GPSC13_reference_00603","GPSC14_reference_00615","GPSC15_reference_00604","GPSC16_reference_00582","GPSC17_reference_00637","GPSC18_reference_00572","GPSC19_reference_00685","GPSC1_reference_00655","GPSC21_reference_00625","GPSC22_reference_00601","GPSC23_reference_00700","GPSC25_reference_00737","GPSC26_reference_00612","GPSC27_reference_00620","GPSC2_reference_00633","GPSC30_reference_00649","GPSC31_reference_00614","GPSC32_reference_00679","GPSC33_reference_00605","GPSC34_reference_00646","GPSC37_reference_00625","GPSC3_reference_00616","GPSC40_reference_00637","GPSC43_reference_00556","GPSC47_reference_00642","GPSC4_reference_00575","GPSC5_reference_00673","GPSC6_reference_00659","GPSC7_reference_00729","GPSC8_reference_00685","GPSC9_reference_00563","NC_017592_00628"
