Sequence,Start,End
GPSC15,975439,977158
GPSC15,977158,978891
GPSC15,978891,980487
GPSC15,980487,981400
GPSC15,981400,983215
GPSC15,983215,985059
GPSC15,985059,986825
GPSC15,986825,988666
GPSC15,988666,990491
GPSC15,990491,992253
GPSC15,992253,994030
GPSC15,994030,995794
GPSC15,995794,997400
GPSC15,997400,999349
GPSC15,999349,1001198
GPSC15,1001198,1002927
GPSC15,1002927,1004851
GPSC15,1004851,1006800
GPSC15,1006800,1008595
GPSC15,1008595,1010355
GPSC15,1010355,1012145
GPSC15,1012145,1013913
GPSC15,1013913,1015935
GPSC15,1015935,1017730
GPSC15,1017730,1019709
GPSC15,1019709,1021469
GPSC15,1021469,1023283
GPSC15,1023283,1025049
GPSC15,1025049,1026823
GPSC15,1026823,1028565
GPSC15,1028565,1030407
GPSC15,1030407,1032179
GPSC15,1032179,1033950
GPSC15,1033950,1035782
GPSC15,1035782,1037546
GPSC15,1037546,1039294
GPSC15,1039294,1041078
GPSC15,1041078,1042927
GPSC15,1042927,1044710
GPSC15,1044710,1046473
GPSC15,1046473,1048235
GPSC15,1048235,1050057
GPSC15,1050057,1051715
GPSC15,1051715,1053536
GPSC15,1064281,1066090
GPSC15,1066090,1067557
GPSC15,1067557,1069408
GPSC15,1069408,1071254
GPSC15,1071254,1073097
GPSC15,1073097,1074865
GPSC15,1074865,1076614
GPSC15,1076614,1078366
GPSC15,1078366,1080194
GPSC15,1080194,1081960
GPSC15,1081960,1083379
GPSC15,1086561,1088499
GPSC15,1088499,1090254
GPSC15,1090254,1092052
GPSC15,1095139,1096989
GPSC15,1096989,1098963
GPSC15,1098963,1100757
GPSC15,1100757,1102385
GPSC15,1102385,1104465
GPSC15,1104465,1106347
GPSC15,1106347,1108332
GPSC15,1108332,1110105
GPSC15,1110105,1111890
GPSC15,1111890,1113684
GPSC15,1113684,1115458
GPSC15,1115458,1117232
GPSC15,1117232,1118691
GPSC15,1118691,1120514
GPSC15,1120514,1122458
GPSC15,1122458,1124241
GPSC15,1124241,1126003
GPSC15,1126003,1127831
GPSC15,1127831,1129646
GPSC15,1129646,1131495
GPSC15,1131495,1133220
GPSC15,1133220,1135065
GPSC15,1135065,1136851
GPSC15,1136851,1138482
GPSC15,1138482,1140282
GPSC15,1140282,1142085
GPSC15,1142085,1143889
GPSC15,1143889,1145650
GPSC15,1145650,1147475
GPSC15,1147475,1149282
GPSC15,1149282,1151093
GPSC15,1151093,1152897
GPSC15,1156140,1158140
GPSC15,1158140,1159992
GPSC15,1159992,1161662
GPSC15,1161662,1163445
GPSC15,1163445,1165257
GPSC15,1165257,1167099
GPSC15,1167099,1168848
GPSC15,1168848,1170654
GPSC15,1170654,1172345
GPSC15,1172345,1174130
GPSC15,1174130,1175926
GPSC15,1175926,1177722
GPSC15,1177722,1179523
GPSC15,1179523,1181371
GPSC15,1181371,1183083
GPSC15,1183083,1184590
GPSC15,1184590,1186472
GPSC15,1186472,1188226
GPSC15,1188226,1189999
GPSC15,1189999,1191673
GPSC15,1191673,1193498
GPSC15,1193498,1195498
GPSC15,1195498,1197289
GPSC15,1197289,1198257
GPSC15,1198257,1200042
GPSC15,1200042,1201097
GPSC15,1201097,1203035
GPSC15,1203035,1203319
GPSC15,1209013,1210890
GPSC15,1210890,1212699
GPSC15,1212699,1214694
GPSC15,1214694,1216523
GPSC15,1216523,1218369
GPSC15,1218369,1220136
GPSC15,1220136,1221970
GPSC15,1221970,1223798
GPSC15,1223798,1225459
GPSC15,1225459,1227422
GPSC15,1227422,1229216
GPSC15,1229216,1231047
GPSC15,1231047,1232855
GPSC15,1232855,1234598
GPSC15,1234598,1236256
GPSC15,1239550,1241457
GPSC15,1241457,1243452
GPSC15,1243452,1245234
GPSC15,1245234,1247082
GPSC15,1247082,1248900
GPSC15,1248900,1250650
GPSC15,1250650,1252443
GPSC15,1252443,1254289
GPSC15,1254289,1256076
GPSC15,1256076,1257909
GPSC15,1257909,1259734
GPSC15,1259734,1261534
GPSC15,1261534,1263336
GPSC15,1263336,1265179
GPSC15,1265179,1267011
GPSC15,1267011,1268343
GPSC15,1268343,1270510
GPSC15,1270510,1272464
GPSC15,1272464,1274220
GPSC15,1274220,1276220
GPSC15,1276220,1278116
GPSC15,1278116,1279726
GPSC15,1279726,1281635
GPSC15,1281635,1283193
GPSC15,1283193,1284869
GPSC15,1284869,1286644
GPSC15,1286644,1288082
GPSC15,1290765,1292506
GPSC15,1292506,1294287
GPSC15,1294287,1296071
GPSC15,1296071,1297841
GPSC15,1297841,1299664
GPSC15,1299664,1301477
GPSC15,1301477,1303478
GPSC15,1303478,1305170
GPSC15,1305170,1306260
GPSC15,1306260,1308061
GPSC15,1308061,1309714
GPSC15,1309714,1311449
GPSC15,1311449,1313103
GPSC15,1313103,1315020
GPSC15,1315020,1316798
GPSC15,1316798,1318634
GPSC15,1318634,1320389
GPSC15,1320389,1322224
GPSC15,1322224,1324057
GPSC15,1324057,1325905
GPSC15,1325905,1327672
GPSC15,1327672,1329672
GPSC15,1329672,1331500
GPSC15,1331500,1333274
GPSC15,1333274,1335038
GPSC15,1335038,1336843
GPSC15,1336843,1338682
GPSC15,1338682,1340444
GPSC15,1340444,1342281
GPSC15,1342281,1344115
GPSC15,1344115,1345608
GPSC15,1345608,1347383
GPSC15,1347383,1349204
GPSC15,1349204,1351013
GPSC15,1351013,1352776
GPSC15,1352776,1354587
GPSC15,1354587,1356392
GPSC15,1356392,1358192
GPSC15,1358192,1359986
GPSC15,1359986,1361646
GPSC15,1361646,1363362
GPSC15,1363362,1365202
GPSC15,1365202,1367014
GPSC15,1367014,1368834
GPSC15,1368834,1370589
GPSC15,1370589,1372351
GPSC15,1372351,1374179
GPSC15,1374179,1375928
GPSC15,1375928,1377706
GPSC15,1377706,1379519
GPSC15,1379519,1381353
GPSC15,1381353,1383127
GPSC15,1383127,1384828
GPSC15,1387582,1389477
GPSC15,1389477,1391447
GPSC15,1391447,1393285
GPSC15,1393285,1394551
GPSC15,1394551,1396110
GPSC15,1396110,1397938
GPSC15,1397938,1399702
GPSC15,1399702,1401543
GPSC15,1401543,1403316
GPSC15,1403316,1405224
GPSC15,1405224,1406876
GPSC15,1406876,1408605
GPSC15,1408605,1410436
GPSC15,1410436,1412188
GPSC15,1412188,1414037
GPSC15,1414037,1415846
GPSC15,1415846,1417676
GPSC15,1426036,1428030
GPSC15,1428030,1429988
GPSC15,1429988,1431787
GPSC15,1431787,1433565
GPSC15,1433565,1435349
GPSC15,1435349,1437085
GPSC15,1437085,1438867
GPSC15,1438867,1440623
GPSC15,1440623,1442463
GPSC15,1442463,1444258
GPSC15,1444258,1446029
GPSC15,1446029,1447790
GPSC15,1447790,1449593
GPSC15,1449593,1451358
GPSC15,1451358,1453230
GPSC15,1453230,1454967
GPSC15,1454967,1456799
GPSC15,1456799,1458625
GPSC15,1458625,1460367
GPSC15,1460367,1462200
GPSC15,1462200,1463959
GPSC15,1463959,1465696
GPSC15,1465696,1466985
GPSC15,1466985,1468972
GPSC15,1468972,1470745
GPSC15,1470745,1472515
GPSC15,1472515,1474289
GPSC15,1474289,1476059
GPSC15,1476059,1477897
GPSC15,1477897,1479669
GPSC15,1479669,1481468
GPSC15,1481468,1483265
GPSC15,1483265,1485108
GPSC15,1485108,1486873
GPSC15,1486873,1488641
GPSC15,1488641,1490252
GPSC15,1490252,1491981
GPSC15,1491981,1493812
GPSC15,1493812,1495603
GPSC15,1495603,1497304
GPSC15,1497304,1499140
GPSC15,1499140,1501140
GPSC15,1501140,1502655
GPSC15,1502655,1504394
GPSC15,1504394,1505887
GPSC15,1505887,1507838
GPSC15,1507838,1509806
GPSC15,1509806,1511581
GPSC15,1511581,1513384
GPSC15,1513384,1515161
GPSC15,1515161,1516940
GPSC15,1516940,1518721
GPSC15,1518721,1520559
GPSC15,1520559,1522362
GPSC15,1522362,1524172
GPSC15,1524172,1525971
GPSC15,1525971,1527790
GPSC15,1527790,1529543
GPSC15,1529543,1531059
GPSC15,1534412,1536260
GPSC15,1536260,1538121
GPSC15,1538121,1538318
GPSC15,1541708,1543523
GPSC15,1543523,1545503
GPSC15,1545503,1547276
GPSC15,1547276,1549008
GPSC15,1549008,1550769
GPSC15,1550769,1552753
GPSC15,1552753,1554381
GPSC15,1554381,1556291
GPSC15,1556291,1558139
GPSC15,1558139,1559989
GPSC15,1559989,1561809
GPSC15,1561809,1563657
GPSC15,1563657,1565311
GPSC15,1565311,1567069
GPSC15,1567069,1568882
GPSC15,1572185,1573769
GPSC15,1573769,1575769
GPSC15,1575769,1576493
GPSC15,1582810,1584659
GPSC15,1584659,1584901
GPSC15,1584901,1586907
GPSC15,1586907,1587751
GPSC15,1587751,1589535
GPSC15,1589535,1591378
GPSC15,1591378,1593163
GPSC15,1593163,1594839
GPSC15,1594839,1596660
GPSC15,1596660,1598460
GPSC15,1598460,1599690
GPSC15,1599690,1601463
GPSC15,1601463,1603278
GPSC15,1603278,1605110
GPSC15,1605110,1606911
GPSC15,1606911,1608665
GPSC15,1608665,1610328
GPSC15,1610328,1611914
GPSC15,1611914,1613542
GPSC15,1616891,1618735
GPSC15,1618735,1620545
GPSC15,1620545,1622370
GPSC15,1622370,1623866
GPSC15,1623866,1625833
GPSC15,1625833,1627642
GPSC15,1627642,1629151
GPSC15,1629151,1631036
GPSC15,1631036,1632631
GPSC15,1632631,1634392
GPSC15,1634392,1636226
GPSC15,1636226,1638022
GPSC15,1638022,1639687
GPSC15,1639687,1641478
GPSC15,1641478,1643312
GPSC15,1643312,1645101
GPSC15,1645101,1646896
GPSC15,1646896,1648637
GPSC15,1648637,1650322
GPSC15,1650322,1652086
GPSC15,1652086,1653885
GPSC15,1653885,1655671
GPSC15,1655671,1657514
GPSC15,1657514,1659298
GPSC15,1659298,1661131
GPSC15,1661131,1662882
GPSC15,1665084,1666922
GPSC15,1666922,1668922
GPSC15,1668922,1670558
GPSC15,1670558,1672367
GPSC15,1672367,1674096
GPSC15,1674096,1675772
GPSC15,1675772,1677660
GPSC15,1677660,1679487
GPSC15,1679487,1681285
GPSC15,1684132,1685668
GPSC15,1685668,1686853
GPSC15,1686853,1688479
GPSC15,1688479,1690194
GPSC15,1690194,1691948
GPSC15,1695444,1697354
GPSC15,1697354,1699354
GPSC15,1699354,1701151
GPSC15,1701151,1702937
GPSC15,1702937,1704766
GPSC15,1704766,1706646
GPSC15,1706646,1708646
GPSC15,1708646,1710646
GPSC15,1710646,1712462
GPSC15,1712462,1714244
GPSC15,1714244,1716053
GPSC15,1716053,1717843
GPSC15,1717843,1719504
GPSC15,1719504,1721398
GPSC15,1721398,1723158
GPSC15,1723158,1725005
GPSC15,1725005,1727005
GPSC15,1727005,1728604
GPSC15,1728604,1730417
GPSC15,1730417,1732176
GPSC15,1732176,1734013
GPSC15,1734013,1735795
GPSC15,1735795,1737635
GPSC15,1737635,1739449
GPSC15,1739449,1741219
GPSC15,1741219,1742985
GPSC15,1742985,1744756
GPSC15,1744756,1746515
GPSC15,1746515,1748180
GPSC15,1748180,1749963
GPSC15,1749963,1751717
GPSC15,1751717,1753495
GPSC15,1753495,1755233
GPSC15,1755233,1756875
GPSC15,1756875,1758694
GPSC15,1758694,1758924
GPSC15,1758924,1760830
GPSC15,1760830,1762793
GPSC15,1762793,1764335
GPSC15,1764335,1766348
GPSC15,1766348,1768129
GPSC15,1768129,1769938
GPSC15,1772181,1774089
GPSC15,1774089,1775978
GPSC15,1775978,1777759
GPSC15,1777759,1779391
GPSC15,1779391,1781288
GPSC15,1781288,1783043
GPSC15,1783043,1784887
GPSC15,1784887,1786490
GPSC15,1786490,1788397
GPSC15,1788397,1790182
GPSC15,1790182,1791947
GPSC15,1791947,1793737
GPSC15,1793737,1795554
GPSC15,1795554,1797260
GPSC15,1797260,1799107
GPSC15,1799107,1800734
GPSC15,1800734,1802508
GPSC15,1802508,1804344
GPSC15,1804344,1806080
GPSC15,1806080,1807762
GPSC15,1807762,1809543
GPSC15,1809543,1811318
GPSC15,1811318,1812917
GPSC15,1812917,1814763
GPSC15,1814763,1816597
GPSC15,1816597,1818427
GPSC15,1818427,1820358
GPSC15,1820358,1822158
GPSC15,1822158,1823911
GPSC15,1823911,1825760
GPSC15,1825760,1827590
GPSC15,1827590,1829590
GPSC15,1829590,1831430
GPSC15,1831430,1833171
GPSC15,1833171,1834992
GPSC15,1834992,1836732
GPSC15,1836732,1838514
GPSC15,1838514,1840221
GPSC15,1840221,1841477
GPSC15,1841477,1843223
GPSC15,1843223,1844972
GPSC15,1844972,1846740
GPSC15,1846740,1848502
GPSC15,1848502,1850315
GPSC15,1850315,1851953
GPSC15,1851953,1853741
GPSC15,1853741,1855590
GPSC15,1855590,1857330
GPSC15,1857330,1859112
GPSC15,1859112,1860905
GPSC15,1860905,1862519
GPSC15,1862519,1864317
GPSC15,1864317,1866033
GPSC15,1866033,1867518
GPSC15,1867518,1869345
GPSC15,1869345,1871104
GPSC15,1871104,1872948
GPSC15,1872948,1874762
GPSC15,1874762,1876581
GPSC15,1876581,1878338
GPSC15,1878338,1880025
GPSC15,1880025,1882176
GPSC15,1882176,1883952
GPSC15,1883952,1885719
GPSC15,1885719,1887440
GPSC15,1887440,1889265
GPSC15,1889265,1891060
GPSC15,1891060,1892847
GPSC15,1892847,1894650
GPSC15,1900219,1902194
GPSC15,1902194,1904042
GPSC15,1904042,1905832
GPSC15,1905832,1907637
GPSC15,1907637,1909471
GPSC15,1909471,1911024
GPSC15,1911024,1912776
GPSC15,1912776,1914531
GPSC15,1914531,1916308
GPSC15,1916308,1918044
GPSC15,1918044,1919799
GPSC15,1919799,1921557
GPSC15,1921557,1923295
GPSC15,1923295,1925123
GPSC15,1925123,1926868
GPSC15,1926868,1928628
GPSC15,1928628,1930271
GPSC15,1930271,1932088
GPSC15,1932088,1933694
GPSC15,1933694,1935376
GPSC15,1935376,1937072
GPSC15,1937072,1938986
GPSC15,1938986,1940533
GPSC15,1940533,1942292
GPSC15,1942292,1944058
GPSC15,1944058,1945804
GPSC15,1945804,1947631
GPSC15,1947631,1949278
GPSC15,1949278,1951347
GPSC15,1951347,1953126
GPSC15,1953126,1954863
GPSC15,1954863,1956617
GPSC15,1956617,1958408
GPSC15,1958408,1960217
GPSC15,1965604,1967380
GPSC15,1967380,1969229
GPSC15,1969229,1971002
GPSC15,1971002,1972839
GPSC15,1976417,1978403
GPSC15,1978403,1980109
GPSC15,1980109,1981742
GPSC15,1981742,1983542
GPSC15,1983542,1985441
GPSC17,2474,3675
GPSC17,3675,4613
GPSC17,4613,5729
GPSC17,5729,7155
GPSC17,7155,9114
GPSC17,9114,10959
GPSC17,10959,12797
GPSC17,12797,14637
GPSC17,14637,16469
GPSC17,16469,18183
GPSC17,18183,19965
GPSC17,19965,21899
GPSC17,21899,23658
GPSC17,23658,25311
GPSC17,25311,27218
GPSC17,27218,29176
GPSC17,29176,30972
GPSC17,30972,32802
GPSC17,32802,34802
GPSC17,34802,34812
GPSC17,37648,39636
GPSC17,39636,41441
GPSC17,41441,43010
GPSC17,43010,44838
GPSC17,44838,46644
GPSC17,46644,48398
GPSC17,48398,50219
GPSC17,50219,51981
GPSC17,51981,53745
GPSC17,53745,55529
GPSC17,55529,57330
GPSC17,57330,59127
GPSC17,59127,60972
GPSC17,60972,62961
GPSC17,62961,64795
GPSC17,64795,66559
GPSC17,66559,68332
GPSC17,68332,70095
GPSC17,70095,71894
GPSC17,71894,73695
GPSC17,73695,75463
GPSC17,75463,77142
GPSC17,77142,79074
GPSC17,79074,80921
GPSC17,80921,82486
GPSC17,82486,84366
GPSC17,84366,86103
GPSC17,86103,87926
GPSC17,87926,88847
GPSC17,88847,90622
GPSC17,90622,92430
GPSC17,92430,94257
GPSC17,94257,96240
GPSC17,96240,98059
GPSC17,98059,99481
GPSC17,99481,101481
GPSC17,101481,103296
GPSC17,103296,105109
GPSC17,105109,106820
GPSC17,106820,108605
GPSC17,108605,110576
GPSC17,110576,112576
GPSC17,112576,114346
GPSC17,114346,116038
GPSC17,116038,117671
GPSC17,117671,119123
GPSC17,119123,120617
GPSC17,120617,122406
