"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR144577","ERR161044","ERR181435","ERR212146","ERR234202","H37Rv","NC_019950","SRR1019139","SRR1163294","SRR1172044","SRR1173640","SRR1180462","SRR671749","SRR998654"
"group_1009","","hypothetical protein","14","14","1","1","3772","","","","686","713","711","ERR144577_03755","ERR161044_03772","ERR181435_03765","ERR212146_03763","ERR234202_03760","H37Rv_03763","NC_019950_03742","SRR1019139_03760","SRR1163294_03765","SRR1172044_03755","SRR1173640_03756","SRR1180462_03763","SRR671749_03756","SRR998654_03763"
"group_1010","","hypothetical protein","14","14","1","1","3771","","","","866","920","916","ERR144577_03756","ERR161044_03773","ERR181435_03767","ERR212146_03764","ERR234202_03762","H37Rv_03764","NC_019950_03743","SRR1019139_03761","SRR1163294_03767","SRR1172044_03756","SRR1173640_03757","SRR1180462_03765","SRR671749_03757","SRR998654_03765"
"mutY","","Adenine DNA glycosylase","14","14","1","1","3758","","","","887","887","887","ERR144577_03768","ERR161044_03785","ERR181435_03779","ERR212146_03776","ERR234202_03774","H37Rv_03776","NC_019950_03755","SRR1019139_03773","SRR1163294_03779","SRR1172044_03768","SRR1173640_03769","SRR1180462_03777","SRR671749_03769","SRR998654_03777"
"bpoC_3","","Putative non-heme bromoperoxidase BpoC","14","14","1","1","3756","","","","764","764","764","ERR144577_03770","ERR161044_03787","ERR181435_03781","ERR212146_03778","ERR234202_03776","H37Rv_03778","NC_019950_03756","SRR1019139_03775","SRR1163294_03781","SRR1172044_03770","SRR1173640_03771","SRR1180462_03779","SRR671749_03771","SRR998654_03779"
"group_1013","","hypothetical protein","14","14","1","1","3753","","","","698","827","817","ERR144577_03773","ERR161044_03790","ERR181435_03784","ERR212146_03781","ERR234202_03779","H37Rv_03781","NC_019950_03759","SRR1019139_03778","SRR1163294_03784","SRR1172044_03773","SRR1173640_03774","SRR1180462_03782","SRR671749_03774","SRR998654_03782"
"group_1014","","hypothetical protein","14","14","1","1","3752","","","","1310","1346","1322","ERR144577_03774","ERR161044_03791","ERR181435_03785","ERR212146_03782","ERR234202_03780","H37Rv_03782","NC_019950_03760","SRR1019139_03779","SRR1163294_03785","SRR1172044_03774","SRR1173640_03775","SRR1180462_03783","SRR671749_03775","SRR998654_03783"
"group_1015","","hypothetical protein","14","14","1","1","3745","","","","911","911","911","ERR144577_03781","ERR161044_03798","ERR181435_03792","ERR212146_03789","ERR234202_03787","H37Rv_03789","NC_019950_03767","SRR1019139_03786","SRR1163294_03792","SRR1172044_03781","SRR1173640_03782","SRR1180462_03790","SRR671749_03782","SRR998654_03790"
"espA","","ESX-1 secretion-associated protein EspA","14","14","1","1","3733","","","","932","1178","1160","ERR144577_03792","ERR161044_03809","ERR181435_03803","ERR212146_03800","ERR234202_03798","H37Rv_03800","NC_019950_03778","SRR1019139_03797","SRR1163294_03803","SRR1172044_03792","SRR1173640_03793","SRR1180462_03801","SRR671749_03793","SRR998654_03801"
"group_1017","","hypothetical protein","14","14","1","1","3724","","","","722","836","827","ERR144577_03799","ERR161044_03816","ERR181435_03810","ERR212146_03807","ERR234202_03805","H37Rv_03807","NC_019950_03785","SRR1019139_03804","SRR1163294_03810","SRR1172044_03799","SRR1173640_03800","SRR1180462_03808","SRR671749_03800","SRR998654_03808"
"hpt","","Hypoxanthine-guanine phosphoribosyltransferase","14","14","1","1","3723","","","","608","650","614","ERR144577_03800","ERR161044_03817","ERR181435_03811","ERR212146_03808","ERR234202_03806","H37Rv_03808","NC_019950_03786","SRR1019139_03805","SRR1163294_03811","SRR1172044_03800","SRR1173640_03801","SRR1180462_03809","SRR671749_03801","SRR998654_03809"
"group_1019","","putative PE-PGRS family protein PE_PGRS24","14","14","1","1","3696","","","","284","284","284","ERR144577_03826","ERR161044_03843","ERR181435_03837","ERR212146_03834","ERR234202_03832","H37Rv_03834","NC_019950_03810","SRR1019139_03832","SRR1163294_03837","SRR1172044_03826","SRR1173640_03827","SRR1180462_03835","SRR671749_03827","SRR998654_03835"
"group_1020","","hypothetical protein","14","14","1","1","3669","","","","254","263","254","ERR144577_03850","ERR161044_03867","ERR181435_03861","ERR212146_03860","ERR234202_03856","H37Rv_03858","NC_019950_03835","SRR1019139_03856","SRR1163294_03861","SRR1172044_03850","SRR1173640_03851","SRR1180462_03859","SRR671749_03851","SRR998654_03859"
"whiB4","","Transcriptional regulator WhiB4","14","14","1","1","3662","","","","221","302","296","ERR144577_03857","ERR161044_03874","ERR181435_03868","ERR212146_03867","ERR234202_03863","H37Rv_03865","NC_019950_03842","SRR1019139_03863","SRR1163294_03868","SRR1172044_03857","SRR1173640_03858","SRR1180462_03866","SRR671749_03858","SRR998654_03866"
"yqeY","","putative protein YqeY","14","14","1","1","3655","","","","419","464","422","ERR144577_03865","ERR161044_03882","ERR181435_03876","ERR212146_03875","ERR234202_03871","H37Rv_03873","NC_019950_03850","SRR1019139_03871","SRR1163294_03876","SRR1172044_03865","SRR1173640_03866","SRR1180462_03874","SRR671749_03866","SRR998654_03874"
"group_1023","","putative membrane protein","14","14","1","1","3652","","","","1001","1130","1010","ERR144577_03868","ERR161044_03885","ERR181435_03879","ERR212146_03878","ERR234202_03874","H37Rv_03876","NC_019950_03853","SRR1019139_03874","SRR1163294_03879","SRR1172044_03868","SRR1173640_03869","SRR1180462_03877","SRR671749_03869","SRR998654_03877"
"glpK","","Glycerol kinase","14","14","1","1","3647","","","","980","1553","1512","ERR144577_03873","ERR161044_03890","ERR181435_03884","ERR212146_03883","ERR234202_03879","H37Rv_03881","NC_019950_03858","SRR1019139_03879","SRR1163294_03884","SRR1172044_03873","SRR1173640_03874","SRR1180462_03882","SRR671749_03874","SRR998654_03882"
"group_1025","","hypothetical protein","14","14","1","1","3645","","","","224","224","224","ERR144577_03875","ERR161044_03892","ERR181435_03886","ERR212146_03885","ERR234202_03881","H37Rv_03883","NC_019950_03860","SRR1019139_03881","SRR1163294_03886","SRR1172044_03875","SRR1173640_03876","SRR1180462_03884","SRR671749_03876","SRR998654_03885"
"egtE","","putative hercynylcysteine sulfoxide lyase","14","14","1","1","3642","","","","1148","1172","1170","ERR144577_03878","ERR161044_03895","ERR181435_03889","ERR212146_03888","ERR234202_03884","H37Rv_03886","NC_019950_03863","SRR1019139_03884","SRR1163294_03889","SRR1172044_03878","SRR1173640_03879","SRR1180462_03887","SRR671749_03879","SRR998654_03888"
"group_1027","","Nucleoid-associated protein","14","14","1","1","3625","","","","374","383","381","ERR144577_03895","ERR161044_03912","ERR181435_03906","ERR212146_03905","ERR234202_03901","H37Rv_03903","NC_019950_03879","SRR1019139_03901","SRR1163294_03906","SRR1172044_03895","SRR1173640_03896","SRR1180462_03904","SRR671749_03896","SRR998654_03905"
"group_1028","","hypothetical protein","14","14","1","1","3615","","","","233","1001","836","ERR144577_03905","ERR161044_03922","ERR181435_03916","ERR212146_03915","ERR234202_03911","H37Rv_03914","NC_019950_03889","SRR1019139_03911","SRR1163294_03916","SRR1172044_03906","SRR1173640_03906","SRR1180462_03914","SRR671749_03907","SRR998654_03915"
"group_1029","","Putative diacyglycerol O-acyltransferase","14","14","1","1","3595","","","","788","1355","1314","ERR144577_03921","ERR161044_03938","ERR181435_03932","ERR212146_03931","ERR234202_03927","H37Rv_03930","NC_019950_03908","SRR1019139_03926","SRR1163294_03931","SRR1172044_03922","SRR1173640_03922","SRR1180462_03929","SRR671749_03923","SRR998654_03931"
"group_103","","hypothetical protein","14","14","1","1","4158","","","","602","1409","1070","ERR144577_03398","ERR161044_03414","ERR181435_03408","ERR212146_03407","ERR234202_03404","H37Rv_03405","NC_019950_03377","SRR1019139_03405","SRR1163294_03411","SRR1172044_03397","SRR1173640_03399","SRR1180462_03408","SRR671749_03398","SRR998654_03403"
"group_1031","","hypothetical protein","14","14","1","1","3584","","","","227","308","302","ERR144577_03931","ERR161044_03949","ERR181435_03942","ERR212146_03940","ERR234202_03938","H37Rv_03940","NC_019950_03917","SRR1019139_03936","SRR1163294_03941","SRR1172044_03932","SRR1173640_03932","SRR1180462_03939","SRR671749_03933","SRR998654_03941"
"group_1032","","hypothetical protein","14","14","1","1","3583","","","","326","392","359","ERR144577_03932","ERR161044_03950","ERR181435_03943","ERR212146_03941","ERR234202_03939","H37Rv_03941","NC_019950_03918","SRR1019139_03937","SRR1163294_03942","SRR1172044_03933","SRR1173640_03933","SRR1180462_03940","SRR671749_03934","SRR998654_03942"
"opuBA","","Choline transport ATP-binding protein OpuBA","14","14","1","1","3575","","","","1130","1181","1133","ERR144577_03941","ERR161044_03959","ERR181435_03952","ERR212146_03950","ERR234202_03948","H37Rv_03950","NC_019950_03927","SRR1019139_03946","SRR1163294_03951","SRR1172044_03942","SRR1173640_03942","SRR1180462_03949","SRR671749_03943","SRR998654_03951"
"yehZ","","Glycine betaine-binding protein YehZ","14","14","1","1","3574","","","","1031","1031","1031","ERR144577_03942","ERR161044_03960","ERR181435_03953","ERR212146_03951","ERR234202_03949","H37Rv_03951","NC_019950_03928","SRR1019139_03947","SRR1163294_03952","SRR1172044_03943","SRR1173640_03943","SRR1180462_03950","SRR671749_03944","SRR998654_03952"
"group_1035","","hypothetical protein","14","14","1","1","3560","","","","191","191","191","ERR144577_03955","ERR161044_03973","ERR181435_03966","ERR212146_03964","ERR234202_03962","H37Rv_03964","NC_019950_03941","SRR1019139_03960","SRR1163294_03965","SRR1172044_03956","SRR1173640_03956","SRR1180462_03963","SRR671749_03958","SRR998654_03965"
"group_1036","","hypothetical protein","14","14","1","1","3557","","","","401","497","490","ERR144577_03960","ERR161044_03979","ERR181435_03971","ERR212146_03969","ERR234202_03967","H37Rv_03969","NC_019950_03946","SRR1019139_03965","SRR1163294_03970","SRR1172044_03961","SRR1173640_03961","SRR1180462_03968","SRR671749_03963","SRR998654_03970"
"glfT1","","Galactofuranosyltransferase GlfT1","14","14","1","1","3548","","","","914","914","914","ERR144577_03969","ERR161044_03988","ERR181435_03980","ERR212146_03978","ERR234202_03976","H37Rv_03978","NC_019950_03955","SRR1019139_03974","SRR1163294_03979","SRR1172044_03970","SRR1173640_03970","SRR1180462_03977","SRR671749_03972","SRR998654_03979"
"rfbB","","dTDP-glucose 4,6-dehydratase","14","14","1","1","3546","","","","980","1010","982","ERR144577_03971","ERR161044_03990","ERR181435_03982","ERR212146_03980","ERR234202_03978","H37Rv_03980","NC_019950_03957","SRR1019139_03976","SRR1163294_03981","SRR1172044_03972","SRR1173640_03972","SRR1180462_03979","SRR671749_03974","SRR998654_03981"
"aftA","","Galactan 5-O-arabinofuranosyltransferase","14","14","1","1","3538","","","","1892","1931","1897","ERR144577_03979","ERR161044_03998","ERR181435_03990","ERR212146_03988","ERR234202_03986","H37Rv_03988","NC_019950_03965","SRR1019139_03984","SRR1163294_03989","SRR1172044_03980","SRR1173640_03980","SRR1180462_03987","SRR671749_03982","SRR998654_03989"
"group_1040","","Putative decaprenylphosphoryl-5-phosphoribose phosphatase","14","14","1","1","3523","","","","533","542","533","ERR144577_03994","ERR161044_04013","ERR181435_04005","ERR212146_04003","ERR234202_04001","H37Rv_04003","NC_019950_03979","SRR1019139_03999","SRR1163294_04004","SRR1172044_03995","SRR1173640_03995","SRR1180462_04002","SRR671749_03997","SRR998654_04004"
"group_1041","","hypothetical protein","14","14","1","1","3518","","","","554","1514","1445","ERR144577_03999","ERR161044_04018","ERR181435_04011","ERR212146_04008","ERR234202_04006","H37Rv_04008","NC_019950_03984","SRR1019139_04004","SRR1163294_04009","SRR1172044_04000","SRR1173640_04000","SRR1180462_04008","SRR671749_04002","SRR998654_04009"
"group_1042","","IS607 family transposase IS1537","14","14","1","1","3501","","","","1223","1379","1234","ERR144577_04015","ERR161044_04034","ERR181435_04027","ERR212146_04024","ERR234202_04022","H37Rv_04024","NC_019950_04000","SRR1019139_04020","SRR1163294_04025","SRR1172044_04016","SRR1173640_04016","SRR1180462_04024","SRR671749_04018","SRR998654_04025"
"nimR","","HTH-type transcriptional regulator NimR","14","14","1","1","3495","","","","743","791","787","ERR144577_04020","ERR161044_04040","ERR181435_04033","ERR212146_04030","ERR234202_04028","H37Rv_04030","NC_019950_04006","SRR1019139_04026","SRR1163294_04031","SRR1172044_04022","SRR1173640_04021","SRR1180462_04030","SRR671749_04024","SRR998654_04031"
"group_1044","","hypothetical protein","14","14","1","1","3492","","","","350","413","381","ERR144577_04023","ERR161044_04043","ERR181435_04036","ERR212146_04033","ERR234202_04031","H37Rv_04033","NC_019950_04009","SRR1019139_04029","SRR1163294_04034","SRR1172044_04025","SRR1173640_04024","SRR1180462_04033","SRR671749_04027","SRR998654_04034"
"lcpB","","putative cell wall biosynthesis protein LcpB","14","14","1","1","3487","","","","293","362","357","ERR144577_04028","ERR161044_04047","ERR181435_04041","ERR212146_04038","ERR234202_04035","H37Rv_04038","NC_019950_04013","SRR1019139_04033","SRR1163294_04038","SRR1172044_04030","SRR1173640_04029","SRR1180462_04037","SRR671749_04032","SRR998654_04038"
"group_1046","","hypothetical protein","14","14","1","1","3482","","","","131","131","131","ERR144577_04033","ERR161044_04052","ERR181435_04046","ERR212146_04043","ERR234202_04040","H37Rv_04043","NC_019950_04018","SRR1019139_04038","SRR1163294_04043","SRR1172044_04035","SRR1173640_04034","SRR1180462_04042","SRR671749_04037","SRR998654_04043"
"group_1047","","hypothetical protein","14","14","1","1","3473","","","","533","626","552","ERR144577_04039","ERR161044_04058","ERR181435_04052","ERR212146_04049","ERR234202_04046","H37Rv_04049","NC_019950_04025","SRR1019139_04044","SRR1163294_04049","SRR1172044_04041","SRR1173640_04040","SRR1180462_04048","SRR671749_04043","SRR998654_04049"
"group_1048","","hypothetical protein","14","14","1","1","3472","","","","833","908","902","ERR144577_04040","ERR161044_04059","ERR181435_04053","ERR212146_04050","ERR234202_04047","H37Rv_04050","NC_019950_04026","SRR1019139_04045","SRR1163294_04050","SRR1172044_04042","SRR1173640_04041","SRR1180462_04049","SRR671749_04044","SRR998654_04050"
"ethA_3","","FAD-containing monooxygenase EthA","14","14","1","1","3466","","","","1430","1469","1466","ERR144577_04046","ERR161044_04065","ERR181435_04059","ERR212146_04056","ERR234202_04053","H37Rv_04056","NC_019950_04032","SRR1019139_04051","SRR1163294_04056","SRR1172044_04048","SRR1173640_04047","SRR1180462_04055","SRR671749_04050","SRR998654_04056"
"ethR_2","","HTH-type transcriptional regulator EthR","14","14","1","1","3465","","","","650","686","652","ERR144577_04047","ERR161044_04066","ERR181435_04060","ERR212146_04057","ERR234202_04054","H37Rv_04057","NC_019950_04033","SRR1019139_04052","SRR1163294_04057","SRR1172044_04049","SRR1173640_04048","SRR1180462_04056","SRR671749_04051","SRR998654_04057"
"eccCb1","","ESX-1 secretion system protein EccCb1","14","14","1","1","3449","","","","1775","1883","1782","ERR144577_04063","ERR161044_04082","ERR181435_04076","ERR212146_04072","ERR234202_04070","H37Rv_04073","NC_019950_04049","SRR1019139_04068","SRR1163294_04073","SRR1172044_04065","SRR1173640_04064","SRR1180462_04072","SRR671749_04067","SRR998654_04073"
"espB","","ESX-1 secretion-associated protein EspB","14","14","1","1","3434","","","","1349","1382","1379","ERR144577_04074","ERR161044_04093","ERR181435_04089","ERR212146_04083","ERR234202_04082","H37Rv_04084","NC_019950_04060","SRR1019139_04079","SRR1163294_04084","SRR1172044_04076","SRR1173640_04075","SRR1180462_04084","SRR671749_04078","SRR998654_04084"
"eccE2","","ESX-2 secretion system protein EccE2","14","14","1","1","3430","","","","1433","1613","1600","ERR144577_04078","ERR161044_04097","ERR181435_04093","ERR212146_04087","ERR234202_04086","H37Rv_04088","NC_019950_04064","SRR1019139_04083","SRR1163294_04088","SRR1172044_04080","SRR1173640_04079","SRR1180462_04088","SRR671749_04082","SRR998654_04088"
"esxC","","ESAT-6-like protein EsxC","14","14","1","1","3425","","","","113","287","274","ERR144577_04083","ERR161044_04102","ERR181435_04098","ERR212146_04092","ERR234202_04091","H37Rv_04093","NC_019950_04069","SRR1019139_04088","SRR1163294_04093","SRR1172044_04085","SRR1173640_04084","SRR1180462_04093","SRR671749_04088","SRR998654_04093"
"group_1056","","hypothetical protein","14","14","1","1","3422","","","","233","305","238","ERR144577_04086","ERR161044_04105","ERR181435_04101","ERR212146_04095","ERR234202_04094","H37Rv_04096","NC_019950_04072","SRR1019139_04091","SRR1163294_04096","SRR1172044_04088","SRR1173640_04087","SRR1180462_04096","SRR671749_04091","SRR998654_04096"
"ddpX","","D-alanyl-D-alanine dipeptidase","14","14","1","1","1120","","","","611","740","621","ERR144577_00886","ERR161044_00895","ERR181435_00890","ERR212146_00892","ERR234202_00894","H37Rv_00890","NC_019950_00867","SRR1019139_00892","SRR1163294_00887","SRR1172044_00888","SRR1173640_00890","SRR1180462_00892","SRR671749_00886","SRR998654_00887"
"group_1061","","hypothetical protein","14","14","1","1","1390","","","","2297","2477","2315","ERR144577_01151","ERR161044_01159","ERR181435_01154","ERR212146_01154","ERR234202_01160","H37Rv_01151","NC_019950_01131","SRR1019139_01155","SRR1163294_01151","SRR1172044_01150","SRR1173640_01154","SRR1180462_01156","SRR671749_01148","SRR998654_01149"
"group_1064","","hypothetical protein","14","14","1","1","3064","","","","1604","1640","1630","ERR144577_02726","ERR161044_02742","ERR181435_02736","ERR212146_02733","ERR234202_02731","H37Rv_02731","NC_019950_02720","SRR1019139_02728","SRR1163294_02733","SRR1172044_02723","SRR1173640_02726","SRR1180462_02731","SRR671749_02724","SRR998654_02728"
"group_1065","","putative protein","14","14","1","1","749","","","","1130","1145","1131","ERR144577_00527","ERR161044_00531","ERR181435_00528","ERR212146_00532","ERR234202_00533","H37Rv_00529","NC_019950_00523","SRR1019139_00532","SRR1163294_00529","SRR1172044_00526","SRR1173640_00528","SRR1180462_00531","SRR671749_00525","SRR998654_00526"
"group_1066","","putative protein","14","14","1","1","2718","","","","905","914","905","ERR144577_02403","ERR161044_02411","ERR181435_02404","ERR212146_02406","ERR234202_02405","H37Rv_02402","NC_019950_02388","SRR1019139_02401","SRR1163294_02404","SRR1172044_02397","SRR1173640_02403","SRR1180462_02404","SRR671749_02398","SRR998654_02400"
"group_1068","","hypothetical protein","14","14","1","1","3845","","","","866","4172","3915","ERR144577_03683","ERR161044_03700","ERR181435_03694","ERR212146_03692","ERR234202_03687","H37Rv_03692","NC_019950_03670","SRR1019139_03689","SRR1163294_03694","SRR1172044_03684","SRR1173640_03684","SRR1180462_03691","SRR671749_03684","SRR998654_03690"
"group_1069","","hypothetical protein","14","14","1","1","2526","","","","1172","1478","1431","ERR144577_02215","ERR161044_02226","ERR181435_02218","ERR212146_02219","ERR234202_02218","H37Rv_02213","NC_019950_02204","SRR1019139_02215","SRR1163294_02219","SRR1172044_02210","SRR1173640_02217","SRR1180462_02217","SRR671749_02211","SRR998654_02214"
"group_107","","Apoptosis inhibitor","14","14","1","1","3690","","","","287","377","302","ERR144577_03830","ERR161044_03847","ERR181435_03841","ERR212146_03839","ERR234202_03836","H37Rv_03838","NC_019950_03815","SRR1019139_03836","SRR1163294_03841","SRR1172044_03830","SRR1173640_03831","SRR1180462_03839","SRR671749_03831","SRR998654_03839"
"group_1070","","PE family immunomodulator PE35","14","14","1","1","3448","","","","287","299","295","ERR144577_04064","ERR161044_04083","ERR181435_04077","ERR212146_04073","ERR234202_04071","H37Rv_04074","NC_019950_04050","SRR1019139_04069","SRR1163294_04074","SRR1172044_04066","SRR1173640_04065","SRR1180462_04073","SRR671749_04068","SRR998654_04074"
"mdtD_4","","Putative multidrug resistance protein MdtD","14","14","1","1","3611","","","","3074","3215","3180","ERR144577_03909","ERR161044_03926","ERR181435_03920","ERR212146_03919","ERR234202_03916","H37Rv_03918","NC_019950_03893","SRR1019139_03915","SRR1163294_03920","SRR1172044_03910","SRR1173640_03910","SRR1180462_03918","SRR671749_03911","SRR998654_03919"
"php","","Phosphotriesterase homology protein","14","14","1","1","457","","","","920","986","976","ERR144577_00251","ERR161044_00250","ERR181435_00251","ERR212146_00254","ERR234202_00251","H37Rv_00249","NC_019950_00251","SRR1019139_00253","SRR1163294_00251","SRR1172044_00248","SRR1173640_00252","SRR1180462_00253","SRR671749_00248","SRR998654_00250"
"group_1078","","hypothetical protein","14","14","1","1","836","","","","479","584","571","ERR144577_00611","ERR161044_00616","ERR181435_00613","ERR212146_00616","ERR234202_00618","H37Rv_00613","NC_019950_00608","SRR1019139_00616","SRR1163294_00613","SRR1172044_00610","SRR1173640_00611","SRR1180462_00615","SRR671749_00609","SRR998654_00610"
"yccF","","Inner membrane protein YccF","14","14","1","1","1152","","","","389","392","389","ERR144577_00917","ERR161044_00928","ERR181435_00921","ERR212146_00923","ERR234202_00926","H37Rv_00921","NC_019950_00899","SRR1019139_00923","SRR1163294_00918","SRR1172044_00919","SRR1173640_00921","SRR1180462_00923","SRR671749_00917","SRR998654_00918"
"mycP2","","Mycosin-2","14","14","1","1","3429","","","","1319","1652","1607","ERR144577_04079","ERR161044_04098","ERR181435_04094","ERR212146_04088","ERR234202_04087","H37Rv_04089","NC_019950_04065","SRR1019139_04084","SRR1163294_04089","SRR1172044_04081","SRR1173640_04080","SRR1180462_04089","SRR671749_04084","SRR998654_04089"
"group_1094","","hypothetical protein","14","14","1","1","1370","","","","1382","2303","1456","ERR144577_01131","ERR161044_01139","ERR181435_01134","ERR212146_01134","ERR234202_01139","H37Rv_01131","NC_019950_01111","SRR1019139_01135","SRR1163294_01131","SRR1172044_01130","SRR1173640_01134","SRR1180462_01136","SRR671749_01128","SRR998654_01129"
"group_1097","","PPE family protein PPE18","14","14","1","1","1514","","","","1175","1181","1175","ERR144577_01267","ERR161044_01275","ERR181435_01269","ERR212146_01271","ERR234202_01275","H37Rv_01268","NC_019950_01245","SRR1019139_01271","SRR1163294_01266","SRR1172044_01266","SRR1173640_01270","SRR1180462_01271","SRR671749_01264","SRR998654_01265"
"group_11","","hypothetical protein","14","14","1","1","593","","","","425","10538","5654","ERR144577_00375","ERR161044_00377","ERR181435_00376","ERR212146_00380","ERR234202_00379","H37Rv_00376","NC_019950_00374","SRR1019139_00378","SRR1163294_00377","SRR1172044_00374","SRR1173640_00376","SRR1180462_00378","SRR671749_00373","SRR998654_00374"
"group_112","","hypothetical protein","14","14","1","1","315","","","","1139","1514","1458","ERR144577_00116","ERR161044_00115","ERR181435_00118","ERR212146_00118","ERR234202_00117","H37Rv_00116","NC_019950_00120","SRR1019139_00119","SRR1163294_00117","SRR1172044_00115","SRR1173640_00117","SRR1180462_00117","SRR671749_00115","SRR998654_00116"
"group_114","","Putative S-adenosyl-L-methionine-dependent methyltransferase","14","14","1","1","361","","","","614","1004","914","ERR144577_00161","ERR161044_00159","ERR181435_00161","ERR212146_00162","ERR234202_00161","H37Rv_00159","NC_019950_00163","SRR1019139_00164","SRR1163294_00161","SRR1172044_00158","SRR1173640_00162","SRR1180462_00162","SRR671749_00158","SRR998654_00160"
"group_118","","hypothetical protein","14","14","1","1","606","","","","839","1316","1199","ERR144577_00389","ERR161044_00390","ERR181435_00390","ERR212146_00394","ERR234202_00393","H37Rv_00390","NC_019950_00387","SRR1019139_00392","SRR1163294_00390","SRR1172044_00388","SRR1173640_00390","SRR1180462_00391","SRR671749_00387","SRR998654_00387"
"group_128","","Putative cytochrome P450 126","14","14","1","1","1052","","","","584","1244","1162","ERR144577_00820","ERR161044_00829","ERR181435_00822","ERR212146_00825","ERR234202_00828","H37Rv_00823","NC_019950_00804","SRR1019139_00826","SRR1163294_00822","SRR1172044_00822","SRR1173640_00824","SRR1180462_00825","SRR671749_00820","SRR998654_00822"
