sample_name,tax_id,genus_name,taxon_name,aggregatescore,NT_r,NT_rpm,NT_zscore,NR_r,NR_rpm,NR_zscore
Yale-SP00052,1353891,Achromobacter,Achromobacter deleyi,,6200,105.915,,530,9.054,
Yale-SP00052,1283,Staphylococcus,Staphylococcus haemolyticus,,12,0.205,,44,0.7517,
Yale-SP00052,40324,Stenotrophomonas,Stenotrophomonas maltophilia,,4803,82.0499,,3787,64.6935,
Yale-SP00052,1433513,Streptococcus,Streptococcus gwangjuense,,3,0.0512,,0,0,
Yale-SP00052,4498,Avena,Avena sativa,,913962,15613.3,,210,3.5874,
Yale-SP00052,85698,Achromobacter,Achromobacter xylosoxidans,,20670,353.107,,4934,84.2878,
Yale-SP00052,217203,Achromobacter,Achromobacter spanius,,26256,448.533,,2407,41.1189,
Yale-SP00052,488,Neisseria,Neisseria mucosa,,47,0.8029,,9,0.1537,
Yale-SP00052,1307,Streptococcus,Streptococcus suis,,3,0.0512,,16,0.2733,
Yale-SP00052,2047,Rothia,Rothia dentocariosa,,135,2.3062,,128,2.1866,
Yale-SP00052,44008,Enterococcus,Enterococcus cecorum,,56,0.9567,,51,0.8712,
Yale-SP00052,78535,Streptococcus,Streptococcus viridans,,4,0.0683,,0,0,
Yale-SP00052,2282475,Achromobacter,Achromobacter sp. B7,,8913,152.261,,59,1.0079,
Yale-SP00052,2832643,,Caudoviricetes sp.,,702,11.9923,,378,6.4574,
Yale-SP00052,2839983,Cupriavidus,Cupriavidus sp. EM10,,23,0.3929,,0,0,
Yale-SP00052,1318,Streptococcus,Streptococcus parasanguinis,,107,1.8279,,258,4.4074,
Yale-SP00052,1353889,Achromobacter,Achromobacter pestifer,,4530,77.3862,,1449,24.7533,
Yale-SP00052,1419814,Streptococcus,Streptococcus sp. VT 162,,0,0,,4,0.0683,
Yale-CS00173,32002,Achromobacter,Achromobacter denitrificans,,347,62.4564,,35,6.2996,
Yale-CS00173,1197460,Bradyrhizobium,Bradyrhizobium sp. 6(2017),,1,0.18,,0,0,
Yale-CS00173,1313,Streptococcus,Streptococcus pneumoniae,,2806629,505164,,353,63.5363,
Yale-CS00173,391953,Aquincola,Aquincola tertiaricarbonis,,4,0.72,,0,0,
Yale-CS00173,7038,Bemisia,Bemisia tabaci,,25,4.4997,,0,0,
Yale-CS00173,28037,Streptococcus,Streptococcus mitis,,110,19.7989,,74,13.3192,
Yale-CS00173,1156431,Streptococcus,Streptococcus ilei,,3,0.54,,0,0,
Yale-CS00173,1353891,Achromobacter,Achromobacter deleyi,,413,74.3357,,10,1.7999,
Yale-CS00173,2839983,Cupriavidus,Cupriavidus sp. EM10,,1,0.18,,0,0,
Yale-CS00173,1304,Streptococcus,Streptococcus salivarius,,19,3.4198,,4137,744.617,
Yale-CS00173,38304,Corynebacterium,Corynebacterium tuberculostearicum,,13,2.3399,,10,1.7999,
Yale-CS00173,2070761,Roseateles,Paucibacter aquatile,,4,0.72,,0,0,
Yale-CS00173,2789327,Sphingobium,Sphingobium sp. Cam5-1,,2,0.36,,0,0,
Yale-CS00173,47878,Pseudomonas,Pseudomonas azotoformans,,1508,271.424,,101,18.1789,
Yale-CS00173,87883,Burkholderia,Burkholderia multivorans,,8,1.4399,,0,0,
Yale-CS00173,1419814,Streptococcus,Streptococcus sp. VT 162,,12063,2171.21,,0,0,
Yale-CS00173,1308,Streptococcus,Streptococcus thermophilus,,10,1.7999,,0,0,
Yale-CS00173,28449,Neisseria,Neisseria subflava,,0,0,,2,0.36,
Yale-CS00173,1177574,Prevotella,Prevotella jejuni,,6,1.0799,,0,0,
Yale-CS00173,1353889,Achromobacter,Achromobacter pestifer,,363,65.3362,,292,52.5569,
Yale-CS00173,198620,Pseudomonas,Pseudomonas koreensis,,3,0.54,,0,0,
Yale-CS00173,1433513,Streptococcus,Streptococcus gwangjuense,,1,0.18,,0,0,
Yale-CS00173,2598453,Streptococcus,Streptococcus sp. 116-D4,,1,0.18,,0,0,
Yale-CS00173,2759692,Streptococcus,Streptococcus sp. Marseille-Q3533,,4,0.72,,0,0,
Yale-CS00173,38284,Corynebacterium,Corynebacterium accolens,,62,11.1594,,27,4.8597,
Yale-CS00173,43675,Rothia,Rothia mucilaginosa,,38,6.8396,,3,0.54,
Yale-CS00173,1660,Schaalia,Schaalia odontolytica,,26,4.6797,,3,0.54,
Yale-CS00173,748215,Sesia,Sesia apiformis,,444,79.9154,,0,0,
Yale-CS00173,1325120,Bradyrhizobium,Bradyrhizobium sp. CCBAU 53421,,5,0.8999,,2,0.36,
Yale-CS00173,40324,Stenotrophomonas,Stenotrophomonas maltophilia,,349,62.8164,,352,63.3563,
Yale-CS00173,155900,,uncultured organism,,26,4.6797,,0,0,
Yale-CS00173,2057741,Bradyrhizobium,Bradyrhizobium sp. SK17,,31,5.5797,,26,4.6797,
Yale-CS00173,158754,Sphingomonas,uncultured Sphingomonas sp.,,4,0.72,,11,1.9799,
Yale-CS00173,217203,Achromobacter,Achromobacter spanius,,2452,441.334,,141,25.3785,
Yale-CS00173,31201,Spisula,Spisula solida,,75,13.4992,,0,0,
Yale-CS00173,2832643,,Caudoviricetes sp.,,91,16.379,,59,10.6194,
Yale-CS00173,1307,Streptococcus,Streptococcus suis,,1,0.18,,9,1.6199,
Yale-CS00173,1747,Cutibacterium,Cutibacterium acnes,,7129,1283.15,,5346,962.224,
Yale-CS00173,113107,Streptococcus,Streptococcus australis,,1,0.18,,0,0,
Yale-CS00173,1282,Staphylococcus,Staphylococcus epidermidis,,12,2.1599,,5,0.8999,
Yale-CS00173,1318,Streptococcus,Streptococcus parasanguinis,,2,0.36,,2,0.36,
Yale-CS00173,1979527,Corynebacterium,Corynebacterium kefirresidentii,,70,12.5993,,14,2.5199,
Yale-CS00173,2282475,Achromobacter,Achromobacter sp. B7,,1722,309.942,,10,1.7999,
Yale-CS00173,722659,Cabera,Cabera pusaria,,1114,200.508,,0,0,
Yale-CS00173,1143063,Lochmaea,Lochmaea crataegi,,95,17.099,,0,0,
Yale-CS00173,287,Pseudomonas,Pseudomonas aeruginosa,,63,11.3393,,108,19.4389,
Yale-CS00173,1292,Staphylococcus,Staphylococcus warneri,,0,0,,1,0.18,
Yale-CS00173,1303,Streptococcus,Streptococcus oralis,,1075,193.489,,18,3.2398,
Yale-CS00173,77133,,uncultured bacterium,,5896,1061.22,,6,1.0799,
Yale-CS00173,1523415,Sphingomonas,Sphingomonas sp. AAP5,,256,46.0773,,6,1.0799,
Yale-CS00173,3019553,Roseateles,Paucibacter sp. S2-9,,5,0.8999,,2,0.36,
Yale-CS00173,46124,Granulicatella,Granulicatella adiacens,,2,0.36,,0,0,
Yale-CS00173,257758,Streptococcus,Streptococcus pseudopneumoniae,,2,0.36,,0,0,
Yale-CS00173,1517551,Sphingomonas,Sphingomonas sp. HMP6,,112,20.1588,,9,1.6199,
Yale-CS00173,2997354,Sphingomonas,Sphingomonas sp. So64.6b,,63,11.3393,,0,0,
Yale-CS00173,85698,Achromobacter,Achromobacter xylosoxidans,,2105,378.878,,634,114.113,
Yale-CS00173,1902136,Streptococcus,Streptococcus sp. NPS 308,,4,0.72,,0,0,
Yale-CS00173,729,Haemophilus,Haemophilus parainfluenzae,,24,4.3198,,0,0,
Yale-CS00173,2715960,Bradyrhizobium,Bradyrhizobium sp. PSBB068,,119,21.4188,,0,0,
Yale-CS00173,1595580,Pseudomonas,Pseudomonas sp. SRP2822,,1938,348.82,,0,0,
Yale-CS00173,1283,Staphylococcus,Staphylococcus haemolyticus,,17,3.0598,,0,0,
Yale-CS00173,1305,Streptococcus,Streptococcus sanguinis,,17,3.0598,,1,0.18,
Yale-CS00173,76775,Malassezia,Malassezia restricta,,116,20.8788,,76,13.6792,
Yale-CS00173,78535,Streptococcus,Streptococcus viridans,,1,0.18,,0,0,
Yale-CS00173,1560345,Sphingomonas,Sphingomonas panacis,,25,4.4997,,0,0,
Yale-CS00177,712633,Streptococcus,Streptococcus sp. oral taxon 431,,21793,4559.13,,1427,298.531,
Yale-CS00177,1433513,Streptococcus,Streptococcus gwangjuense,,156338,32706.2,,241,50.4176,
Yale-CS00177,1303,Streptococcus,Streptococcus oralis,,649750,135929,,300183,62798.8,
Yale-CS00177,1177574,Prevotella,Prevotella jejuni,,22,4.6024,,5,1.046,
Yale-CS00177,1902136,Streptococcus,Streptococcus sp. NPS 308,,20023,4188.84,,1496,312.966,
Yale-CS00177,2832643,,Caudoviricetes sp.,,1600,334.723,,14270,2985.31,
Yale-CS00177,1307,Streptococcus,Streptococcus suis,,3737,781.787,,88553,18525.4,
Yale-CS00177,28037,Streptococcus,Streptococcus mitis,,865464,181056,,433624,90714.9,
Yale-CS00177,2598453,Streptococcus,Streptococcus sp. 116-D4,,25130,5257.24,,57,11.9245,
Yale-CS00177,486,Neisseria,Neisseria lactamica,,13,2.7196,,43,8.9957,
Yale-CS00177,1304,Streptococcus,Streptococcus salivarius,,212404,44435.3,,41139,8606.35,
Yale-CS00177,28131,Prevotella,Prevotella intermedia,,5,1.046,,0,0,
Yale-CS00177,470565,Prevotella,Prevotella histicola,,13,2.7196,,41,8.5773,
Yale-CS00177,40324,Stenotrophomonas,Stenotrophomonas maltophilia,,0,0,,5,1.046,
Yale-CS00177,712624,Streptococcus,Streptococcus sp. oral taxon 064,,126941,26556.3,,54,11.2969,
Yale-CS00177,1419814,Streptococcus,Streptococcus sp. VT 162,,18841,3941.57,,1338,279.912,
Yale-CS00177,2610896,Streptococcus,Streptococcus sp. LPB0220,,75301,15753.1,,19,3.9748,
Yale-CS00177,28449,Neisseria,Neisseria subflava,,108,22.5938,,62,12.9705,
Yale-CS00177,1353889,Achromobacter,Achromobacter pestifer,,2,0.4184,,0,0,
Yale-CS00177,488,Neisseria,Neisseria mucosa,,2198,459.825,,439,91.8395,
Yale-CS00177,729,Haemophilus,Haemophilus parainfluenzae,,40,8.3681,,66,13.8073,
Yale-CS00177,2047,Rothia,Rothia dentocariosa,,3615,756.264,,34962,7314.11,
Yale-CS00177,38284,Corynebacterium,Corynebacterium accolens,,2,0.4184,,0,0,
Yale-CS00177,1839799,Streptococcus,Streptococcus sp. FDAARGOS_192,,72706,15210.2,,0,0,
Yale-CS00177,1305,Streptococcus,Streptococcus sanguinis,,24074,5036.32,,16216,3392.41,
Yale-CS00177,1313,Streptococcus,Streptococcus pneumoniae,,351593,73553.8,,503723,105380,
Yale-CS00177,32002,Achromobacter,Achromobacter denitrificans,,2,0.4184,,0,0,
Yale-CS00177,1283,Staphylococcus,Staphylococcus haemolyticus,,0,0,,1,0.2092,
Yale-CS00177,87883,Burkholderia,Burkholderia multivorans,,0,0,,6807,1424.04,
Yale-CS00177,287,Pseudomonas,Pseudomonas aeruginosa,,0,0,,434,90.7935,
Yale-CS00177,1282,Staphylococcus,Staphylococcus epidermidis,,0,0,,41,8.5773,
Yale-CS00177,1660,Schaalia,Schaalia odontolytica,,3111,650.826,,502,105.019,
Yale-CS00177,46124,Granulicatella,Granulicatella adiacens,,53051,11098.4,,23,4.8116,
Yale-CS00177,2598457,Streptococcus,Streptococcus sp. KS 6,,316,66.1077,,0,0,
Yale-CS00177,2682456,Veillonella,Veillonella nakazawae,,41,8.5773,,0,0,
Yale-CS00177,2576376,Streptococcus,Streptococcus sp. 1643,,33260,6958.05,,8077,1689.72,
Yale-CS00177,113107,Streptococcus,Streptococcus australis,,30114,6299.9,,47809,10001.7,
Yale-CS00177,1523415,Sphingomonas,Sphingomonas sp. AAP5,,2,0.4184,,2,0.4184,
Yale-CS00177,39777,Veillonella,Veillonella atypica,,152,31.7987,,43,8.9957,
Yale-CS00177,1156431,Streptococcus,Streptococcus ilei,,1605,335.769,,359,75.1034,
Yale-CS00177,1759399,Streptococcus,Streptococcus sp. A12,,2265,473.842,,17,3.5564,
Yale-CS00177,4565,Triticum,Triticum aestivum,,28,5.8577,,4,0.8368,
Yale-CS00177,155900,,uncultured organism,,1637,342.463,,0,0,
Yale-CS00177,28132,Prevotella,Prevotella melaninogenica,,42,8.7865,,19,3.9748,
Yale-CS00177,43675,Rothia,Rothia mucilaginosa,,47382,9912.39,,15648,3273.59,
Yale-CS00177,712623,Streptococcus,Streptococcus sp. oral taxon 061,,120859,25283.9,,32,6.6945,
Yale-CS00177,2759692,Streptococcus,Streptococcus sp. Marseille-Q3533,,1346,281.585,,26,5.4392,
Yale-CS00177,1318,Streptococcus,Streptococcus parasanguinis,,118076,24701.7,,83742,17519,
Yale-CS00177,1343,Streptococcus,Streptococcus vestibularis,,45711,9562.82,,2366,494.971,
Yale-CS00177,1308,Streptococcus,Streptococcus thermophilus,,66788,13972.2,,51733,10822.6,
Yale-CS00177,44008,Enterococcus,Enterococcus cecorum,,259,54.1832,,1,0.2092,
Yale-CS00177,78535,Streptococcus,Streptococcus viridans,,115,24.0582,,1,0.2092,
Yale-CS00177,217203,Achromobacter,Achromobacter spanius,,2,0.4184,,0,0,
Yale-CS00177,2382163,Streptococcus,Streptococcus koreensis,,4109,859.61,,63,13.1797,
Yale-CS00177,1355,Enterococcus,Enterococcus columbae,,13,2.7196,,0,0,
Yale-CS00177,1353891,Achromobacter,Achromobacter deleyi,,2,0.4184,,0,0,
Yale-CS00177,1747,Cutibacterium,Cutibacterium acnes,,0,0,,1005,210.248,
Yale-CS00177,102684,Streptococcus,Streptococcus infantarius,,98710,20650.3,,16037,3354.97,
Yale-CS00177,77133,,uncultured bacterium,,96018,20087.1,,6236,1304.58,
Yale-CS00177,85698,Achromobacter,Achromobacter xylosoxidans,,0,0,,1,0.2092,
Yale-CS00177,257758,Streptococcus,Streptococcus pseudopneumoniae,,16241,3397.64,,141932,29692.4,
Yale-CS00177,712122,Actinomyces,Actinomyces sp. oral taxon 414,,26,5.4392,,14,2.9288,
Yale-CS00177,2819619,Streptococcus,Streptococcus toyakuensis,,3398,710.867,,37,7.7405,
Yale-CS00195,1313,Streptococcus,Streptococcus pneumoniae,,2669383,571772,,10,2.142,
Yale-CS00195,2819619,Streptococcus,Streptococcus toyakuensis,,3,0.6426,,0,0,
Yale-CS00195,1523415,Sphingomonas,Sphingomonas sp. AAP5,,334,71.5415,,0,0,
Yale-CS00195,158754,Sphingomonas,uncultured Sphingomonas sp.,,1,0.2142,,1,0.2142,
Yale-CS00195,1979527,Corynebacterium,Corynebacterium kefirresidentii,,2,0.4284,,0,0,
Yale-CS00195,748215,Sesia,Sesia apiformis,,443,94.8889,,0,0,
Yale-CS00195,40324,Stenotrophomonas,Stenotrophomonas maltophilia,,4,0.8568,,0,0,
Yale-CS00195,287,Pseudomonas,Pseudomonas aeruginosa,,0,0,,2,0.4284,
Yale-CS00195,486,Neisseria,Neisseria lactamica,,0,0,,5,1.071,
Yale-CS00195,1747,Cutibacterium,Cutibacterium acnes,,174,37.2701,,97,20.777,
Yale-CS00195,2839983,Cupriavidus,Cupriavidus sp. EM10,,2,0.4284,,0,0,
Yale-CS00195,2832643,,Caudoviricetes sp.,,58,12.4234,,0,0,
Yale-CS00195,257758,Streptococcus,Streptococcus pseudopneumoniae,,11,2.3562,,0,0,
Yale-CS00195,38304,Corynebacterium,Corynebacterium tuberculostearicum,,2,0.4284,,0,0,
Yale-CS00195,722659,Cabera,Cabera pusaria,,5906,1265.04,,0,0,
Yale-CS00195,1517551,Sphingomonas,Sphingomonas sp. HMP6,,195,41.7682,,7,1.4994,
Yale-CS00195,1303,Streptococcus,Streptococcus oralis,,7,1.4994,,3,0.6426,
Yale-CS00195,28449,Neisseria,Neisseria subflava,,22,4.7123,,2,0.4284,
Yale-CS00195,2070761,Roseateles,Paucibacter aquatile,,5,1.071,,0,0,
Yale-CS00195,2715960,Bradyrhizobium,Bradyrhizobium sp. PSBB068,,18,3.8555,,0,0,
Yale-CS00195,2775394,Alteribacillus,Alteribacillus sp. HJP-4,,7,1.4994,,0,0,
Yale-CS00195,77133,,uncultured bacterium,,22,4.7123,,0,0,
Yale-CS00195,2598457,Streptococcus,Streptococcus sp. KS 6,,218,46.6948,,0,0,
Yale-CS00195,2789327,Sphingobium,Sphingobium sp. Cam5-1,,1,0.2142,,0,0,
Yale-CS00195,43675,Rothia,Rothia mucilaginosa,,6,1.2852,,2,0.4284,
Yale-CS00195,1143063,Lochmaea,Lochmaea crataegi,,88,18.8493,,0,0,
Yale-CS00195,31201,Spisula,Spisula solida,,53,11.3524,,0,0,
Yale-CS00195,1307,Streptococcus,Streptococcus suis,,0,0,,4,0.8568,
Yale-CS00195,391953,Aquincola,Aquincola tertiaricarbonis,,1,0.2142,,0,0,
Yale-CS00195,1560345,Sphingomonas,Sphingomonas panacis,,26,5.5691,,5,1.071,
Yale-CS00195,28037,Streptococcus,Streptococcus mitis,,30,6.4259,,5,1.071,
Yale-CS00195,712623,Streptococcus,Streptococcus sp. oral taxon 061,,2,0.4284,,0,0,
Yale-CS00195,549002,,halophilic and alkaliphilic bacterium HN24,,120,25.7035,,0,0,
Yale-CS00195,7038,Bemisia,Bemisia tabaci,,115,24.6326,,0,0,
Yale-CS00195,2997354,Sphingomonas,Sphingomonas sp. So64.6b,,34,7.2827,,0,0,
Yale-CS00195,1419814,Streptococcus,Streptococcus sp. VT 162,,56044,12004.4,,0,0,
Yale-CS00195,2598453,Streptococcus,Streptococcus sp. 116-D4,,4,0.8568,,0,0,
Yale-SP00059,1307,Streptococcus,Streptococcus suis,,0,0,,212166,48121.4,
Yale-SP00059,1433513,Streptococcus,Streptococcus gwangjuense,,1,0.2268,,0,0,
Yale-SP00059,391953,Aquincola,Aquincola tertiaricarbonis,,10,2.2681,,0,0,
Yale-SP00059,2715960,Bradyrhizobium,Bradyrhizobium sp. PSBB068,,90,20.4129,,0,0,
Yale-SP00059,1305,Streptococcus,Streptococcus sanguinis,,6,1.3609,,0,0,
Yale-SP00059,257758,Streptococcus,Streptococcus pseudopneumoniae,,0,0,,24,5.4435,
Yale-SP00059,2832643,,Caudoviricetes sp.,,4,0.9072,,43,9.7528,
Yale-SP00059,712623,Streptococcus,Streptococcus sp. oral taxon 061,,2,0.4536,,0,0,
Yale-SP00059,43675,Rothia,Rothia mucilaginosa,,2,0.4536,,2,0.4536,
Yale-SP00059,712122,Actinomyces,Actinomyces sp. oral taxon 414,,4,0.9072,,4,0.9072,
Yale-SP00059,1325120,Bradyrhizobium,Bradyrhizobium sp. CCBAU 53421,,0,0,,3,0.6804,
Yale-SP00059,155900,,uncultured organism,,71,16.1035,,0,0,
Yale-SP00059,1660,Schaalia,Schaalia odontolytica,,4,0.9072,,2,0.4536,
Yale-SP00059,1303,Streptococcus,Streptococcus oralis,,3,0.6804,,13,2.9485,
Yale-SP00059,2819619,Streptococcus,Streptococcus toyakuensis,,1,0.2268,,0,0,
Yale-SP00059,40324,Stenotrophomonas,Stenotrophomonas maltophilia,,8,1.8145,,3,0.6804,
Yale-SP00059,29394,Dolosigranulum,Dolosigranulum pigrum,,0,0,,1,0.2268,
Yale-SP00059,38304,Corynebacterium,Corynebacterium tuberculostearicum,,4,0.9072,,4,0.9072,
Yale-SP00059,1318,Streptococcus,Streptococcus parasanguinis,,2,0.4536,,195,44.228,
Yale-SP00059,28037,Streptococcus,Streptococcus mitis,,3,0.6804,,25660,5819.95,
Yale-SP00059,2997354,Sphingomonas,Sphingomonas sp. So64.6b,,1,0.2268,,0,0,
Yale-SP00059,4932,Saccharomyces,Saccharomyces cerevisiae,,134,30.3926,,43,9.7528,
Yale-SP00059,4565,Triticum,Triticum aestivum,,2,0.4536,,0,0,
Yale-SP00059,3032262,,Pseudomonas phage ZRG1,,10,2.2681,,8,1.8145,
Yale-SP00059,198620,Pseudomonas,Pseudomonas koreensis,,20,4.5362,,7,1.5877,
Yale-SP00059,1979527,Corynebacterium,Corynebacterium kefirresidentii,,4,0.9072,,4,0.9072,
Yale-SP00059,2070761,Roseateles,Paucibacter aquatile,,13,2.9485,,0,0,
Yale-SP00059,1283,Staphylococcus,Staphylococcus haemolyticus,,0,0,,70,15.8767,
Yale-SP00059,729,Haemophilus,Haemophilus parainfluenzae,,2,0.4536,,2,0.4536,
Yale-SP00059,1343,Streptococcus,Streptococcus vestibularis,,0,0,,3,0.6804,
Yale-SP00059,3019553,Roseateles,Paucibacter sp. S2-9,,13,2.9485,,0,0,
Yale-SP00059,1282,Staphylococcus,Staphylococcus epidermidis,,10,2.2681,,2,0.4536,
Yale-SP00059,77133,,uncultured bacterium,,1,0.2268,,4,0.9072,
Yale-SP00059,1313,Streptococcus,Streptococcus pneumoniae,,3920623,889237,,3679974,834656,
Yale-SP00059,1747,Cutibacterium,Cutibacterium acnes,,950,215.47,,817,185.304,
Yale-SP00059,287,Pseudomonas,Pseudomonas aeruginosa,,14,3.1753,,4,0.9072,
Yale-CS00160,1305,Streptococcus,Streptococcus sanguinis,,330,91.6675,,5940,1650.02,
Yale-CS00160,2598453,Streptococcus,Streptococcus sp. 116-D4,,128375,35660.1,,1770,491.671,
Yale-CS00160,2598457,Streptococcus,Streptococcus sp. KS 6,,9,2.5,,4,1.1111,
Yale-CS00160,488,Neisseria,Neisseria mucosa,,0,0,,3,0.8333,
Yale-CS00160,1308,Streptococcus,Streptococcus thermophilus,,1649,458.06,,4376,1215.57,
Yale-CS00160,78535,Streptococcus,Streptococcus viridans,,5403,1500.85,,7,1.9445,
Yale-CS00160,1282,Staphylococcus,Staphylococcus epidermidis,,4,1.1111,,4,1.1111,
