"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AP023349","GPSC15_reference","GPSC21_reference","GPSC22_reference","GPSC26_reference","GPSC31_reference","GPSC32_reference","GPSC34_reference","GPSC37_reference","GPSC3_reference","GPSC40_reference","GPSC4_reference","GPSC8_reference","NC_017592"
"tabA","","Toxin-antitoxin biofilm protein TabA","14","14","1","1","291","","","","452","452","452","AP023349_00647","GPSC15_reference_01476","GPSC21_reference_01506","GPSC22_reference_01503","GPSC26_reference_01612","GPSC31_reference_01531","GPSC32_reference_01645","GPSC34_reference_01563","GPSC37_reference_01511","GPSC3_reference_01606","GPSC40_reference_01560","GPSC4_reference_01539","GPSC8_reference_01639","NC_017592_01535"
"ddl","","D-alanine--D-alanine ligase","14","14","1","1","1807","","","","1043","1043","1043","AP023349_00665","GPSC15_reference_01468","GPSC21_reference_01498","GPSC22_reference_01495","GPSC26_reference_01603","GPSC31_reference_01523","GPSC32_reference_01637","GPSC34_reference_01555","GPSC37_reference_01503","GPSC3_reference_01598","GPSC40_reference_01552","GPSC4_reference_01531","GPSC8_reference_01631","NC_017592_01527"
"divIVA","","Cell division protein DivIVA","14","14","1","1","1819","","","","734","881","790","AP023349_00675","GPSC15_reference_01458","GPSC21_reference_01489","GPSC22_reference_01485","GPSC26_reference_01593","GPSC31_reference_01513","GPSC32_reference_01628","GPSC34_reference_01546","GPSC37_reference_01493","GPSC3_reference_01588","GPSC40_reference_01542","GPSC4_reference_01521","GPSC8_reference_01621","NC_017592_01517"
"ileS","","Isoleucine--tRNA ligase","14","14","1","1","1821","","","","2786","2792","2791","AP023349_00676","GPSC15_reference_01457","GPSC21_reference_01487","GPSC22_reference_01484","GPSC26_reference_01592","GPSC31_reference_01512","GPSC32_reference_01627","GPSC34_reference_01544","GPSC37_reference_01492","GPSC3_reference_01587","GPSC40_reference_01541","GPSC4_reference_01520","GPSC8_reference_01619","NC_017592_01516"
"dtd","","D-aminoacyl-tRNA deacylase","14","14","1","1","1987","","","","443","443","443","AP023349_00697","GPSC15_reference_01442","GPSC21_reference_01472","GPSC22_reference_01471","GPSC26_reference_01578","GPSC31_reference_01497","GPSC32_reference_01612","GPSC34_reference_01530","GPSC37_reference_01476","GPSC3_reference_01573","GPSC40_reference_01527","GPSC4_reference_01506","GPSC8_reference_01604","NC_017592_01500"
"group_1032","","hypothetical protein","14","14","1","1","1993","","","","725","842","833","AP023349_00700","GPSC15_reference_01437","GPSC21_reference_01467","GPSC22_reference_01466","GPSC26_reference_01573","GPSC31_reference_01489","GPSC32_reference_01607","GPSC34_reference_01524","GPSC37_reference_01471","GPSC3_reference_01568","GPSC40_reference_01521","GPSC4_reference_01499","GPSC8_reference_01600","NC_017592_01495"
"ctpE","","Calcium-transporting ATPase CtpE","14","14","1","1","2052","","","","2318","2336","2334","AP023349_00719","GPSC15_reference_01424","GPSC21_reference_01454","GPSC22_reference_01453","GPSC26_reference_01562","GPSC31_reference_01475","GPSC32_reference_01594","GPSC34_reference_01512","GPSC37_reference_01458","GPSC3_reference_01556","GPSC40_reference_01508","GPSC4_reference_01486","GPSC8_reference_01587","NC_017592_01482"
"pdxK","","Pyridoxine kinase","14","14","1","1","2031","","","","755","773","771","AP023349_00733","GPSC15_reference_01397","GPSC21_reference_01441","GPSC22_reference_01440","GPSC26_reference_01547","GPSC31_reference_01461","GPSC32_reference_01581","GPSC34_reference_01498","GPSC37_reference_01434","GPSC3_reference_01543","GPSC40_reference_01489","GPSC4_reference_01473","GPSC8_reference_01560","NC_017592_01456"
"group_1035","","hypothetical protein","14","14","1","1","1123","","","","254","254","254","AP023349_00767","GPSC15_reference_00596","GPSC21_reference_00617","GPSC22_reference_00593","GPSC26_reference_00604","GPSC31_reference_00606","GPSC32_reference_00671","GPSC34_reference_00638","GPSC37_reference_00616","GPSC3_reference_00608","GPSC40_reference_00629","GPSC4_reference_00567","GPSC8_reference_00677","NC_017592_00620"
"group_1040","","hypothetical protein","14","14","1","1","2168","","","","278","278","278","AP023349_00799","GPSC15_reference_01240","GPSC21_reference_01269","GPSC22_reference_01280","GPSC26_reference_01365","GPSC31_reference_01284","GPSC32_reference_01411","GPSC34_reference_01274","GPSC37_reference_01269","GPSC3_reference_01368","GPSC40_reference_01269","GPSC4_reference_01196","GPSC8_reference_01377","NC_017592_01281"
"pstA","","hypothetical protein","14","14","1","1","2159","","","","443","884","852","AP023349_00804","GPSC15_reference_01234","GPSC21_reference_01263","GPSC22_reference_01274","GPSC26_reference_01359","GPSC31_reference_01278","GPSC32_reference_01405","GPSC34_reference_01269","GPSC37_reference_01263","GPSC3_reference_01363","GPSC40_reference_01263","GPSC4_reference_01190","GPSC8_reference_01371","NC_017592_01276"
"pstB3_2","","Phosphate import ATP-binding protein PstB 3","14","14","1","1","2158","","","","245","803","748","AP023349_00806","GPSC15_reference_01233","GPSC21_reference_01262","GPSC22_reference_01273","GPSC26_reference_01358","GPSC31_reference_01277","GPSC32_reference_01404","GPSC34_reference_01268","GPSC37_reference_01262","GPSC3_reference_01362","GPSC40_reference_01262","GPSC4_reference_01189","GPSC8_reference_01370","NC_017592_01275"
"gabR","","HTH-type transcriptional regulatory protein GabR","14","14","1","1","2151","","","","1271","1271","1271","AP023349_00810","GPSC15_reference_01229","GPSC21_reference_01258","GPSC22_reference_01269","GPSC26_reference_01354","GPSC31_reference_01273","GPSC32_reference_01400","GPSC34_reference_01264","GPSC37_reference_01258","GPSC3_reference_01358","GPSC40_reference_01258","GPSC4_reference_01185","GPSC8_reference_01366","NC_017592_01271"
"aldC","","Alpha-acetolactate decarboxylase","14","14","1","1","2149","","","","671","671","671","AP023349_00811","GPSC15_reference_01228","GPSC21_reference_01257","GPSC22_reference_01266","GPSC26_reference_01353","GPSC31_reference_01272","GPSC32_reference_01399","GPSC34_reference_01263","GPSC37_reference_01257","GPSC3_reference_01357","GPSC40_reference_01257","GPSC4_reference_01184","GPSC8_reference_01365","NC_017592_01270"
"potD","","Spermidine/putrescine-binding periplasmic protein","14","14","1","1","981","","","","1070","1070","1070","AP023349_00817","GPSC15_reference_01221","GPSC21_reference_01250","GPSC22_reference_01260","GPSC26_reference_01347","GPSC31_reference_01266","GPSC32_reference_01392","GPSC34_reference_01257","GPSC37_reference_01251","GPSC3_reference_01350","GPSC40_reference_01251","GPSC4_reference_01178","GPSC8_reference_01358","NC_017592_01263"
"rlmI","","Ribosomal RNA large subunit methyltransferase I","14","14","1","1","993","","","","1163","1163","1163","AP023349_00839","GPSC15_reference_01215","GPSC21_reference_01244","GPSC22_reference_01254","GPSC26_reference_01341","GPSC31_reference_01259","GPSC32_reference_01386","GPSC34_reference_01251","GPSC37_reference_01245","GPSC3_reference_01343","GPSC40_reference_01245","GPSC4_reference_01172","GPSC8_reference_01352","NC_017592_01257"
"pheA","","Bifunctional chorismate mutase/prephenate dehydratase","14","14","1","1","1002","","","","848","848","848","AP023349_00849","GPSC15_reference_01206","GPSC21_reference_01235","GPSC22_reference_01246","GPSC26_reference_01332","GPSC31_reference_01250","GPSC32_reference_01377","GPSC34_reference_01242","GPSC37_reference_01236","GPSC3_reference_01333","GPSC40_reference_01236","GPSC4_reference_01163","GPSC8_reference_01343","NC_017592_01248"
"group_1050","","hypothetical protein","14","14","1","1","2361","","","","320","320","320","AP023349_00892","GPSC15_reference_00702","GPSC21_reference_00741","GPSC22_reference_00702","GPSC26_reference_00724","GPSC31_reference_00722","GPSC32_reference_00785","GPSC34_reference_00742","GPSC37_reference_00727","GPSC3_reference_00718","GPSC40_reference_00734","GPSC4_reference_00678","GPSC8_reference_00786","NC_017592_00725"
"gor","","Glutathione reductase","14","14","1","1","2367","","","","1346","1346","1346","AP023349_00895","GPSC15_reference_00705","GPSC21_reference_00744","GPSC22_reference_00706","GPSC26_reference_00728","GPSC31_reference_00725","GPSC32_reference_00788","GPSC34_reference_00745","GPSC37_reference_00730","GPSC3_reference_00721","GPSC40_reference_00738","GPSC4_reference_00686","GPSC8_reference_00790","NC_017592_00728"
"group_1055","","hypothetical protein","14","14","1","1","2400","","","","299","299","299","AP023349_00922","GPSC15_reference_01292","GPSC21_reference_00775","GPSC22_reference_00732","GPSC26_reference_00757","GPSC31_reference_00752","GPSC32_reference_00814","GPSC34_reference_00772","GPSC37_reference_00761","GPSC3_reference_00747","GPSC40_reference_00764","GPSC4_reference_00713","GPSC8_reference_00816","NC_017592_00755"
"deoD_2","","Purine nucleoside phosphorylase DeoD-type","14","14","1","1","2424","","","","710","767","714","AP023349_00942","GPSC15_reference_00769","GPSC21_reference_00791","GPSC22_reference_00748","GPSC26_reference_00772","GPSC31_reference_00766","GPSC32_reference_00829","GPSC34_reference_00787","GPSC37_reference_00778","GPSC3_reference_00763","GPSC40_reference_00780","GPSC4_reference_00729","GPSC8_reference_00832","NC_017592_00771"
"deoC","","Deoxyribose-phosphate aldolase","14","14","1","1","2434","","","","662","662","662","AP023349_00949","GPSC15_reference_00776","GPSC21_reference_00798","GPSC22_reference_00755","GPSC26_reference_00779","GPSC31_reference_00773","GPSC32_reference_00836","GPSC34_reference_00794","GPSC37_reference_00785","GPSC3_reference_00770","GPSC40_reference_00787","GPSC4_reference_00736","GPSC8_reference_00839","NC_017592_00778"
"cdd","","Cytidine deaminase","14","14","1","1","2435","","","","389","389","389","AP023349_00950","GPSC15_reference_00777","GPSC21_reference_00799","GPSC22_reference_00756","GPSC26_reference_00780","GPSC31_reference_00774","GPSC32_reference_00837","GPSC34_reference_00795","GPSC37_reference_00786","GPSC3_reference_00771","GPSC40_reference_00788","GPSC4_reference_00737","GPSC8_reference_00840","NC_017592_00779"
"group_1061","","hypothetical protein","14","14","1","1","1325","","","","230","230","230","AP023349_00965","GPSC15_reference_00794","GPSC21_reference_00814","GPSC22_reference_00774","GPSC26_reference_00798","GPSC31_reference_00790","GPSC32_reference_00854","GPSC34_reference_00810","GPSC37_reference_00804","GPSC3_reference_00788","GPSC40_reference_00805","GPSC4_reference_00753","GPSC8_reference_00856","NC_017592_00798"
"iscU","","Iron-sulfur cluster assembly scaffold protein IscU","14","14","1","1","1314","","","","440","440","440","AP023349_00975","GPSC15_reference_00804","GPSC21_reference_00827","GPSC22_reference_00786","GPSC26_reference_00811","GPSC31_reference_00800","GPSC32_reference_00867","GPSC34_reference_00821","GPSC37_reference_00816","GPSC3_reference_00801","GPSC40_reference_00818","GPSC4_reference_00766","GPSC8_reference_00869","NC_017592_00811"
"cmpD","","Bicarbonate transport ATP-binding protein CmpD","14","14","1","1","4473","","","","758","758","758","AP023349_01010","GPSC15_reference_00973","GPSC21_reference_00948","GPSC22_reference_00984","GPSC26_reference_01050","GPSC31_reference_00984","GPSC32_reference_01062","GPSC34_reference_01015","GPSC37_reference_00992","GPSC3_reference_01071","GPSC40_reference_01020","GPSC4_reference_00954","GPSC8_reference_01094","NC_017592_01019"
"dnaG","","DNA primase","14","14","1","1","4472","","","","1760","1760","1760","AP023349_01011","GPSC15_reference_00974","GPSC21_reference_00949","GPSC22_reference_00985","GPSC26_reference_01049","GPSC31_reference_00985","GPSC32_reference_01063","GPSC34_reference_01016","GPSC37_reference_00993","GPSC3_reference_01068","GPSC40_reference_01021","GPSC4_reference_00955","GPSC8_reference_01095","NC_017592_01020"
"pfkA","","ATP-dependent 6-phosphofructokinase","14","14","1","1","4565","","","","335","1007","959","AP023349_01025","GPSC15_reference_00830","GPSC21_reference_00855","GPSC22_reference_00814","GPSC26_reference_00834","GPSC31_reference_00829","GPSC32_reference_00898","GPSC34_reference_00851","GPSC37_reference_00843","GPSC3_reference_00884","GPSC40_reference_00845","GPSC4_reference_00787","GPSC8_reference_00896","NC_017592_00840"
"strA","","Sortase A","14","14","1","1","4374","","","","431","746","721","AP023349_01030","GPSC15_reference_01088","GPSC21_reference_01087","GPSC22_reference_01109","GPSC26_reference_01204","GPSC31_reference_01113","GPSC32_reference_01236","GPSC34_reference_01127","GPSC37_reference_01109","GPSC3_reference_01186","GPSC40_reference_01140","GPSC4_reference_01037","GPSC8_reference_01209","NC_017592_01131"
"argR_2","","Arginine repressor","14","14","1","1","1165","","","","392","431","408","AP023349_01044","GPSC15_reference_01075","GPSC21_reference_01073","GPSC22_reference_01096","GPSC26_reference_01191","GPSC31_reference_01100","GPSC32_reference_01223","GPSC34_reference_01114","GPSC37_reference_01096","GPSC3_reference_01171","GPSC40_reference_01127","GPSC4_reference_01024","GPSC8_reference_01196","NC_017592_01118"
"lacC_2","","Tagatose-6-phosphate kinase","14","14","1","1","1173","","","","929","929","929","AP023349_01055","GPSC15_reference_01064","GPSC21_reference_01062","GPSC22_reference_01084","GPSC26_reference_01027","GPSC31_reference_01089","GPSC32_reference_01213","GPSC34_reference_01102","GPSC37_reference_01086","GPSC3_reference_01160","GPSC40_reference_01117","GPSC4_reference_01011","GPSC8_reference_01184","NC_017592_01107"
"lacG_2","","6-phospho-beta-galactosidase","14","14","1","1","3490","","","","1406","1406","1406","AP023349_01068","GPSC15_reference_01059","GPSC21_reference_01055","GPSC22_reference_01079","GPSC26_reference_01020","GPSC31_reference_01084","GPSC32_reference_01208","GPSC34_reference_01097","GPSC37_reference_01081","GPSC3_reference_01155","GPSC40_reference_01112","GPSC4_reference_01006","GPSC8_reference_01179","NC_017592_01102"
"addA","","ATP-dependent helicase/nuclease subunit A","14","14","1","1","3531","","","","419","3650","3419","AP023349_01103","GPSC15_reference_01030","GPSC21_reference_01024","GPSC22_reference_01048","GPSC26_reference_01142","GPSC31_reference_01053","GPSC32_reference_01120","GPSC34_reference_01069","GPSC37_reference_01050","GPSC3_reference_01011","GPSC40_reference_01082","GPSC4_reference_01356","GPSC8_reference_01149","NC_017592_01074"
"hemH","","Ferrochelatase","14","14","1","1","4680","","","","1094","1094","1094","AP023349_01174","GPSC15_reference_00940","GPSC21_reference_00901","GPSC22_reference_00921","GPSC26_reference_01006","GPSC31_reference_00938","GPSC32_reference_01007","GPSC34_reference_00959","GPSC37_reference_00949","GPSC3_reference_01132","GPSC40_reference_00949","GPSC4_reference_00896","GPSC8_reference_01004","NC_017592_00947"
"pepT","","Peptidase T","14","14","1","1","4670","","","","1220","1223","1222","AP023349_01175","GPSC15_reference_00933","GPSC21_reference_00900","GPSC22_reference_00920","GPSC26_reference_01007","GPSC31_reference_00931","GPSC32_reference_01006","GPSC34_reference_00958","GPSC37_reference_00948","GPSC3_reference_01139","GPSC40_reference_00948","GPSC4_reference_00895","GPSC8_reference_01003","NC_017592_00946"
"trmFO","","Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO","14","14","1","1","4655","","","","1334","1370","1339","AP023349_01196","GPSC15_reference_00871","GPSC21_reference_00511","GPSC22_reference_00858","GPSC26_reference_00878","GPSC31_reference_00871","GPSC32_reference_00939","GPSC34_reference_00894","GPSC37_reference_00886","GPSC3_reference_00930","GPSC40_reference_00888","GPSC4_reference_00833","GPSC8_reference_00941","NC_017592_00884"
"rsmI","","Ribosomal RNA small subunit methyltransferase I","14","14","1","1","4625","","","","869","878","869","AP023349_01197","GPSC15_reference_00865","GPSC21_reference_00891","GPSC22_reference_00852","GPSC26_reference_00872","GPSC31_reference_00867","GPSC32_reference_00935","GPSC34_reference_00889","GPSC37_reference_00880","GPSC3_reference_00924","GPSC40_reference_00884","GPSC4_reference_00827","GPSC8_reference_00935","NC_017592_00879"
"tmk","","Thymidylate kinase","14","14","1","1","4622","","","","638","638","638","AP023349_01200","GPSC15_reference_00862","GPSC21_reference_00888","GPSC22_reference_00849","GPSC26_reference_00869","GPSC31_reference_00864","GPSC32_reference_00932","GPSC34_reference_00886","GPSC37_reference_00877","GPSC3_reference_00921","GPSC40_reference_00881","GPSC4_reference_00824","GPSC8_reference_00932","NC_017592_00876"
"glgA","","Glycogen synthase","14","14","1","1","3539","","","","911","1433","1395","AP023349_01224","GPSC15_reference_01022","GPSC21_reference_01000","GPSC22_reference_01037","GPSC26_reference_01150","GPSC31_reference_01031","GPSC32_reference_01112","GPSC34_reference_01063","GPSC37_reference_01044","GPSC3_reference_01019","GPSC40_reference_01070","GPSC4_reference_01363","GPSC8_reference_01142","NC_017592_01067"
"yheS_1","","putative ABC transporter ATP-binding protein YheS","14","14","1","1","3557","","","","1643","1901","1882","AP023349_01234","GPSC15_reference_01012","GPSC21_reference_00991","GPSC22_reference_01028","GPSC26_reference_01160","GPSC31_reference_01022","GPSC32_reference_01103","GPSC34_reference_01054","GPSC37_reference_01035","GPSC3_reference_01028","GPSC40_reference_01061","GPSC4_reference_00993","GPSC8_reference_01133","NC_017592_01058"
"group_1086","","hypothetical protein","14","14","1","1","2762","","","","347","347","347","AP023349_01254","GPSC15_reference_01305","GPSC21_reference_01351","GPSC22_reference_01350","GPSC26_reference_01450","GPSC31_reference_01366","GPSC32_reference_01493","GPSC34_reference_01346","GPSC37_reference_01340","GPSC3_reference_01450","GPSC40_reference_01342","GPSC4_reference_01378","GPSC8_reference_01464","NC_017592_01362"
"rluD_2","","Ribosomal large subunit pseudouridine synthase D","14","14","1","1","3587","","","","896","896","896","AP023349_01263","GPSC15_reference_01000","GPSC21_reference_00979","GPSC22_reference_01014","GPSC26_reference_01171","GPSC31_reference_01010","GPSC32_reference_01090","GPSC34_reference_01043","GPSC37_reference_01021","GPSC3_reference_01042","GPSC40_reference_01050","GPSC4_reference_00982","GPSC8_reference_01122","NC_017592_01046"
"panT","","Pantothenic acid transporter PanT","14","14","1","1","4392","","","","362","563","548","AP023349_01278","GPSC15_reference_01101","GPSC21_reference_01100","GPSC22_reference_01122","GPSC26_reference_01219","GPSC31_reference_01126","GPSC32_reference_01249","GPSC34_reference_01140","GPSC37_reference_01122","GPSC3_reference_01199","GPSC40_reference_01153","GPSC4_reference_01051","GPSC8_reference_01222","NC_017592_01144"
"yidA_2","","Sugar phosphatase YidA","14","14","1","1","4410","","","","818","818","818","AP023349_01291","GPSC15_reference_01113","GPSC21_reference_01112","GPSC22_reference_01134","GPSC26_reference_01231","GPSC31_reference_01138","GPSC32_reference_01261","GPSC34_reference_01152","GPSC37_reference_01138","GPSC3_reference_01211","GPSC40_reference_01165","GPSC4_reference_01063","GPSC8_reference_01248","NC_017592_01156"
